date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2010-12-22,0.1478,,0.162,,0.2236,,0.3784,,0.1722,,0.0,,0.2236,,0.3784,
2010-12-21,0.1668,,0.1673,,0.2273,,0.3843,,0.1733,,0.0,,0.2273,,0.3843,
2010-12-10,0.0797,,0.1044,,0.2303,,0.3613,,0.1773,,0.0,,0.2303,,0.3613,
2010-12-09,0.1884,,0.1214,,0.2341,,0.3695,,0.1772,,0.0,,0.2341,,0.3695,
2010-12-08,0.2147,,0.1156,,0.2355,,0.3653,,0.1774,,0.0,,0.2355,,0.3653,
2010-12-07,0.2118,,0.1168,,0.2316,,0.3652,,0.1772,,0.0,,0.2316,,0.3652,
2010-12-06,0.2068,,0.1164,,0.2375,,0.3598,,0.1772,,0.0,,0.2375,,0.3598,
2010-12-03,0.2064,,0.0,,0.2345,,0.1683,,0.1775,,0.0,,0.2345,,0.1683,
2010-12-02,0.2101,,0.0,,0.236,,0.3553,,0.1779,,0.0,,0.236,,0.3553,
2010-12-01,0.2247,,0.0,,0.2374,,0.3583,,0.1829,,0.0,,0.2374,,0.3583,
2010-11-30,0.1383,,0.0,,0.2616,,0.3663,,0.18,,0.0,,0.2616,,0.3663,
2010-11-29,0.1038,,0.0,,0.2459,,0.3689,,0.1787,,0.0,,0.2459,,0.3689,
2010-11-26,0.1007,,0.0,,0.2435,,0.3599,,0.1802,,0.0,,0.2435,,0.3599,
2010-11-24,0.1621,,0.1386,,0.2372,,0.353,,0.1835,,0.0,,0.2372,,0.353,
2010-11-23,0.1439,,0.1376,,0.2404,,0.3603,,0.1878,,0.0,,0.2404,,0.3603,
2010-11-22,0.1417,,0.1398,,0.2338,,0.3482,,0.1918,,0.0,,0.2338,,0.3482,
2010-11-19,0.143,,0.1424,,0.2327,,0.3462,,0.193,,0.0,,0.2327,,0.3462,
2010-11-18,0.1508,,0.1423,,0.2617,,0.3244,,0.1929,,0.0,,0.2617,,0.3244,
2010-11-17,0.1509,,0.14,,0.2721,,0.3241,,0.1929,,0.0,,0.2721,,0.3241,
2010-11-16,0.1461,,0.1335,,0.2418,,0.3564,,0.1948,,0.0,,0.2418,,0.3564,
2010-11-15,0.1294,,0.1092,,0.2526,,0.3351,,0.1932,,0.0,,0.2526,,0.3351,
2010-11-12,0.1367,,0.1109,,0.2615,,0.316,,0.195,,0.0,,0.2615,,0.316,
2010-11-11,0.1378,,0.1051,,0.2575,,0.3199,,0.1946,,0.0,,0.2575,,0.3199,
2010-11-10,0.0877,,0.1009,,0.24,,0.334,,0.1968,,0.0,,0.24,,0.334,
2010-11-09,0.1332,,0.1445,,0.2343,,0.3422,,0.1972,,0.0,,0.2343,,0.3422,
2010-11-08,0.1332,,0.1435,,0.2403,,0.338,,0.1975,,0.0,,0.2403,,0.338,
2010-11-05,0.1688,,0.1634,,0.2319,,0.3328,,0.1981,,0.0,,0.2319,,0.3328,
2010-11-04,0.2119,,0.1699,,0.2454,,0.328,,0.1991,,0.0,,0.2454,,0.328,
2010-11-02,0.2057,,0.1718,,0.2666,,0.312,,0.2085,,0.0,,0.2666,,0.312,
2010-11-01,0.204,,0.1682,,0.2738,,0.3052,,0.2106,,0.0,,0.2738,,0.3052,
2010-10-29,0.1838,,0.1359,,0.2404,,0.3389,,0.21,,0.0,,0.2404,,0.3389,
