date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2021-06-25,0.5675,95,0.5679,99,1.0277,100,1.0982,100,0.0,1,0.0,1,0.7374,99,0.7853,99
2021-06-24,0.502,93,0.4851,98,1.0891,100,1.1116,100,0.0,1,0.0,1,0.8164,100,0.8732,100
2021-06-23,0.2961,72,0.2616,74,0.9295,100,0.933,100,0.0,1,0.0,1,0.772,99,0.9951,100
2021-06-22,0.149,22,0.1991,50,0.85,100,0.855,100,0.0,1,0.0,1,0.8128,100,0.8338,100
2021-06-21,0.1388,18,0.1797,43,0.8648,100,0.8798,100,0.0,1,0.0,1,0.8217,100,0.7739,99
2021-06-18,0.1417,19,0.1939,48,0.8732,100,0.9104,100,0.0,1,0.0,1,0.8203,100,0.8365,100
2021-06-17,0.1409,19,0.348,91,0.8504,100,0.838,100,0.0,1,0.0,1,0.8536,100,0.837,100
2021-06-16,0.2528,61,0.384,94,0.8335,100,0.9165,100,0.0,1,0.0,1,0.8499,100,0.8293,100
2021-06-15,0.253,61,0.3834,94,0.775,100,0.8234,100,0.0,1,0.0,1,0.7928,99,0.7828,99
2021-06-14,0.2137,47,0.3699,93,0.8521,100,0.8611,100,0.0,1,0.0,1,0.771,99,0.8089,100
2021-06-11,0.1977,41,0.3536,91,0.8441,100,0.8148,100,0.0,1,0.0,1,0.7075,99,0.7862,99
2021-06-10,0.2034,43,0.3537,91,0.8649,100,0.8151,100,0.0,1,0.0,1,0.8119,100,0.7872,99
2021-06-09,0.2034,43,0.3445,90,0.8924,100,0.8086,100,0.0,1,0.0,1,0.798,99,0.7293,99
2021-06-08,0.1896,39,0.2022,51,0.7633,100,0.8504,100,0.0,1,0.0,1,0.7353,99,0.9025,100
2021-06-07,0.099,7,0.1189,23,0.5798,97,0.688,99,0.0,1,0.0,1,0.638,99,0.772,99
2021-06-04,0.0939,6,0.1149,23,0.5311,95,0.6793,99,0.0,1,0.0,1,0.5962,98,0.751,99
2021-06-03,0.0608,2,0.1035,22,0.5272,95,0.6121,97,0.0,1,0.0,1,0.6427,99,0.9274,100
2021-06-02,0.066,2,0.1036,22,0.515,94,0.6134,97,0.0,1,0.0,1,0.6017,98,0.7112,99
2021-06-01,0.0607,2,0.0982,21,0.5181,94,0.655,98,0.0,1,0.0,1,0.6101,99,0.7351,99
2021-05-28,0.0636,2,0.0909,21,0.4963,94,0.6264,97,0.0,1,0.0,1,0.6201,99,0.7296,99
2021-05-27,0.0426,1,0.0629,20,0.4517,91,0.6008,97,0.0,1,0.0,1,0.5814,98,0.7863,99
2021-05-26,0.0431,1,0.0663,20,0.3915,84,0.5798,96,0.0,1,0.0,1,0.5999,98,0.6538,98
2021-05-25,0.0362,1,0.0663,20,0.4024,86,0.5911,96,0.0,1,0.0,1,0.5218,98,0.6561,98
2021-05-24,0.0377,1,0.0672,20,0.403,86,0.6464,98,0.0,1,0.0,1,0.5964,98,0.6533,98
2021-05-21,0.0588,2,0.0703,20,0.4408,90,0.5988,97,0.0,1,0.0,1,0.6068,98,0.6553,98
2021-05-20,0.06,2,0.0761,21,0.4406,90,0.5748,96,0.0,1,0.0,1,0.6112,99,0.7107,99
2021-05-19,0.0588,2,0.0911,21,0.2941,39,0.5962,97,0.0,1,0.0,1,0.6147,99,0.6544,98
