date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-02-04,0.0255,1,0.0329,1,0.1538,1,0.0917,1,0.3961,86,0.3011,61,0.1538,2,0.0917,3
2022-02-03,0.0263,2,0.0386,2,0.1554,1,0.0778,1,0.3963,86,0.3015,62,0.1554,2,0.0778,1
2022-02-02,0.0407,4,0.0433,3,0.1514,1,0.4303,80,0.3973,87,0.3018,62,0.1514,2,0.0833,2
2022-02-01,0.0548,8,0.0554,6,0.1483,1,0.4284,79,0.3977,87,0.3025,62,0.1483,1,0.0882,2
2022-01-28,0.0503,6,0.0587,7,0.1612,1,0.2496,16,0.3981,87,0.309,65,0.1612,2,0.0915,3
2022-01-27,0.0505,6,0.0598,7,0.162,1,0.2224,11,0.3981,87,0.3095,66,0.162,2,0.0903,3
2022-01-26,0.0505,6,0.0592,7,0.0853,1,0.3656,66,0.3981,87,0.3097,66,0.0853,1,0.09,3
2022-01-25,0.0505,6,0.0596,7,0.0593,1,0.0862,1,0.3982,87,0.3107,67,0.0593,1,0.0862,2
2022-01-21,0.0185,1,0.0592,7,0.1435,1,0.2045,9,0.3995,87,0.3118,68,0.1147,1,0.0689,1
2022-01-18,0.0242,1,0.0586,7,0.1777,2,0.3042,40,0.3999,87,0.3139,69,0.1303,1,0.071,1
2022-01-13,0.0374,4,0.0565,6,0.2196,4,0.1094,3,0.4003,87,0.3152,69,0.1447,1,0.1094,5
2022-01-12,0.0308,3,0.0472,4,0.1742,2,0.2879,31,0.4007,87,0.3165,69,0.1272,1,0.0737,1
2022-01-06,0.0606,9,0.0501,5,0.1634,1,0.2718,24,0.403,88,0.3196,71,0.1419,1,0.0823,2
2022-01-05,0.0609,9,0.0537,6,0.1367,1,0.205,9,0.4042,88,0.3201,72,0.1371,1,0.0848,2
2021-12-31,0.0581,9,0.0735,10,0.1957,3,0.0845,1,0.4074,88,0.3214,72,0.1957,3,0.0845,2
2021-12-30,0.0301,2,0.0684,9,0.1593,1,0.1662,6,0.4073,88,0.3256,74,0.1341,1,0.0696,1
2021-12-28,0.036,4,0.0732,10,0.1794,2,0.227,11,0.4092,88,0.3264,74,0.1794,2,0.0665,1
2021-12-27,0.0422,5,0.0745,10,0.1772,2,0.2211,10,0.4094,88,0.3267,75,0.1484,2,0.0813,1
2021-12-23,0.0543,8,0.0608,7,0.1805,2,0.2342,12,0.4094,88,0.3268,75,0.1805,2,0.0897,2
2021-12-22,0.0543,8,0.0615,7,0.1832,2,0.1631,6,0.4096,88,0.3273,76,0.1832,3,0.0801,1
2021-12-21,0.0563,8,0.064,8,0.1805,2,0.1783,6,0.4096,88,0.3278,76,0.1805,2,0.0883,2
2021-12-20,0.0566,8,0.0666,9,0.192,3,0.1725,6,0.4096,88,0.3279,76,0.192,3,0.0911,3
2021-12-17,0.0521,7,0.0721,10,0.1811,2,0.0958,2,0.4102,88,0.3285,77,0.1811,3,0.0958,4
2021-12-15,0.0447,5,0.0839,12,0.1667,1,0.1793,6,0.4108,89,0.3296,77,0.1667,2,0.099,4
2021-12-14,0.9451,98,0.1492,13,0.1692,2,0.188,7,0.4114,89,0.3297,77,0.1692,2,0.0999,4
2021-12-13,0.9626,98,0.1867,24,0.222,4,0.1663,6,0.4119,89,0.33,78,0.1904,3,0.0978,4
2021-12-10,0.9491,98,0.2321,45,0.1809,2,0.3403,59,0.4121,89,0.3308,78,0.1809,2,0.1086,5
2021-12-09,1.12,99,0.8048,99,0.177,2,0.3718,67,0.4125,89,0.3312,79,0.0821,1,0.131,7
2021-12-08,1.2285,99,0.8406,99,0.1608,1,0.1269,3,0.4125,89,0.3313,79,0.0865,1,0.1257,6
2021-12-07,1.2254,99,0.9296,99,0.2292,5,0.2985,37,0.4132,89,0.3319,79,0.1064,1,0.1573,8
2021-12-06,1.232,99,0.9367,99,0.2283,5,0.4062,75,0.4133,89,0.3321,79,0.1134,1,0.0934,3
2021-12-03,1.0183,99,0.9351,99,0.8849,99,0.8027,98,0.3479,67,0.3309,78,0.3477,67,0.464,90
2021-12-02,1.0379,99,0.9496,99,0.901,99,0.7903,98,0.3473,66,0.3302,78,0.3019,35,0.3927,79
2021-12-01,1.0387,99,0.9514,99,0.8336,99,0.7865,98,0.3453,64,0.3288,77,0.4781,91,0.4401,85
2021-11-30,0.6769,95,0.5724,97,0.8861,99,0.911,100,0.2899,38,0.2739,44,0.4607,88,0.4093,81
2021-11-29,0.6277,95,0.5349,96,0.7546,98,0.675,97,0.2833,37,0.2686,38,0.3742,73,0.4339,84
2021-11-26,0.3418,76,0.3727,84,0.5476,89,0.5671,93,0.2567,32,0.2517,30,0.3333,60,0.3744,76
2021-11-24,0.3721,80,0.3691,84,0.4937,84,0.5155,91,0.2585,32,0.2508,28,0.3745,74,0.4431,85
2021-11-23,0.3501,78,0.3618,82,0.488,83,0.4812,88,0.2578,32,0.2503,28,0.3101,42,0.3529,71
2021-11-22,0.2816,64,0.3065,70,0.4662,80,0.4663,85,0.2559,31,0.2475,28,0.365,71,0.3419,67
2021-11-19,0.2864,66,0.2897,67,0.4803,82,0.4947,89,0.2557,31,0.2457,28,0.3595,70,0.3518,71
2021-11-18,0.2836,65,0.2633,57,0.4878,83,0.4705,86,0.2544,30,0.2444,27,0.3822,75,0.357,73
2021-11-17,0.1612,24,0.2396,48,0.5181,87,0.9852,100,0.2529,28,0.2437,26,0.4024,79,0.4396,84
2021-11-16,0.1521,21,0.2244,42,0.5675,91,0.4808,87,0.2548,30,0.2458,28,0.2925,31,0.3573,73
2021-11-12,0.552,91,0.3375,78,0.4229,73,0.3428,59,0.2527,28,0.2444,27,0.354,69,0.3711,76
2021-11-10,0.5544,92,0.3729,84,0.2653,15,0.2671,22,0.2537,28,0.2436,26,0.2653,15,0.3591,73
