date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-06-23,1.2948,,1.1286,,1.8575,,2.6421,,0.4433,,0.4335,,0.816,,1.0714,
2022-06-22,1.294,,1.0585,,1.8031,,2.1463,,0.4404,,0.4238,,0.7457,,1.1407,
2022-06-21,1.0862,,0.955,,1.8586,,2.7267,,0.4117,,0.412,,0.7815,,1.1787,
2022-06-17,1.0571,,0.6947,,1.8028,,2.6803,,0.4078,,0.382,,0.7727,,1.1044,
2022-06-16,0.6185,,0.3546,,2.2578,,2.3404,,0.3662,,0.3556,,0.8227,,1.0668,
2022-06-15,0.0297,,0.0801,,0.9736,,1.8514,,0.3346,,0.3479,,0.5954,,1.0904,
2022-06-14,0.0286,,0.0767,,1.025,,1.7115,,0.3393,,0.3514,,0.9579,,1.1897,
2022-06-13,0.051,,0.0812,,1.0337,,1.6771,,0.3412,,0.3576,,0.9437,,0.9906,
2022-06-10,0.0554,,0.081,,0.9379,,1.3856,,0.3434,,0.3582,,0.8358,,1.0363,
2022-06-09,0.0611,,0.0931,,0.9764,,1.3334,,0.3436,,0.36,,0.9138,,1.0493,
2022-06-08,0.0596,,0.0944,,0.9367,,1.2974,,0.3436,,0.3609,,0.9328,,0.9645,
2022-06-07,0.1029,,0.1236,,0.959,,1.2659,,0.3527,,0.3627,,0.9664,,1.1225,
2022-06-06,0.1006,,0.1424,,0.9547,,1.2663,,0.3542,,0.3654,,0.9084,,1.0514,
2022-06-03,0.114,,0.1417,,0.8982,,1.1458,,0.3545,,0.3673,,0.9314,,0.9977,
2022-06-02,0.108,,0.1444,,0.9111,,1.0783,,0.3558,,0.3781,,1.0248,,1.0651,
2022-06-01,0.0964,,0.1513,,0.9433,,1.1572,,0.3615,,0.3865,,0.9238,,1.0568,
2022-05-31,0.1006,,0.1718,,0.9371,,1.0255,,0.3633,,0.3924,,0.9003,,0.9944,
2022-05-27,0.0948,,0.1764,,0.9188,,1.0591,,0.3684,,0.4002,,0.9046,,1.0168,
2022-05-26,0.0938,,0.1603,,0.944,,1.0764,,0.3735,,0.407,,0.9929,,1.0142,
2022-05-25,0.0938,,0.165,,0.4846,,0.456,,0.3787,,0.4107,,1.0336,,1.0871,
2022-05-24,0.1174,,0.1853,,0.5361,,0.529,,0.3818,,0.412,,0.9185,,1.0929,
2022-05-23,0.1842,,0.2207,,0.6084,,0.5766,,0.3878,,0.4176,,1.0405,,1.2384,
2022-05-20,0.202,,0.2267,,0.4822,,0.5613,,0.3911,,0.4246,,1.0167,,1.0572,
2022-05-19,0.2079,,0.2134,,0.6647,,0.6005,,0.3917,,0.4305,,0.8758,,1.0147,
2022-05-18,0.2076,,0.2123,,0.5479,,0.7088,,0.3939,,0.4331,,0.8532,,1.1062,
2022-05-17,0.3179,,0.2327,,0.6775,,0.6353,,0.4104,,0.4431,,0.9556,,1.0964,
2022-05-16,0.3185,,0.2296,,0.7087,,0.6875,,0.4164,,0.45,,0.9118,,1.0374,
2022-05-13,0.319,,0.2239,,0.7233,,0.4841,,0.4197,,0.461,,0.932,,1.0215,
2022-05-12,0.2989,,0.2104,,0.6585,,0.834,,0.4674,,0.4797,,0.925,,1.0718,
2022-05-11,0.2708,,0.2029,,0.8259,,0.8139,,0.5129,,0.4992,,0.7016,,1.0258,
2022-05-10,0.2975,,0.2146,,0.8086,,0.821,,0.5152,,0.5,,0.98,,1.0293,
2022-05-09,0.299,,0.2138,,0.798,,0.8691,,0.5198,,0.5053,,0.8285,,1.0378,
2022-05-06,0.1845,,0.2136,,0.3788,,0.491,,0.5167,,0.5081,,0.9239,,1.0383,
2022-05-05,0.1856,,0.2244,,0.456,,0.4651,,0.5231,,0.511,,0.825,,1.0014,
2022-05-04,0.2241,,0.2459,,0.3735,,0.4795,,0.5229,,0.5113,,0.8356,,0.9452,
2022-05-03,0.2019,,0.2453,,0.462,,0.4263,,0.5229,,0.5114,,0.8161,,1.0194,
2022-05-02,0.2026,,0.2677,,0.4568,,0.5031,,0.5229,,0.5114,,0.8004,,0.9979,
2022-04-29,0.1787,,0.3189,,0.4568,,0.398,,0.5234,,0.5121,,0.8793,,0.9815,
2022-04-28,0.1929,,0.3353,,0.4243,,0.4697,,0.5241,,0.5123,,0.813,,0.9921,
2022-04-27,0.2799,,0.3561,,0.4576,,0.4789,,0.5241,,0.5123,,0.8554,,1.0386,
2022-04-26,0.2703,,0.3478,,0.4307,,0.4732,,0.5263,,0.515,,0.8922,,1.031,
2022-04-25,0.2559,,0.3289,,0.5496,,0.587,,0.5253,,0.5146,,0.8531,,1.053,
