date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2006-09-29,0.4224,46,0.0,1,0.4638,,0.4754,,0.6062,73,0.0,1,0.4198,,0.4751,
2006-09-28,0.4059,42,0.0,1,0.4779,,0.4743,,0.607,73,0.0,1,0.4209,,0.4728,
2006-09-27,0.576,74,0.0,1,0.4888,,0.4968,,0.6073,73,0.0,1,0.4153,,0.4857,
2006-09-26,0.6407,79,0.0,1,0.4699,,0.5214,,0.604,73,0.0,1,0.42,,0.4873,
2006-09-25,0.6193,78,0.0,1,0.509,,0.4896,,0.6052,73,0.0,1,0.4076,,0.4766,
2006-09-22,0.627,79,0.0,1,0.4553,,0.5031,,0.6073,73,0.0,1,0.4093,,0.4717,
2006-09-21,0.6262,78,0.0,1,0.4383,,0.4913,,0.6084,74,0.0,1,0.4052,,0.4768,
2006-09-20,0.6161,78,0.0,1,0.4801,,0.4762,,0.6105,74,0.0,1,0.412,,0.4674,
2006-09-19,0.7631,85,0.0,1,0.4669,,0.4994,,0.6144,74,0.0,1,0.4065,,0.475,
2006-09-18,0.7292,84,0.0,1,0.4452,,0.4998,,0.6092,74,0.0,1,0.3983,,0.4783,
2006-09-15,0.4422,51,0.0,1,0.6071,,0.4592,,0.603,73,0.0,1,0.4365,,0.4685,
2006-09-14,0.5304,68,0.0,1,0.5019,,0.5034,,0.6014,73,0.0,1,0.4167,,0.4891,
2006-09-13,0.5836,75,0.0,1,0.4813,,0.5151,,0.5996,73,0.0,1,0.4079,,0.4796,
2006-09-12,0.5815,75,0.0,1,0.4769,,0.4807,,0.5999,73,0.0,1,0.4023,,0.4815,
2006-09-11,1.279,93,0.0,1,0.4945,,0.5016,,0.5988,73,0.0,1,0.435,,0.5108,
2006-09-08,1.0724,91,0.0,1,0.4422,,0.4345,,0.583,72,0.0,1,0.3928,,0.4702,
2006-09-07,1.0239,90,0.0,1,0.4219,,0.4341,,0.5823,72,0.0,1,0.3843,,0.4693,
2006-09-06,1.0356,90,0.0,1,0.4169,,0.4255,,0.5819,72,0.0,1,0.3917,,0.4567,
