date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2016-03-07,0.4156,71,0.6628,94,0.8619,,0.6684,,0.7064,90,0.6426,91,0.8619,,0.6778,
2016-01-28,0.3911,67,0.7083,95,0.8749,,0.9447,,0.9213,94,0.761,100,0.8749,,0.8017,
2016-01-21,0.6154,89,0.6816,95,0.7974,,0.8174,,0.9283,95,0.7573,99,0.7974,,0.8061,
2016-01-20,0.6219,90,0.6371,92,0.7115,,1.0175,,0.9277,95,0.7545,98,0.7115,,0.8475,
2016-01-14,0.4199,71,0.4605,76,0.7854,,0.8824,,0.9236,94,0.7483,97,0.7854,,0.8316,
2016-01-13,0.3912,67,0.4142,71,0.8433,,0.8903,,0.9278,95,0.7489,98,0.8433,,0.8903,
2016-01-12,0.4025,69,0.4174,71,0.773,,0.9409,,0.9277,95,0.7493,98,0.773,,0.8487,
2016-01-07,0.3031,51,0.5203,82,0.8122,,0.8001,,0.9379,97,0.7554,98,0.8122,,0.8001,
2016-01-05,0.3121,52,0.5031,81,0.8406,,0.8199,,0.9396,97,0.7557,98,0.8406,,0.7778,
2016-01-04,0.4094,70,0.5616,87,0.7856,,0.7903,,0.9395,97,0.7566,99,0.7856,,0.7903,
2015-12-24,0.8164,96,0.731,96,0.7642,,0.7884,,0.9373,97,0.7505,98,0.6739,,0.7884,
2015-11-27,0.737,94,0.6422,93,0.7728,,0.7575,,0.9175,92,0.7211,95,0.6867,,0.7575,
2015-10-13,0.8907,98,0.7358,96,1.0185,,0.8269,,0.9777,100,0.6853,93,1.0185,,0.8269,
2015-08-18,0.4456,74,0.4675,77,0.5955,,0.6881,,0.6908,89,0.4602,89,0.4789,,0.6881,
2015-08-14,0.5148,80,0.5809,88,0.7335,,0.6071,,0.6911,89,0.46,88,0.5379,,0.5804,
2015-08-13,0.557,84,0.6957,95,0.6168,,0.6169,,0.6911,89,0.46,88,0.5256,,0.5791,
2015-08-12,0.5549,84,0.7101,95,0.8013,,0.6018,,0.6926,89,0.4601,88,0.5282,,0.5799,
2015-08-11,0.507,80,0.7298,96,0.623,,0.5881,,0.6921,89,0.4591,87,0.5121,,0.5652,
2015-08-10,0.1739,17,0.6948,95,0.4735,,0.6376,,0.6883,88,0.4559,86,0.4898,,0.5279,
2015-08-07,0.5614,85,0.6547,93,0.6831,,0.5662,,0.6864,88,0.4491,80,0.4523,,0.537,
2015-08-06,0.5564,84,0.6145,90,0.6431,,0.6031,,0.6851,88,0.4441,79,0.5063,,0.6031,
2015-08-05,0.6376,91,0.631,91,0.718,,0.5815,,0.6847,88,0.4423,78,0.5066,,0.5549,
2015-08-04,0.627,90,0.5132,82,0.5123,,0.605,,0.683,88,0.4329,75,0.5202,,0.5671,
2015-08-03,0.6268,90,0.4899,80,0.625,,0.6042,,0.6824,88,0.4312,74,0.5297,,0.5814,
2015-07-31,0.6287,91,0.4761,78,0.693,,0.7054,,0.6844,88,0.4303,74,0.5302,,0.5772,
2015-07-30,0.6736,93,0.5237,83,0.7417,,0.6429,,0.7013,90,0.4401,77,0.5296,,0.5769,
2015-07-29,0.3527,61,0.5066,81,0.5653,,0.5584,,0.6949,90,0.4367,76,0.5035,,0.5484,
2015-07-28,0.6883,93,0.5421,84,0.5982,,0.6095,,0.6957,90,0.4361,76,0.4988,,0.59,
2015-07-27,0.6187,90,0.5037,81,0.6674,,0.7194,,0.6901,88,0.4329,75,0.5127,,0.5891,
2015-07-24,0.6402,91,0.5067,81,0.5805,,0.7212,,0.6916,89,0.4345,75,0.5358,,0.586,
2015-07-23,0.919,98,0.6635,94,0.6989,,0.6659,,0.6931,89,0.4351,75,0.5346,,0.5777,
2015-07-22,0.9105,98,0.6765,95,0.6413,,0.713,,0.6962,90,0.4348,75,0.53,,0.5855,
2015-07-21,0.8738,97,0.6598,94,0.7445,,0.6964,,0.6936,90,0.4323,75,0.5399,,0.5878,
2015-07-20,0.7888,96,0.6405,92,0.7133,,0.6802,,0.6933,89,0.4317,74,0.5933,,0.6252,
2015-07-17,0.7357,94,0.613,90,0.6263,,0.7718,,0.6871,88,0.4269,73,0.5349,,0.6186,
2015-07-16,0.7306,94,0.5903,89,0.7092,,0.7255,,0.6872,88,0.4252,73,0.5655,,0.5929,
2015-07-15,0.7302,94,0.5936,89,0.6801,,0.7041,,0.6864,88,0.4256,73,0.5316,,0.5846,
2015-07-13,0.2932,48,0.3745,63,0.5822,,0.611,,0.6677,85,0.4105,69,0.5064,,0.5402,
2015-07-06,0.1702,16,0.3172,47,0.5377,,0.5699,,0.6662,85,0.4082,67,0.5377,,0.5699,
2015-07-02,0.1673,15,0.3155,47,0.5174,,0.5695,,0.6668,85,0.4097,69,0.5174,,0.5695,
2015-07-01,0.2088,26,0.3004,42,0.5495,,0.569,,0.6664,85,0.4082,67,0.498,,0.569,
2015-06-30,0.2051,25,0.2867,36,0.5841,,0.5521,,0.6663,85,0.4082,67,0.5121,,0.5521,
2015-06-29,0.2496,37,0.2847,35,0.5847,,0.5818,,0.6662,85,0.4079,67,0.5245,,0.54,
2015-06-26,0.2656,41,0.2599,24,0.497,,0.6684,,0.6661,85,0.4065,65,0.589,,0.5681,
2015-06-25,0.2656,41,0.2635,25,0.5157,,0.6182,,0.6661,85,0.4061,65,0.4902,,0.5522,
2015-06-24,0.2656,41,0.2407,18,0.588,,0.5756,,0.6661,85,0.4052,65,0.5181,,0.5547,
2015-06-23,0.2656,41,0.2422,18,0.5078,,0.575,,0.6661,85,0.4051,64,0.4732,,0.5473,
2015-06-22,0.2015,24,0.2152,11,0.5419,,0.5398,,0.6648,84,0.4042,64,0.4991,,0.5398,
2015-06-19,0.2015,24,0.2185,11,0.5434,,0.5754,,0.665,84,0.4042,64,0.5233,,0.5277,
