date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-08-29,0.5289,,0.5635,,0.9605,,1.1102,,1.094,,0.9651,,0.9627,,1.026,
2022-08-26,0.6323,,0.7879,,0.967,,0.978,,1.094,,0.9648,,1.0725,,1.0956,
2022-08-25,0.6169,,0.7739,,0.9795,,1.0931,,1.0918,,0.9652,,0.945,,1.0329,
2022-08-24,1.099,,0.8843,,0.9465,,1.0524,,1.096,,0.9671,,0.9253,,1.0216,
2022-08-23,1.5302,,1.0673,,0.9938,,1.1408,,1.0962,,0.968,,0.9306,,1.022,
2022-08-22,1.6719,,1.0952,,1.0088,,1.0332,,1.0975,,0.9744,,0.946,,1.0876,
2022-08-19,1.6767,,1.1088,,1.1507,,1.0766,,1.0953,,0.9748,,0.9402,,1.0701,
2022-08-18,1.8365,,1.1806,,0.8672,,1.0776,,1.0986,,0.9784,,0.8784,,1.0737,
2022-08-17,1.7599,,1.0555,,1.0339,,1.0423,,1.0952,,0.9744,,0.8341,,1.054,
2022-08-16,1.8882,,1.1401,,0.9744,,1.0454,,1.1021,,0.9768,,0.8848,,1.106,
2022-08-15,1.0266,,1.1284,,1.0328,,1.1469,,1.0628,,0.9722,,0.9922,,1.0766,
2022-08-12,0.9412,,0.9656,,1.7393,,1.1073,,1.0521,,0.9618,,0.9141,,1.0562,
2022-08-11,0.9365,,0.9362,,0.9807,,1.1199,,1.0489,,0.9612,,0.9182,,1.0605,
2022-08-10,0.8647,,0.9132,,1.0882,,1.1009,,1.0529,,0.962,,0.934,,1.0702,
2022-08-09,0.8178,,0.8236,,1.1439,,1.0841,,1.0427,,0.9602,,0.9378,,1.0614,
2022-08-08,0.6232,,0.8369,,1.625,,1.0419,,1.042,,0.9595,,0.9091,,1.0344,
2022-08-05,0.3126,,0.7365,,1.495,,1.0653,,1.0268,,0.9539,,0.9414,,1.049,
2022-08-04,0.4073,,0.6595,,0.9225,,1.4539,,1.0257,,0.9515,,0.9039,,1.0782,
2022-08-03,0.8231,,0.6818,,0.9622,,1.3575,,1.0357,,0.963,,0.9187,,1.0527,
2022-08-02,0.8513,,0.6525,,0.9903,,1.3035,,1.0327,,0.9629,,0.9431,,1.0635,
2022-08-01,1.0449,,0.7331,,1.0504,,1.1786,,1.0448,,0.9689,,0.9944,,1.0696,
2022-07-29,1.0481,,0.7733,,0.982,,1.1413,,1.0544,,0.98,,0.945,,1.0705,
2022-07-28,1.1492,,0.7978,,0.9272,,1.1175,,1.0575,,0.9808,,0.9109,,1.0933,
2022-07-27,1.3274,,0.8376,,1.0045,,1.1114,,1.0562,,0.9835,,0.9597,,1.0806,
2022-07-26,1.305,,0.9252,,1.0676,,0.9901,,1.0504,,0.9859,,0.939,,1.0585,
2022-07-25,1.15,,0.9155,,0.9912,,1.2079,,1.0447,,0.9883,,0.9217,,1.0638,
2022-07-22,1.0969,,0.9502,,1.2198,,1.1046,,1.0439,,0.9893,,0.9606,,1.041,
2022-07-21,0.729,,0.8981,,1.1098,,1.164,,1.036,,0.9938,,0.9532,,1.0862,
2022-07-20,0.8182,,0.8792,,1.0927,,1.1923,,1.0604,,1.0019,,0.9432,,1.0771,
2022-07-19,0.8643,,0.8383,,0.9916,,1.2915,,1.0547,,1.0011,,0.9663,,1.0687,
2022-07-18,0.5875,,0.8679,,0.987,,1.0702,,1.0412,,0.9977,,0.9413,,1.0813,
2022-07-15,1.0943,,0.9501,,0.9845,,1.0323,,1.0355,,0.992,,0.9238,,1.0999,
2022-07-14,1.1873,,0.9923,,0.9896,,1.0497,,1.0344,,0.993,,1.9253,,1.108,
2022-07-13,1.2278,,1.0353,,1.0172,,0.9862,,1.0383,,0.9946,,0.9991,,1.1656,
2022-07-12,1.2249,,1.0083,,1.0845,,1.0868,,1.0388,,0.9937,,1.0462,,1.0649,
2022-07-11,1.3025,,1.0383,,1.0942,,1.2492,,1.0385,,0.9937,,1.0256,,1.0746,
2022-07-08,1.3885,,1.1097,,1.0623,,1.1107,,1.0382,,0.993,,1.0258,,1.112,
2022-07-07,1.3847,,1.0351,,1.1213,,1.1864,,1.0378,,0.9895,,0.9927,,1.1626,
2022-07-05,0.7449,,0.8369,,0.9874,,1.1616,,1.0074,,0.9803,,0.9948,,1.1877,
2022-07-01,0.6326,,0.7761,,0.9309,,1.107,,1.0039,,0.9777,,0.9849,,1.1095,
2022-06-30,0.5903,,0.8476,,1.0165,,1.1373,,1.0115,,0.9802,,0.9635,,1.0943,
2022-06-29,0.7915,,0.9266,,1.0193,,1.074,,1.0091,,0.9803,,1.0007,,1.1188,
2022-06-28,0.6212,,0.8488,,1.0865,,1.0875,,1.0041,,0.9759,,1.0613,,1.0946,
2022-06-27,0.6299,,0.8618,,0.9595,,1.0933,,1.0039,,0.9752,,1.0031,,1.0388,
2022-06-24,0.7104,,0.924,,1.0744,,1.1603,,1.0139,,0.9806,,1.0708,,1.1068,
2022-06-23,0.7119,,0.9476,,1.0774,,1.2573,,1.0142,,0.9801,,1.0421,,1.1288,
2022-06-22,1.4824,,1.0702,,1.0734,,1.0997,,1.0329,,0.9984,,1.0559,,1.1152,
2022-06-21,1.4809,,1.0256,,1.0496,,1.1479,,1.0313,,0.996,,1.0418,,1.1235,
2022-06-17,1.3397,,0.9171,,1.1063,,1.0407,,1.0384,,0.9921,,1.1405,,1.0906,
2022-06-16,1.3225,,0.9427,,1.005,,1.1575,,1.0429,,0.9928,,1.13,,1.1354,
2022-06-15,1.355,,0.9202,,1.0869,,1.1233,,1.045,,0.9952,,1.017,,1.1339,
2022-06-14,1.2329,,0.849,,0.9152,,1.1134,,1.0412,,0.9931,,1.0439,,1.1417,
2022-06-13,1.1533,,0.8535,,0.8685,,0.9051,,1.0446,,0.9981,,1.0467,,1.0246,
2022-06-10,0.6267,,0.6863,,1.1076,,1.0512,,1.009,,0.9936,,0.9912,,1.0225,
2022-06-09,0.6249,,0.7086,,1.0035,,1.1053,,1.008,,0.9945,,1.0036,,1.083,
2022-06-08,0.6538,,0.7199,,1.0034,,1.1046,,1.0073,,0.9955,,0.9709,,1.0868,
2022-06-07,0.6948,,0.6606,,0.9537,,1.086,,1.0059,,0.9928,,1.0159,,1.0919,
2022-06-06,0.7011,,0.745,,1.1774,,1.1486,,1.0058,,0.9945,,1.0143,,1.1111,
2022-06-03,0.6948,,0.7441,,0.9828,,1.079,,1.0305,,1.0026,,1.0085,,1.1098,
2022-06-02,0.6427,,0.7089,,0.9506,,1.0514,,1.0401,,1.0137,,0.9669,,1.1064,
2022-06-01,0.6211,,0.6967,,1.2565,,1.0391,,1.0618,,1.0267,,1.0841,,1.1252,
2022-05-31,0.7284,,0.807,,1.0965,,1.0719,,1.0624,,1.0287,,1.0451,,1.1151,
2022-05-27,0.7149,,0.8,,1.0337,,1.1237,,1.0773,,1.0388,,1.0305,,1.1089,
2022-05-26,0.647,,0.8462,,1.1682,,1.0914,,1.0756,,1.0402,,1.0579,,1.122,
2022-05-25,0.8326,,0.7996,,1.1399,,1.1074,,1.0751,,1.038,,1.0332,,1.1056,
2022-05-24,0.8494,,0.8247,,1.1534,,1.1183,,1.0754,,1.0373,,1.0135,,1.1099,
2022-05-23,0.9318,,0.8557,,0.999,,1.1269,,1.0732,,1.037,,1.0314,,1.1447,
2022-05-20,0.9514,,0.9953,,1.0424,,1.1672,,1.073,,1.0378,,1.0566,,1.1256,
2022-05-19,1.2738,,1.027,,1.0699,,1.0971,,1.0715,,1.0359,,1.0426,,1.1025,
2022-05-18,1.2822,,1.0802,,1.0898,,1.0812,,1.0717,,1.0367,,1.0609,,1.1232,
2022-05-17,1.3444,,1.0881,,1.0331,,1.0922,,1.0781,,1.0369,,1.0253,,1.0943,
2022-05-16,1.2326,,1.0822,,1.1112,,1.6098,,1.0772,,1.0375,,1.061,,1.1166,
2022-05-13,1.2537,,1.0881,,1.374,,1.4277,,1.0858,,1.0376,,1.0734,,1.1526,
2022-05-12,1.1926,,1.1102,,1.2764,,1.3268,,1.0792,,1.0374,,1.0945,,1.1821,
2022-05-11,1.0962,,0.9822,,1.4671,,1.1447,,1.0771,,1.0303,,1.0811,,1.1172,
2022-05-10,0.945,,0.8745,,1.3908,,1.4534,,1.0584,,1.0225,,1.0988,,1.1443,
2022-05-09,0.9506,,0.835,,1.3593,,1.5169,,1.0595,,1.022,,1.0805,,1.1379,
2022-05-06,0.8444,,0.7833,,1.3215,,1.3763,,1.0545,,1.0252,,1.078,,1.13,
2022-05-05,0.819,,0.7803,,1.2841,,1.4814,,1.0636,,1.0331,,1.0621,,1.1304,
2022-05-04,0.6533,,0.7816,,1.2419,,1.3389,,1.063,,1.0395,,1.0338,,1.1364,
