date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2014-11-26,0.1711,,0.0,,0.339,,0.3552,,0.0,,0.0,,0.3018,,0.4369,
2014-11-21,0.1592,,0.0,,0.3317,,0.4199,,0.0,,0.0,,0.3317,,0.4199,
2014-11-20,0.1624,,0.0,,0.3375,,0.3639,,0.0,,0.0,,0.3375,,0.4225,
2014-11-18,0.1748,,0.0,,0.3309,,0.3781,,0.0,,0.0,,0.3309,,0.4148,
2014-11-14,0.2619,,0.0,,0.3518,,0.4139,,0.0,,0.0,,0.334,,0.4139,
2014-11-11,0.2912,,0.0,,0.3293,,0.3702,,0.0,,0.0,,0.3293,,0.4132,
2014-11-10,0.3035,,0.0,,0.3365,,0.3636,,0.0,,0.0,,0.3365,,0.4104,
2014-11-06,0.3659,,0.0,,0.3507,,0.3941,,0.0,,0.0,,0.303,,0.4245,
2014-11-05,0.3212,,0.0,,0.3576,,0.4283,,0.0,,0.0,,0.3272,,0.4283,
2014-11-04,0.2169,,0.0,,0.3064,,0.469,,0.0,,0.0,,0.3064,,0.469,
2014-11-03,0.2254,,0.0,,0.3409,,0.4177,,0.0,,0.0,,0.3409,,0.4177,
2014-10-31,0.166,,0.0,,0.3309,,0.4266,,0.0,,0.0,,0.3309,,0.4266,
2014-10-30,0.1738,,0.0,,0.3301,,0.402,,0.0,,0.0,,0.3301,,0.402,
2014-10-29,0.1545,,0.0,,0.3689,,0.3985,,0.0,,0.0,,0.33,,0.3985,
2014-10-24,0.467,,0.0,,0.2801,,0.4192,,0.0,,0.0,,0.2801,,0.4156,
2014-10-23,0.4325,,0.0,,0.2734,,0.415,,0.0,,0.0,,0.2734,,0.4224,
2014-10-22,0.5142,,0.0,,0.2826,,0.4108,,0.0,,0.0,,0.2826,,0.4268,
2014-10-21,0.5379,,0.0,,0.2825,,0.4182,,0.0,,0.0,,0.2825,,0.4182,
2014-10-20,0.5254,,0.0,,0.3082,,0.4214,,0.0,,0.0,,0.2944,,0.4214,
2014-10-17,0.5351,,0.0,,0.2839,,0.4249,,0.0,,0.0,,0.2839,,0.4393,
2014-10-15,0.2436,,0.0,,0.3643,,0.4551,,0.0,,0.0,,0.3256,,0.4632,
2014-10-14,0.2717,,0.0,,0.329,,0.4549,,0.0,,0.0,,0.2988,,0.4549,
2014-10-10,0.2286,,0.0,,0.2818,,0.3882,,0.0,,0.0,,0.2818,,0.4088,
2014-10-09,0.1972,,0.0,,0.2961,,0.4379,,0.0,,0.0,,0.2961,,0.4192,
2014-10-08,0.1884,,0.0,,0.2687,,0.4071,,0.0,,0.0,,0.2687,,0.4128,
2014-10-07,0.1785,,0.0,,0.2831,,0.3902,,0.0,,0.0,,0.2831,,0.4057,
2014-10-06,0.1072,,0.0,,0.2867,,0.3952,,0.0,,0.0,,0.2707,,0.4179,
2014-10-03,0.1663,,0.0,,0.3079,,0.4171,,0.0,,0.0,,0.2845,,0.4171,
2014-10-02,0.1776,,0.0,,0.2879,,0.3978,,0.0,,0.0,,0.28,,0.4212,
2014-10-01,0.1606,,0.0,,0.3214,,0.3914,,0.0,,0.0,,0.2878,,0.4044,
2014-09-30,0.2399,,0.0,,0.3107,,0.4,,0.0,,0.0,,0.2901,,0.4114,
2014-09-29,0.2587,,0.0,,0.3086,,0.4098,,0.0,,0.0,,0.2901,,0.4248,
2014-09-26,0.3208,,0.0,,0.2928,,0.3965,,0.0,,0.0,,0.2928,,0.4159,
