date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2011-02-23,0.2035,7,0.0,1,0.8098,,0.8365,,0.9763,69,0.0,1,0.8098,,0.8365,
2008-08-29,0.2611,12,0.2682,26,0.6081,,0.6546,,0.8128,44,0.0,1,0.6081,,0.6474,
2008-08-28,0.2532,11,0.3547,32,0.6207,,0.6513,,0.8202,44,0.0,1,0.6207,,0.6507,
2008-08-27,0.6406,53,0.4718,41,0.6005,,0.6518,,0.8486,50,0.0,1,0.6005,,0.6665,
2008-08-26,0.7689,64,0.5578,48,0.6257,,0.667,,0.8491,50,0.0,1,0.6257,,0.6605,
2008-08-25,0.769,64,0.566,49,0.5812,,0.6959,,0.8547,51,0.0,1,0.5812,,0.6899,
2008-08-22,0.7247,60,0.5659,49,0.6175,,0.6853,,0.8544,51,0.0,1,0.6175,,0.6827,
2008-08-21,0.7204,60,0.5656,49,0.6164,,0.688,,0.8549,52,0.0,1,0.6164,,0.6771,
2008-08-20,0.7099,59,0.5633,49,0.6266,,0.6704,,0.8556,52,0.0,1,0.6266,,0.6729,
2008-08-19,0.7021,57,0.5222,45,0.6197,,0.6843,,0.856,52,0.0,1,0.6197,,0.6532,
2008-08-18,0.5449,41,0.426,36,0.6496,,0.6701,,0.845,49,0.0,1,0.6285,,0.6701,
2008-08-15,0.2217,8,0.3017,28,0.621,,0.6892,,0.8373,47,0.0,1,0.6393,,0.6892,
2008-08-14,0.1921,6,0.303,28,0.7365,,0.7104,,0.8368,47,0.0,1,0.644,,0.7104,
2008-08-13,0.2039,7,0.3296,30,0.697,,0.7435,,0.8414,48,0.0,1,0.6807,,0.7435,
2008-08-12,0.3464,21,0.3548,32,0.727,,0.7485,,0.8439,49,0.0,1,0.667,,0.7485,
2008-08-11,0.3807,24,0.4576,39,0.7933,,0.746,,0.8444,49,0.0,1,0.6921,,0.746,
2008-08-08,0.4093,26,0.4542,39,0.6921,,0.7765,,0.8445,49,0.0,1,0.6406,,0.7765,
2008-08-07,0.3934,25,0.4602,39,0.7185,,0.7559,,0.8441,49,0.0,1,0.6968,,0.7584,
2008-08-06,0.3862,24,0.4722,41,0.7222,,0.7585,,0.8477,50,0.0,1,0.6865,,0.757,
2008-08-05,0.3934,25,0.4522,39,0.7468,,0.7545,,0.8475,50,0.0,1,0.6922,,0.7545,
2008-08-04,0.3794,24,0.4396,38,0.7366,,0.7471,,0.8482,50,0.0,1,0.711,,0.7558,
2008-08-01,0.3276,19,0.4217,36,0.7094,,0.7824,,0.8467,50,0.0,1,0.6885,,0.7599,
2008-07-31,0.2579,11,0.336,31,0.7818,,0.8016,,0.8458,49,0.0,1,0.7445,,0.7956,
2008-07-30,0.2805,14,0.3446,31,0.7788,,0.8046,,0.8452,49,0.0,1,0.7343,,0.799,
2008-07-29,0.2965,16,0.3626,33,0.7969,,0.8283,,0.8464,49,0.0,1,0.7286,,0.8181,
2008-07-28,0.3083,17,0.3563,32,0.7863,,0.8161,,0.8498,51,0.0,1,0.7231,,0.7924,
2008-07-25,0.2943,15,0.3797,34,0.7864,,0.8284,,0.8496,51,0.0,1,0.7273,,0.8134,
2008-07-24,0.3197,18,0.4127,35,0.8922,,0.82,,0.8823,55,0.0,1,0.7902,,0.8224,
2008-07-23,0.3965,25,0.4947,43,0.7521,,0.931,,0.8939,57,0.0,1,0.716,,0.8393,
2008-07-22,0.4128,27,0.5254,45,0.7538,,0.9568,,0.8961,57,0.0,1,0.7314,,0.8518,
2008-07-21,0.4095,26,0.5386,46,0.9616,,0.8446,,0.8956,57,0.0,1,0.7765,,0.836,
2008-07-18,0.3642,22,0.5256,45,0.7848,,0.8929,,0.895,57,0.0,1,0.7848,,0.8577,
2008-07-17,0.5897,47,0.585,51,0.8923,,0.8799,,0.8974,57,0.0,1,0.8186,,0.8799,
2008-07-16,0.6742,55,0.6312,56,0.9302,,0.8604,,0.9,57,0.0,1,0.8339,,0.8604,
2008-07-15,0.9101,73,0.7075,64,0.9594,,0.9022,,0.9087,60,0.0,1,0.8438,,0.9022,
2008-07-14,0.825,68,0.0,1,0.9307,,0.9739,,0.9072,59,0.0,1,0.8805,,0.908,
2008-07-11,0.9347,74,0.0,1,0.912,,0.9364,,0.9111,61,0.0,1,0.8624,,0.9003,
2008-07-10,1.0014,77,0.0,1,0.9307,,0.9578,,0.911,60,0.0,1,0.849,,0.8986,
2008-07-09,1.0022,77,0.0,1,0.9001,,0.9714,,0.911,60,0.0,1,0.8601,,0.9385,
