date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2020-11-16,0.3157,33,0.4851,57,0.632,,0.5448,,0.5264,40,0.4767,36,0.7808,,0.5448,
2020-11-15,0.5869,72,0.5684,71,0.8448,,0.5031,,0.5276,41,0.477,36,0.8448,,0.5031,
2020-11-14,0.5869,72,0.5684,71,0.8414,,0.502,,0.5276,41,0.477,36,0.8414,,0.502,
2020-11-13,0.5869,72,0.5684,71,0.916,,0.6326,,0.5276,41,0.477,36,0.916,,0.6326,
2020-11-11,0.6318,76,0.5706,72,0.7157,,0.7063,,0.5289,41,0.478,37,0.7157,,0.7063,
2020-11-06,0.644,78,0.4624,54,0.7114,,0.6701,,0.5318,43,0.4762,36,0.7183,,0.6658,
2020-11-04,0.3558,40,0.3411,26,0.8783,,0.6807,,0.5181,37,0.4721,35,0.8818,,0.6807,
2020-11-02,0.2483,16,0.3178,20,0.8108,,0.7199,,0.5299,42,0.4756,36,0.7132,,0.7037,
2020-10-30,0.2428,14,0.3244,22,0.8946,,0.7281,,0.5433,45,0.4824,39,0.7089,,0.7088,
2020-10-29,0.285,26,0.3378,25,0.8636,,0.7108,,0.5435,46,0.4826,39,0.6959,,0.7261,
2020-10-28,0.2983,28,0.3455,27,0.7532,,0.7336,,0.5434,45,0.4835,39,0.7986,,0.7336,
2020-10-27,0.5698,70,0.4691,55,1.127,,0.7592,,0.5434,45,0.4824,39,0.7216,,0.7592,
2020-10-26,0.6766,80,0.5049,62,0.7569,,0.7012,,0.5442,46,0.4835,39,0.7964,,0.6851,
2020-10-23,0.6769,80,0.5002,61,0.7933,,0.7588,,0.5431,45,0.4872,41,0.6671,,0.7588,
2020-10-22,0.6725,79,0.4987,60,0.8558,,0.76,,0.5431,45,0.487,40,0.8558,,0.8711,
2020-10-21,0.6725,79,0.5358,66,0.8912,,0.7443,,0.5444,46,0.4938,43,0.572,,0.7689,
2020-10-20,0.666,79,0.5309,65,0.6841,,0.7379,,0.5435,46,0.493,43,0.6205,,0.7026,
2020-10-19,0.6594,78,0.536,66,0.9529,,0.7183,,0.5433,45,0.4931,43,0.747,,0.7475,
