date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2019-02-05,0.076,41,0.0857,90,0.1104,,0.1452,,0.1054,32,0.0947,90,0.1104,,0.1452,
2019-01-29,0.0449,16,0.055,78,0.1309,,0.1902,,0.1042,30,0.0932,90,0.1442,,0.1698,
2019-01-23,0.092,57,0.038,64,0.16,,0.167,,0.1045,31,0.0924,89,0.16,,0.167,
2019-01-22,0.0933,57,0.0393,65,0.146,,0.1556,,0.1058,33,0.0924,89,0.146,,0.1556,
2019-01-15,0.111,67,0.0661,83,0.1366,,0.1618,,0.1052,32,0.0924,89,0.1366,,0.1618,
2019-01-14,0.1199,70,0.0668,84,0.1484,,0.1628,,0.1042,30,0.0923,89,0.1484,,0.1761,
2019-01-11,0.1388,78,0.0679,85,0.1449,,0.1634,,0.104,30,0.0923,89,0.1449,,0.1654,
2019-01-10,0.1377,77,0.091,91,0.1536,,0.1645,,0.1038,30,0.0922,88,0.1536,,0.1679,
2019-01-09,0.1335,76,0.086,90,0.1485,,0.1682,,0.1037,28,0.0917,88,0.1485,,0.1706,
2019-01-08,0.1336,76,0.1308,97,0.153,,0.1707,,0.104,30,0.0916,88,0.153,,0.1779,
2019-01-03,0.115,68,0.1448,98,0.1779,,0.192,,0.1024,27,0.092,88,0.1705,,0.1898,
2019-01-02,0.0996,62,0.1501,99,0.1998,,0.22,,0.1041,30,0.092,88,0.1908,,0.2176,
2018-12-31,0.109,65,0.1421,98,0.1844,,0.1851,,0.1041,30,0.0908,88,0.1734,,0.1792,
2018-12-18,0.0971,60,0.1064,94,0.1706,,0.1939,,0.1024,27,0.085,87,0.1625,,0.1875,
2018-12-17,0.0973,60,0.1051,94,0.1673,,0.1969,,0.1025,28,0.0849,87,0.1641,,0.1881,
2018-12-14,0.0754,41,0.1147,95,0.153,,0.1807,,0.1008,24,0.0844,86,0.1593,,0.18,
2018-12-13,0.0979,60,0.1148,95,0.1445,,0.1711,,0.1017,26,0.0842,86,0.1488,,0.1783,
2018-12-12,0.114,68,0.1179,95,0.1564,,0.1648,,0.1017,26,0.0841,86,0.155,,0.1713,
2018-12-11,0.1168,70,0.0914,91,0.1481,,0.1805,,0.1016,25,0.082,86,0.1525,,0.1817,
2018-12-10,0.1144,68,0.0859,90,0.1539,,0.1953,,0.1016,25,0.0815,86,0.1499,,0.182,
2018-12-07,0.1511,81,0.0949,92,0.155,,0.1909,,0.1016,25,0.0812,85,0.1566,,0.1727,
2018-12-06,0.1439,80,0.0999,93,0.1381,,0.1694,,0.1011,24,0.0811,85,0.1392,,0.1689,
2018-12-03,0.0858,50,0.0814,89,0.124,,0.1466,,0.0994,23,0.0796,85,0.124,,0.1593,
2018-11-29,0.1498,81,0.0779,87,0.1321,,0.1571,,0.1033,28,0.0791,85,0.1379,,0.162,
2018-11-28,0.166,84,0.0764,87,0.1254,,0.1647,,0.1033,28,0.0789,85,0.1336,,0.1647,
2018-11-27,0.1297,75,0.0625,81,0.1407,,0.1656,,0.1012,24,0.078,84,0.1407,,0.1694,
2018-11-21,0.1219,71,0.0948,92,0.1403,,0.173,,0.1023,27,0.0773,84,0.146,,0.173,
2018-11-20,0.1115,67,0.0944,92,0.1548,,0.179,,0.1055,33,0.0785,85,0.1567,,0.1746,
2018-11-19,0.0789,44,0.092,91,0.1573,,0.1452,,0.1027,28,0.0783,84,0.1573,,0.1452,
2018-11-12,0.1048,64,0.1894,99,0.14,,0.1537,,0.1018,26,0.0756,84,0.14,,0.1537,
2018-11-06,0.0607,27,0.0933,92,0.1411,,0.1557,,0.1003,24,0.0616,82,0.1411,,0.1557,
2018-11-02,0.1283,74,0.1013,93,0.1596,,0.1568,,0.0993,22,0.0613,82,0.1535,,0.1568,
2018-10-30,0.1567,82,0.1103,94,0.1518,,0.1716,,0.1118,38,0.0594,82,0.1518,,0.17,
2018-10-26,0.1329,76,0.1043,94,0.1514,,0.1959,,0.1158,41,0.0574,78,0.1514,,0.166,
2018-10-24,0.1815,87,0.1129,95,0.1666,,0.1477,,0.1135,39,0.0563,77,0.1548,,0.1549,
2018-10-23,0.1566,82,0.0941,92,0.121,,0.16,,0.1113,38,0.0541,72,0.1292,,0.16,
2018-10-22,0.1576,82,0.0959,92,0.1395,,0.1412,,0.1114,38,0.0536,72,0.1395,,0.1496,
2018-10-19,0.1987,89,0.1205,96,0.1457,,0.1459,,0.1112,37,0.0533,71,0.1457,,0.1459,
2018-10-18,0.2496,94,0.1425,98,0.1459,,0.1333,,0.1112,37,0.0529,70,0.1459,,0.1457,
2018-10-16,0.2493,94,0.136,98,0.1222,,0.1436,,0.1105,37,0.0518,69,0.1222,,0.147,
2018-10-05,0.0506,20,0.0881,90,0.1183,,0.1354,,0.099,22,0.0407,48,0.1183,,0.1354,
2018-10-01,0.0423,14,0.044,69,0.1143,,0.132,,0.1006,24,0.0371,39,0.1143,,0.132,
2018-09-20,0.0499,20,0.0471,73,0.1084,,0.1375,,0.1262,50,0.0374,40,0.1084,,0.1375,
2018-09-13,0.0376,12,0.046,71,0.1143,,0.1351,,0.1367,56,0.0375,40,0.1143,,0.1351,
2018-09-10,0.0207,5,0.0172,37,0.1157,,0.1361,,0.137,56,0.0361,37,0.1157,,0.1361,
2018-09-06,0.0233,6,0.0272,56,0.1353,,0.1545,,0.1374,56,0.036,37,0.1151,,0.1068,
2018-08-31,0.0198,5,0.0456,70,0.1182,,0.1301,,0.1398,62,0.0364,38,0.0753,,0.1301,
2018-08-30,0.02,5,0.0455,70,0.1038,,0.1293,,0.1399,62,0.0365,38,0.1038,,0.1293,
2018-08-29,0.0264,7,0.0506,75,0.1056,,0.1341,,0.1399,62,0.0365,38,0.1056,,0.1341,
2018-08-28,0.0401,13,0.0493,74,0.1119,,0.1229,,0.1406,64,0.0364,38,0.0825,,0.1229,
