date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2015-07-02,0.0235,2,0.0204,1,0.0287,1,0.0351,1,0.4365,87,0.0906,1,0.0248,1,0.0351,1
2015-06-30,0.035,3,0.0221,1,0.0374,1,0.0566,1,0.4374,88,0.0948,1,0.0174,1,0.0474,1
2015-06-29,0.0463,4,0.0357,3,0.0388,1,0.0404,1,0.4387,88,0.0973,1,0.0144,1,0.0404,1
2015-06-26,0.0454,4,0.0358,3,0.0395,1,0.046,1,0.4387,88,0.0989,1,0.0194,1,0.046,1
2015-06-25,0.0465,4,0.0372,4,0.039,1,0.0595,1,0.4388,88,0.099,1,0.0183,1,0.0595,1
2015-06-22,0.0491,4,0.0448,4,0.0377,1,0.0403,1,0.4389,88,0.1013,1,0.0127,1,0.0403,1
2015-06-18,0.033,3,0.0362,3,0.0373,1,0.0682,1,0.4387,88,0.1029,1,0.0243,1,0.0682,2
2015-06-10,0.0196,2,0.0219,1,0.042,1,0.0455,1,0.4502,89,0.128,1,0.0224,1,0.0455,1
2015-05-18,0.0161,2,0.0294,3,0.0445,1,0.0716,1,0.4558,90,0.1432,2,0.0291,1,0.0544,1
2015-05-14,0.0121,1,0.0301,3,0.0605,1,0.0541,1,0.4558,90,0.1445,2,0.0316,1,0.0541,1
2015-05-13,0.0134,1,0.0297,3,0.0649,2,0.0477,1,0.4558,90,0.1447,2,0.0299,1,0.0451,1
2015-05-11,0.0306,3,0.0283,3,0.0741,2,0.1021,2,0.4569,90,0.1482,2,0.0373,1,0.0606,1
2015-05-08,0.0309,3,0.0278,3,0.0702,2,0.0799,2,0.457,90,0.1491,2,0.0327,1,0.105,2
2015-05-07,0.03,3,0.0254,2,0.0754,2,0.0775,2,0.4572,90,0.1508,2,0.0455,1,0.0773,2
2015-05-06,0.0302,3,0.0268,2,0.0831,2,0.0795,2,0.4654,91,0.1575,3,0.0614,2,0.0925,2
2015-05-05,0.0426,4,0.0311,3,0.0791,2,0.0849,2,0.4655,91,0.1587,3,0.0791,2,0.0849,2
2015-05-04,0.0428,4,0.0318,3,0.1224,2,0.1125,2,0.4655,91,0.1596,4,0.0792,2,0.0829,2
2015-05-01,0.026,2,0.0261,2,0.0934,2,0.172,3,0.4661,91,0.1601,5,0.0934,2,0.0926,2
2015-04-30,0.0268,2,0.0266,2,0.0959,2,0.12,2,0.4665,91,0.1626,6,0.0959,2,0.0956,2
2015-04-28,0.0409,4,0.0303,3,0.1401,2,0.0853,2,0.4695,91,0.1726,8,0.1005,2,0.0853,2
2015-04-20,0.0337,3,0.0228,2,0.0747,2,0.0825,2,0.4724,92,0.1776,9,0.0549,1,0.0825,2
2015-04-10,0.0332,3,0.0708,4,0.0754,2,0.0829,2,0.4778,93,0.1917,18,0.0626,2,0.0829,2
2015-04-09,0.0336,3,0.0705,4,0.0781,2,0.0765,1,0.4788,93,0.1938,21,0.0399,1,0.0765,2
2015-04-07,0.0346,3,0.0701,4,0.0746,2,0.1308,2,0.482,93,0.1968,25,0.0586,1,0.0748,2
2015-03-30,0.0308,3,0.0284,3,0.0578,1,0.1239,2,0.4848,94,0.2001,30,0.0578,1,0.0784,2
2015-03-26,0.0286,3,0.0273,3,0.0533,1,0.0701,1,0.4855,94,0.2019,32,0.0533,1,0.0701,2
2015-03-25,0.0282,3,0.0255,2,0.0562,1,0.0709,1,0.4855,94,0.2021,32,0.0562,1,0.0709,2
2015-03-24,0.0192,2,0.0233,2,0.0485,1,0.0521,1,0.4865,94,0.2028,32,0.0485,1,0.0521,1
2015-03-23,0.0197,2,0.0226,1,0.0528,1,0.0591,1,0.4869,94,0.2038,34,0.0528,1,0.0591,1
2015-03-20,0.0115,1,0.0198,1,0.0592,1,0.0769,2,0.4871,94,0.2044,34,0.0592,2,0.0769,2
