date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2013-01-14,0.4137,57,0.0,1,0.3889,,0.384,,0.3455,27,0.0,1,0.3889,,0.384,
2013-01-11,0.4138,57,0.0,1,0.3662,,0.4025,,0.346,27,0.0,1,0.3662,,0.4025,
2013-01-03,0.3118,33,0.0,1,0.4262,,0.4271,,0.3402,26,0.0,1,0.4262,,0.4271,
2009-11-27,0.5273,73,0.0,1,0.6617,,0.6658,,0.5815,78,0.0,1,0.6859,,0.685,
2009-09-28,0.6471,82,0.0,1,0.6504,,0.6699,,0.749,87,0.0,1,0.6504,,0.6699,
2008-09-04,0.4494,64,0.0,1,0.4426,,0.4628,,0.4377,48,0.0,1,0.4426,,0.4628,
2008-09-03,0.5036,71,0.0,1,0.4357,,0.4653,,0.4377,48,0.0,1,0.4357,,0.4653,
2008-09-02,0.5436,74,0.0,1,0.4326,,0.4688,,0.4384,48,0.0,1,0.4326,,0.4688,
2008-08-29,0.5457,74,0.0,1,0.433,,0.451,,0.4398,49,0.0,1,0.433,,0.451,
2008-08-28,0.5022,70,0.0,1,0.4353,,0.4698,,0.4387,48,0.0,1,0.4353,,0.4698,
2008-08-22,0.3422,42,0.0,1,0.4412,,0.4754,,0.43,45,0.0,1,0.4412,,0.4786,
2008-07-23,0.2865,27,0.0,1,0.4771,,0.4878,,0.4272,44,0.0,1,0.4771,,0.4878,
2008-07-22,0.3506,45,0.0,1,0.4711,,0.4968,,0.4261,44,0.0,1,0.4711,,0.4968,
2008-06-26,0.4154,57,0.0,1,0.4668,,0.4789,,0.4636,55,0.0,1,0.4668,,0.4789,
2008-06-25,0.4256,60,0.0,1,0.4481,,0.4949,,0.464,56,0.0,1,0.4481,,0.4949,
2008-06-24,0.4293,60,0.0,1,0.4621,,0.4732,,0.4703,57,0.0,1,0.4621,,0.4732,
2008-06-23,0.4098,57,0.0,1,0.4546,,0.474,,0.4714,59,0.0,1,0.4546,,0.474,
2008-06-20,0.3946,54,0.0,1,0.4442,,0.5126,,0.4721,59,0.0,1,0.4341,,0.5126,
2008-06-19,0.4963,70,0.0,1,0.4309,,0.5072,,0.4718,59,0.0,1,0.4309,,0.5072,
2008-06-18,0.3966,54,0.0,1,0.4615,,0.4811,,0.4669,57,0.0,1,0.4615,,0.4811,
2008-06-17,0.3994,54,0.0,1,0.4717,,0.4625,,0.4675,57,0.0,1,0.4717,,0.4625,
2008-06-16,0.4329,61,0.0,1,0.4745,,0.4749,,0.4676,57,0.0,1,0.4745,,0.4749,
2008-06-13,0.4265,60,0.0,1,0.4352,,0.498,,0.4697,57,0.0,1,0.4352,,0.498,
2008-06-12,0.445,63,0.0,1,0.467,,0.4732,,0.4691,57,0.0,1,0.467,,0.4857,
2008-06-11,0.4308,61,0.0,1,0.4838,,0.4733,,0.4694,57,0.0,1,0.4838,,0.4888,
2008-06-10,0.3805,51,0.0,1,0.4453,,0.4944,,0.4657,56,0.0,1,0.4453,,0.4944,
2008-06-09,0.3997,55,0.0,1,0.4591,,0.487,,0.4658,56,0.0,1,0.4591,,0.487,
2008-06-06,0.4073,56,0.0,1,0.4537,,0.4842,,0.4651,56,0.0,1,0.4537,,0.4842,
2008-06-05,0.3279,37,0.0,1,0.4356,,0.502,,0.4628,55,0.0,1,0.4272,,0.502,
2008-06-04,0.3253,36,0.0,1,0.4665,,0.5067,,0.4662,57,0.0,1,0.4621,,0.5067,
2008-06-03,0.3114,33,0.0,1,0.4826,,0.4901,,0.4658,56,0.0,1,0.4826,,0.4901,
2008-06-02,0.2923,28,0.0,1,0.4811,,0.4931,,0.4695,57,0.0,1,0.4712,,0.4931,
2008-05-30,0.2993,30,0.0,1,0.4539,,0.5081,,0.4685,57,0.0,1,0.4465,,0.5081,
2008-05-29,0.2905,28,0.0,1,0.4839,,0.4938,,0.4681,57,0.0,1,0.4651,,0.4938,
2008-05-28,0.2986,30,0.0,1,0.4748,,0.4939,,0.4667,57,0.0,1,0.4748,,0.4939,
2008-05-27,0.3676,49,0.0,1,0.4696,,0.52,,0.4684,57,0.0,1,0.4581,,0.52,
2008-05-23,0.3629,48,0.0,1,0.4758,,0.4998,,0.4671,57,0.0,1,0.4758,,0.5035,
2008-05-22,0.3418,42,0.0,1,0.4754,,0.5001,,0.4671,57,0.0,1,0.4738,,0.5008,
2008-05-21,0.3437,43,0.0,1,0.4967,,0.4942,,0.4688,57,0.0,1,0.4814,,0.4997,
2008-05-20,0.2627,22,0.0,1,0.4587,,0.5148,,0.4703,57,0.0,1,0.4609,,0.5148,
2008-05-19,0.2706,24,0.0,1,0.4735,,0.5037,,0.4702,57,0.0,1,0.4639,,0.5037,
2008-04-23,0.3711,49,0.0,1,0.4838,,0.5211,,0.4965,71,0.0,1,0.4838,,0.5211,
2008-04-22,0.4127,57,0.0,1,0.4878,,0.5299,,0.4967,71,0.0,1,0.4878,,0.5299,
2008-04-21,0.5048,71,0.0,1,0.5407,,0.5293,,0.4965,71,0.0,1,0.5003,,0.5293,
2008-04-18,0.5092,71,0.0,1,0.5236,,0.531,,0.497,71,0.0,1,0.4885,,0.531,
2008-04-17,0.5292,73,0.0,1,0.5328,,0.5372,,0.5027,72,0.0,1,0.4886,,0.5372,
2008-04-16,0.5965,78,0.0,1,0.517,,0.5537,,0.503,72,0.0,1,0.4839,,0.5537,
2008-04-15,0.5055,71,0.0,1,0.4803,,0.5589,,0.4982,71,0.0,1,0.4803,,0.5589,
2008-04-11,0.387,52,0.0,1,0.4939,,0.5673,,0.4937,69,0.0,1,0.4939,,0.5277,
2008-04-10,0.3399,41,0.0,1,0.4853,,0.5417,,0.4911,68,0.0,1,0.4853,,0.5417,
2008-04-09,0.3914,53,0.0,1,0.5196,,0.5252,,0.4898,68,0.0,1,0.5196,,0.5252,
2008-04-08,0.3899,53,0.0,1,0.4969,,0.5359,,0.4895,68,0.0,1,0.4969,,0.5359,
2008-04-07,0.3431,43,0.0,1,0.5411,,0.5308,,0.4864,66,0.0,1,0.5,,0.5308,
2008-04-04,0.3554,46,0.0,1,0.5372,,0.5397,,0.486,65,0.0,1,0.4979,,0.5397,
2008-04-03,0.4075,56,0.0,1,0.537,,0.5234,,0.4881,66,0.0,1,0.4975,,0.5234,
2008-04-02,0.4015,55,0.0,1,0.5423,,0.5156,,0.4874,66,0.0,1,0.5105,,0.5156,
2008-04-01,0.3905,53,0.0,1,0.5337,,0.5512,,0.4869,66,0.0,1,0.4913,,0.5512,
2008-03-31,0.369,49,0.0,1,0.5524,,0.5272,,0.4841,64,0.0,1,0.5146,,0.5272,
2008-03-28,0.4094,56,0.0,1,0.5364,,0.5097,,0.4914,69,0.0,1,0.501,,0.5097,
2008-03-26,0.5569,75,0.0,1,0.526,,0.5666,,0.4889,67,0.0,1,0.526,,0.5138,
2008-03-14,0.4726,67,0.0,1,0.4584,,0.4849,,0.4815,63,0.0,1,0.4584,,0.4626,
2008-03-13,0.4522,64,0.0,1,0.4474,,0.4899,,0.4828,63,0.0,1,0.4252,,0.4735,
2008-03-12,0.3165,34,0.0,1,0.4772,,0.4778,,0.48,62,0.0,1,0.4772,,0.4593,
2008-03-11,0.3356,40,0.0,1,0.4369,,0.4842,,0.481,63,0.0,1,0.4369,,0.4705,
2008-03-10,0.2171,13,0.0,1,0.4459,,0.4817,,0.4794,62,0.0,1,0.4459,,0.4677,
2008-03-07,0.2302,14,0.0,1,0.4568,,0.4748,,0.4775,62,0.0,1,0.4568,,0.458,
2008-03-06,0.2321,15,0.0,1,0.4687,,0.4732,,0.476,61,0.0,1,0.4429,,0.4689,
