date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2023-02-23,1.0345,,1.2657,,0.8077,,2.0152,,1.2386,,0.9509,,0.775,,1.3354,
2023-02-22,0.5909,,1.053,,0.6706,,1.0925,,1.2235,,0.937,,0.8132,,1.0801,
2023-02-21,0.5945,,0.7951,,0.6721,,0.7503,,1.2234,,0.9155,,0.7243,,0.7843,
2023-02-17,0.6199,,0.7992,,1.5605,,0.8068,,1.2234,,0.9153,,0.7146,,0.7519,
2023-02-15,0.4814,,0.6948,,0.7584,,1.3843,,1.2212,,0.9114,,0.7332,,0.9476,
2023-02-14,0.5363,,0.739,,0.8319,,1.1919,,1.2207,,0.9103,,1.1033,,0.5425,
2023-02-13,0.5372,,0.805,,0.6737,,2.1478,,1.2191,,0.9083,,1.3864,,0.9197,
2023-02-10,0.5277,,0.8203,,1.0775,,1.2123,,1.2193,,0.9082,,0.5087,,1.0623,
2023-02-09,0.5746,,0.6576,,0.6911,,0.6508,,1.2192,,0.9013,,0.7607,,0.9781,
2023-02-08,0.4939,,0.664,,0.8037,,0.8318,,1.2179,,0.9009,,0.7408,,0.8907,
2023-02-07,0.6191,,0.8965,,1.1558,,0.9456,,1.2196,,0.9018,,0.8794,,0.9697,
2023-02-06,0.7413,,0.9591,,0.6314,,0.8049,,1.2194,,0.9015,,1.2164,,0.6781,
2023-02-02,0.7362,,0.8232,,0.8939,,0.9858,,1.2196,,0.8946,,1.2789,,0.9124,
2023-02-01,0.7214,,0.8389,,0.6522,,0.7774,,1.2191,,0.8938,,0.6433,,0.8846,
2023-01-31,0.7149,,0.9104,,0.9146,,1.0291,,1.2186,,0.8937,,1.4402,,0.8794,
2023-01-30,0.7264,,0.9046,,1.5211,,1.5006,,1.2185,,0.8937,,0.8325,,1.159,
2023-01-27,0.4474,,0.682,,0.4604,,2.1359,,1.2125,,0.8834,,0.4604,,0.7886,
2023-01-25,0.5355,,0.6462,,1.8031,,1.0985,,1.2106,,0.8797,,0.8426,,1.4521,
2023-01-24,0.5148,,0.6632,,1.4733,,0.6589,,1.2115,,0.8795,,1.3475,,0.7155,
2023-01-23,0.4852,,0.6505,,0.5579,,0.898,,1.2117,,0.8796,,0.5579,,1.2222,
2023-01-20,0.3336,,0.5853,,0.9535,,0.948,,1.2135,,0.8771,,0.8793,,1.66,
2023-01-19,0.3243,,0.6107,,0.8601,,0.8401,,1.2157,,0.8774,,1.1316,,0.8269,
2023-01-18,0.3681,,0.6827,,1.1046,,0.8699,,1.2154,,0.8771,,0.9995,,1.2541,
2023-01-17,0.6925,,0.7569,,1.4868,,0.8413,,1.2153,,0.8779,,1.5439,,1.4046,
2023-01-13,0.5593,,0.8345,,0.6664,,0.8368,,1.2116,,0.8784,,0.8677,,1.2896,
