date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2019-01-07,0.6982,,0.8784,,6.8759,,2.6809,,2.0069,,1.4953,,2.0652,,1.7052,
2019-01-04,0.806,,0.9041,,5.9858,,2.6838,,2.0074,,1.4991,,1.7663,,1.7434,
2018-12-27,0.6818,,0.9512,,2.1226,,1.6303,,2.0335,,1.5253,,1.885,,1.9633,
2018-12-14,2.2991,,1.9553,,2.5563,,2.1265,,2.1119,,1.5793,,1.715,,1.1036,
2018-12-13,2.2682,,1.9407,,1.667,,1.3708,,2.1085,,1.5689,,2.3389,,1.2136,
2018-12-12,2.3104,,1.9328,,8.4888,,1.7233,,2.1089,,1.566,,4.4474,,0.9488,
2018-12-11,2.2321,,1.9323,,2.079,,2.0538,,2.1064,,1.5649,,2.2437,,1.1154,
2018-12-10,2.1778,,1.8263,,2.453,,2.7004,,2.1041,,1.5569,,4.5589,,1.3263,
2018-11-30,0.6855,,1.1591,,6.8245,,2.4649,,2.0594,,1.5199,,6.8245,,0.8969,
2018-11-29,0.9725,,1.3148,,7.3571,,2.7823,,2.0588,,1.5203,,5.5151,,0.868,
2018-11-28,1.2343,,1.4503,,4.3257,,1.1027,,2.0583,,1.5202,,1.0327,,0.9429,
2018-11-27,1.1929,,1.4632,,2.5595,,1.4801,,2.0568,,1.5178,,0.9522,,0.8468,
2018-11-26,1.1556,,1.3999,,5.5116,,1.2446,,2.0554,,1.5155,,2.0485,,1.0033,
2018-11-23,1.4481,,1.5535,,0.9404,,1.4004,,2.0552,,1.5105,,3.099,,1.1635,
2018-11-21,1.3918,,1.5206,,0.5875,,0.9804,,2.0558,,1.51,,1.3069,,0.9896,
2018-11-20,1.421,,1.5291,,0.9282,,1.7057,,2.0571,,1.508,,4.3057,,1.0347,
2018-11-16,0.9197,,1.2433,,1.2572,,1.7678,,2.0461,,1.4941,,5.0225,,1.7678,
2018-11-15,0.9433,,1.1755,,4.3611,,1.0984,,2.0479,,1.4944,,3.3311,,1.1602,
2018-11-14,0.9199,,1.1653,,5.7177,,1.0381,,2.0477,,1.4944,,1.5645,,2.1054,
2018-11-13,0.5236,,0.7621,,3.1399,,1.7302,,2.0376,,1.4803,,2.1446,,1.7302,
2018-11-12,0.542,,0.7643,,3.0107,,1.2944,,2.0377,,1.4808,,2.8119,,1.7813,
2018-11-09,0.2556,,0.5718,,2.3938,,2.2763,,2.0345,,1.4786,,2.7832,,2.2763,
2018-11-08,0.167,,0.5915,,1.2203,,1.8731,,2.0371,,1.4816,,2.1214,,1.8731,
2018-11-07,0.4936,,0.6694,,2.104,,1.8423,,2.0375,,1.482,,1.3595,,1.8423,
2018-11-06,0.8695,,1.008,,2.2031,,1.8504,,2.0402,,1.4858,,0.9379,,1.8504,
2018-10-29,0.7113,,1.1807,,2.4201,,1.516,,2.0468,,1.493,,2.5273,,1.5486,
2018-10-19,0.5483,,0.8019,,1.3744,,1.31,,2.0533,,1.4982,,0.8192,,1.7376,
2018-10-18,0.5428,,0.7802,,1.0794,,1.442,,2.0536,,1.5006,,0.8073,,1.7321,
2018-10-17,0.5475,,0.7936,,1.3903,,1.3623,,2.0595,,1.5027,,0.8009,,1.8219,
2018-10-16,0.5509,,0.8168,,0.7948,,1.3156,,2.0703,,1.5084,,1.0309,,1.8087,
2018-10-15,0.8898,,0.9199,,1.3292,,2.0834,,2.0703,,1.5102,,0.7688,,1.8553,
2018-10-12,0.7852,,0.8963,,1.0267,,0.9617,,2.0814,,1.5117,,0.8254,,1.8595,
2018-10-11,0.8286,,0.8321,,1.342,,1.1594,,2.0955,,1.5151,,0.8325,,1.8625,
2018-10-10,0.8265,,0.8908,,1.0824,,1.9224,,2.0992,,1.5205,,0.7349,,1.7924,
2018-10-09,0.8113,,0.9241,,1.7222,,1.6765,,2.0992,,1.5254,,0.8062,,1.6108,
2018-10-08,0.7375,,0.9336,,1.6493,,1.6321,,2.0993,,1.5262,,0.8008,,1.6091,
2018-10-05,0.6986,,0.9783,,1.8209,,1.2459,,2.1086,,1.5304,,0.9179,,1.0773,
2018-10-04,0.4928,,1.0141,,1.2203,,1.2693,,2.1079,,1.5336,,0.8886,,1.2205,
2018-10-03,0.4339,,1.1499,,1.435,,1.0824,,2.1059,,1.5339,,0.8586,,1.3201,
2018-10-02,1.095,,1.2794,,1.4052,,1.4528,,2.1065,,1.5462,,0.8492,,1.5889,
2018-10-01,1.0839,,1.2579,,1.7077,,1.648,,2.1256,,1.5537,,0.9328,,1.5032,
2018-09-28,1.0762,,1.2744,,1.4393,,1.3943,,2.1256,,1.5806,,0.8404,,1.5052,
2018-09-27,1.0963,,1.287,,0.7739,,1.6117,,2.1563,,1.5988,,0.7505,,1.5624,
2018-09-26,1.0907,,1.2441,,1.1941,,1.4058,,2.2173,,1.6385,,0.9158,,1.5133,
2018-09-25,1.0191,,1.1779,,1.1237,,1.5215,,2.2321,,1.6492,,0.9567,,1.4875,
2018-09-24,0.9974,,1.0808,,1.0518,,1.7112,,2.2379,,1.6475,,1.0796,,1.6256,
2018-09-21,0.7319,,0.9043,,0.9788,,1.3817,,2.2399,,1.6682,,1.264,,1.606,
2018-09-20,0.8095,,0.8867,,1.0504,,1.4121,,2.2409,,1.6735,,1.2127,,1.7125,
2018-09-19,0.8113,,0.8471,,1.5275,,0.9516,,2.2441,,1.6766,,1.2839,,1.5126,
2018-09-18,0.7396,,0.8648,,1.1909,,2.9387,,2.2584,,1.6895,,1.0215,,1.6387,
2018-09-17,0.892,,0.9037,,1.847,,1.6172,,2.2721,,1.7118,,1.4227,,1.6316,
2018-09-14,1.096,,1.277,,1.1828,,1.563,,2.269,,1.7108,,1.0725,,1.8408,
2018-09-13,1.2902,,1.4822,,1.3352,,1.4019,,2.2692,,1.7095,,1.402,,2.0691,
