date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2005-01-20,0.242,22,0.0,1,0.5635,,0.5349,,0.4072,28,0.0,1,0.5489,,0.5349,
2005-01-11,0.4315,63,0.5366,81,0.5563,,0.5513,,0.4334,40,0.0,1,0.5455,,0.5513,
2004-12-31,0.1927,12,0.0,1,0.5456,,0.5431,,0.4275,36,0.0,1,0.5456,,0.5431,
2004-12-28,0.2793,31,0.0,1,0.5461,,0.5697,,0.433,40,0.0,1,0.5461,,0.5697,
2004-12-27,0.3149,39,0.0,1,0.5404,,0.5682,,0.4345,42,0.0,1,0.5404,,0.5682,
2004-12-23,0.317,39,0.4323,61,0.5369,,0.5568,,0.4358,42,0.0,1,0.5369,,0.5568,
2004-12-22,0.3072,36,0.4063,56,0.5434,,0.5527,,0.4368,43,0.0,1,0.5434,,0.5527,
2004-12-21,0.3058,36,0.4193,59,0.5446,,0.5545,,0.4438,46,0.0,1,0.5446,,0.5545,
2004-12-17,0.2342,20,0.3912,53,0.5553,,0.5482,,0.4418,45,0.0,1,0.5553,,0.5482,
2004-12-16,0.1887,12,0.4025,55,0.5364,,0.5637,,0.4409,45,0.0,1,0.5364,,0.5637,
2004-12-15,0.224,18,0.3784,50,0.5598,,0.558,,0.4447,47,0.0,1,0.5598,,0.558,
2004-12-14,0.459,68,0.5465,83,0.541,,0.5535,,0.4507,48,0.0,1,0.541,,0.5535,
2004-12-13,0.4774,70,0.5659,85,0.5456,,0.5671,,0.486,64,0.0,1,0.5456,,0.5671,
2004-12-10,0.4482,66,0.5754,86,0.5296,,0.5551,,0.4871,64,0.0,1,0.5296,,0.5551,
2004-02-23,0.2319,20,0.0,1,0.5889,,0.5673,,0.8498,99,0.0,1,0.5889,,0.5673,
2004-02-20,0.2551,25,0.0,1,0.5818,,0.5569,,0.8497,99,0.0,1,0.5818,,0.5569,
2004-02-19,0.2666,28,0.0,1,0.583,,0.5662,,0.8496,99,0.0,1,0.583,,0.5662,
2004-01-30,0.3326,44,0.5749,86,0.5771,,0.5695,,0.8286,98,0.0,1,0.5771,,0.5695,
2003-05-20,0.2379,21,0.2997,33,0.479,,0.4408,,0.5281,75,0.0,1,0.4337,,0.4408,
2003-02-28,0.4843,72,0.4323,61,0.5115,,0.4606,,0.5949,82,0.0,1,0.4693,,0.4606,
2003-01-23,0.403,57,0.0,1,0.5326,,0.4947,,0.5977,83,0.0,1,0.4781,,0.5062,
2002-10-31,0.8751,95,0.6968,95,0.6235,,0.6299,,0.6826,91,0.0,1,0.6235,,0.6299,
2002-09-26,0.7213,90,0.5103,77,0.5913,,0.5718,,0.698,92,0.0,1,0.5913,,0.5718,
2002-09-25,0.7705,93,0.5515,83,0.5528,,0.5883,,0.6997,93,0.0,1,0.5528,,0.5883,
2002-09-23,0.6673,87,0.5042,76,0.5694,,0.572,,0.6958,92,0.0,1,0.5694,,0.572,
2002-09-06,0.6324,84,0.0,1,0.5226,,0.5598,,0.6738,89,0.0,1,0.5226,,0.5265,
2002-09-05,0.6341,84,0.0,1,0.5502,,0.5651,,0.6739,89,0.0,1,0.5502,,0.5494,
2002-09-04,0.6723,87,0.0,1,0.5393,,0.5561,,0.6734,89,0.0,1,0.5393,,0.5434,
2002-08-21,0.4548,68,0.4224,59,0.5539,,0.5974,,0.6604,87,0.0,1,0.5476,,0.5551,
2002-08-15,0.4472,66,0.345,43,0.624,,0.5649,,0.6603,87,0.0,1,0.5993,,0.5649,
