date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-08-24,0.2782,,0.0343,,0.3549,,0.4831,,0.3702,,0.1511,,0.3086,,0.4148,
2022-08-22,0.2426,,0.0345,,0.3936,,0.4968,,0.3691,,0.1562,,0.3202,,0.4968,
2022-06-30,0.4154,,0.1219,,0.5318,,0.618,,0.3726,,0.1689,,0.5318,,0.4098,
2022-05-06,0.3325,,0.2431,,0.4901,,0.5254,,0.309,,0.146,,0.3661,,0.5254,
2022-03-25,0.255,,0.0323,,0.2804,,0.26,,0.2833,,0.1298,,0.2804,,0.26,
2022-03-17,0.3964,,0.1648,,0.3793,,0.3899,,0.2838,,0.1298,,0.3053,,0.3139,
2022-03-14,0.4017,,0.2885,,0.4134,,0.3615,,0.2854,,0.1314,,0.3894,,0.3615,
2022-03-11,0.2549,,0.2653,,0.4272,,0.4261,,0.2789,,0.1286,,0.3543,,0.3627,
2022-03-08,0.1822,,0.2563,,0.3469,,0.3595,,0.2804,,0.126,,0.3469,,0.3595,
2022-03-07,0.1846,,0.1216,,0.3592,,0.3309,,0.2799,,0.1136,,0.3592,,0.3785,
2022-03-04,0.2507,,0.1983,,0.4789,,0.4659,,0.2792,,0.1132,,0.4867,,0.4373,
2022-03-03,0.2348,,0.1895,,0.3632,,0.3776,,0.2806,,0.1137,,0.3632,,0.3776,
2022-03-02,0.2579,,0.1976,,0.3626,,0.3763,,0.2828,,0.1137,,0.3626,,0.3763,
2022-03-01,0.3073,,0.2028,,0.4538,,0.3104,,0.283,,0.1131,,0.3569,,0.3104,
2022-02-24,0.3384,,0.2058,,0.4818,,0.4407,,0.2805,,0.1114,,0.3992,,0.4407,
2022-02-18,0.4224,,0.1855,,0.5353,,0.4725,,0.2852,,0.1035,,0.4022,,0.3731,
2022-02-17,0.3718,,0.1729,,0.4676,,0.6629,,0.2837,,0.1023,,0.3459,,0.4765,
2022-02-15,0.377,,0.1692,,0.3827,,0.4286,,0.2871,,0.1041,,0.3827,,0.4286,
2022-02-09,0.2574,,0.0707,,0.6023,,0.405,,0.2811,,0.0965,,0.3871,,0.4215,
2022-01-25,0.417,,0.142,,0.4864,,0.4109,,0.2726,,0.0877,,0.3527,,0.4326,
2022-01-24,0.4196,,0.1424,,0.2877,,0.3424,,0.2764,,0.0891,,0.2786,,0.3424,
2022-01-21,0.4274,,0.1308,,0.4308,,0.4253,,0.2758,,0.0881,,0.4475,,0.4253,
2022-01-13,0.3368,,0.1434,,0.4958,,0.4768,,0.2645,,0.083,,0.4958,,0.4683,
2022-01-12,0.3257,,0.1389,,0.3526,,0.3814,,0.264,,0.0827,,0.3526,,0.3814,
2021-12-30,0.1989,,0.0731,,0.3434,,0.8633,,0.2694,,0.0775,,0.3579,,0.6321,
