date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2023-04-20,0.2174,,0.0834,,0.358,,0.5041,,0.2548,,0.1233,,0.3415,,0.4154,
2023-04-19,0.1901,,0.0837,,0.3559,,0.4985,,0.2563,,0.1233,,0.3401,,0.415,
2023-04-18,0.21,,0.0769,,0.3476,,0.51,,0.2564,,0.1231,,0.3352,,0.42,
2023-04-17,0.1777,,0.0759,,0.4033,,0.4572,,0.2549,,0.1231,,0.3493,,0.4039,
2023-04-14,0.1517,,0.0785,,0.4099,,0.4149,,0.2558,,0.1231,,0.359,,0.3922,
2023-04-13,0.204,,0.093,,0.4361,,0.3982,,0.2565,,0.1231,,0.3723,,0.3788,
2023-04-12,0.2089,,0.1065,,0.4292,,0.3964,,0.2564,,0.1231,,0.3709,,0.3785,
2023-04-11,0.1418,,0.0767,,0.6959,,0.3524,,0.2555,,0.1231,,0.4155,,0.3463,
2023-04-10,0.1396,,0.0772,,0.5911,,0.3492,,0.2555,,0.1232,,0.3927,,0.3564,
2023-04-06,0.1356,,0.0786,,0.5089,,0.3439,,0.2551,,0.1232,,0.3889,,0.3536,
2023-04-05,0.1278,,0.1233,,0.5414,,0.3443,,0.2562,,0.125,,0.4046,,0.344,
2023-04-04,0.1428,,0.134,,0.5156,,0.343,,0.2581,,0.1251,,0.4003,,0.3451,
2023-04-03,0.0983,,0.1286,,0.375,,0.3903,,0.2585,,0.125,,0.3603,,0.3743,
2023-03-31,0.0564,,0.1177,,0.3635,,0.3743,,0.2621,,0.1244,,0.3456,,0.3807,
2023-03-30,0.054,,0.1167,,0.3599,,0.3707,,0.2627,,0.1244,,0.345,,0.3796,
2023-03-29,0.0742,,0.1414,,0.3653,,0.3598,,0.2673,,0.1266,,0.3481,,0.3759,
2023-03-28,0.0704,,0.1412,,0.3628,,0.3556,,0.269,,0.1266,,0.3478,,0.3747,
2023-03-27,0.0693,,0.1118,,0.328,,0.3985,,0.2723,,0.1245,,0.3284,,0.3936,
2023-03-24,0.0702,,0.1364,,0.3144,,0.4213,,0.2746,,0.1238,,0.3838,,0.465,
2023-03-23,0.171,,0.1901,,0.3523,,0.3837,,0.2784,,0.1252,,0.3495,,0.388,
2023-03-22,0.1611,,0.1945,,0.3779,,0.3575,,0.2827,,0.1252,,0.3609,,0.3761,
2023-03-21,0.1653,,0.245,,0.3749,,0.3544,,0.2828,,0.1272,,0.3598,,0.3757,
2023-03-20,0.1731,,0.2313,,0.3574,,0.3632,,0.285,,0.1258,,0.3543,,0.3792,
2023-03-17,0.1762,,0.231,,0.3618,,0.3594,,0.2863,,0.1315,,0.3348,,0.3813,
2023-03-16,0.178,,0.2282,,0.3248,,0.3856,,0.2868,,0.1312,,0.3241,,0.3915,
2023-03-15,0.2046,,0.2091,,0.4463,,0.3725,,0.2876,,0.1297,,0.3375,,0.3703,
2023-03-14,0.1757,,0.159,,0.3577,,0.4632,,0.2869,,0.1257,,0.2915,,0.4188,
