date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2017-05-11,0.492,,0.1222,,0.0849,,0.0653,,0.5612,,0.3894,,0.08,,0.0653,
2017-05-10,0.4845,,0.1931,,0.0878,,0.0826,,0.563,,0.3923,,0.049,,0.1111,
2017-05-09,0.5738,,0.2397,,0.0937,,0.112,,0.5637,,0.3968,,0.0501,,0.0647,
2017-05-08,0.601,,0.3002,,0.0865,,0.0936,,0.5641,,0.3978,,0.0536,,0.0947,
2017-05-05,0.3274,,0.3109,,0.537,,0.5744,,0.5535,,0.3986,,0.2829,,0.3098,
2017-05-04,0.3079,,0.3263,,0.5654,,0.5828,,0.5546,,0.4034,,0.2927,,0.3094,
2017-05-03,0.3381,,0.3341,,0.5993,,0.5887,,0.5563,,0.4073,,0.2979,,0.3122,
2017-05-02,0.3489,,0.3587,,0.6005,,0.6011,,0.5768,,0.4188,,0.2991,,0.3146,
2017-05-01,0.3428,,0.3422,,0.6531,,0.632,,0.5779,,0.4219,,0.3346,,0.3041,
2017-04-28,0.2816,,0.3376,,0.6005,,0.5888,,0.5766,,0.4226,,0.2614,,0.2762,
2017-04-27,0.2582,,0.3059,,0.5811,,0.5946,,0.5757,,0.4208,,0.2633,,0.2956,
2017-04-26,0.4186,,0.3348,,0.6008,,0.6244,,0.5761,,0.4213,,0.2858,,0.2959,
2017-04-25,0.4218,,0.3198,,0.6105,,0.5681,,0.5761,,0.4219,,0.305,,0.366,
2017-04-24,0.368,,0.3083,,0.5701,,0.5595,,0.5755,,0.4214,,0.2958,,0.3021,
2017-04-21,0.3697,,0.2709,,0.6017,,0.5495,,0.5767,,0.4208,,0.3351,,0.2857,
2017-04-20,0.3713,,0.2574,,0.5557,,0.5967,,0.5763,,0.4212,,0.3206,,0.2781,
2017-04-19,0.4011,,0.2307,,0.5587,,0.4909,,0.5764,,0.4206,,0.2892,,0.2863,
2017-04-18,0.3998,,0.2257,,0.4915,,0.5384,,0.577,,0.4203,,0.2743,,0.2705,
2017-04-17,0.1586,,0.1887,,0.5311,,0.5438,,0.5705,,0.4195,,0.2613,,0.269,
2017-04-13,0.1584,,0.1954,,0.4609,,0.4704,,0.5714,,0.4201,,0.2561,,0.2712,
2017-04-12,0.9664,,0.2272,,0.4922,,0.4169,,0.5713,,0.4202,,0.2536,,0.269,
2017-04-11,0.9618,,0.2315,,0.4828,,0.5062,,0.5712,,0.4212,,0.2535,,0.2781,
2017-04-10,0.9484,,0.2351,,0.4822,,0.4348,,0.571,,0.4211,,0.2737,,0.2616,
2017-04-07,0.9679,,0.2292,,0.4789,,0.4572,,0.5721,,0.4217,,0.2599,,0.2609,
2017-04-06,0.9663,,0.2262,,0.4752,,0.4558,,0.5724,,0.4217,,0.2564,,0.2603,
2017-04-05,0.9349,,0.2426,,0.5146,,0.5016,,0.5722,,0.4217,,0.3063,,0.295,
2017-04-04,0.9559,,0.2816,,0.4976,,0.4631,,0.5722,,0.4215,,0.2937,,0.2854,
2017-04-03,0.2207,,0.2631,,0.4788,,0.4613,,0.5247,,0.4207,,0.2654,,0.1943,
2017-03-31,0.1833,,0.2583,,0.4304,,0.4393,,0.5258,,0.4219,,0.215,,0.2311,
2017-03-30,0.187,,0.2613,,0.4294,,0.4472,,0.5259,,0.4221,,0.2039,,0.2701,
2017-03-29,0.3114,,0.2788,,0.4736,,0.4723,,0.5262,,0.4222,,0.1916,,0.2456,
2017-03-28,0.3109,,0.2957,,0.4744,,0.4717,,0.527,,0.4236,,0.2266,,0.2226,
2017-03-27,0.2912,,0.2731,,0.4438,,0.4564,,0.5273,,0.4241,,0.2017,,0.2378,
