date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2018-12-12,0.5224,54,0.8504,82,0.7006,57,1.0222,84,0.6594,57,0.7027,67,0.654,20,1.0343,74
2018-12-11,0.459,43,0.6944,73,0.6633,52,1.1253,89,0.6589,57,0.6902,66,0.6302,16,0.9194,63
2018-12-10,0.4641,44,0.6891,72,0.5506,28,1.0547,86,0.6558,57,0.6862,65,0.6185,14,0.7445,31
2018-12-07,0.6616,70,0.7538,77,0.622,45,1.2706,94,0.6524,57,0.6846,65,0.6879,27,0.7294,27
2018-12-06,0.6935,73,0.7305,75,0.6256,45,1.3746,95,0.6529,57,0.6828,65,0.6179,14,0.7496,32
2018-12-04,0.7004,73,0.7446,76,0.5414,27,1.077,87,0.6498,56,0.6813,65,0.7096,33,0.7514,33
2018-12-03,0.7195,74,0.8008,80,0.6577,50,1.5476,97,0.6489,56,0.679,65,0.6577,20,0.7564,34
2018-11-30,0.7137,74,0.8511,82,1.1833,93,1.0998,88,0.6463,56,0.6771,65,0.9735,77,1.0998,80
2018-11-29,0.8364,81,0.8389,82,0.5645,33,0.7482,60,0.6458,55,0.6744,64,0.778,48,0.7482,32
2018-11-28,1.0506,89,0.8529,82,0.4002,4,0.8243,69,0.6487,56,0.6718,64,0.6049,12,0.7802,38
2018-11-27,0.8368,81,0.8097,80,0.6583,50,0.7181,56,0.6356,55,0.6675,64,0.6468,18,0.6678,14
2018-11-26,0.9382,85,0.8466,82,0.6815,55,0.7384,57,0.6352,54,0.667,64,0.6446,18,0.7384,30
2018-11-23,0.9838,87,0.8306,81,0.5487,28,0.9478,80,0.635,54,0.6635,63,0.6166,14,0.7969,41
2018-11-21,0.8473,81,0.7548,77,0.7191,60,0.7547,60,0.6258,53,0.6581,62,0.786,50,0.7547,33
2018-11-20,0.9783,86,0.7419,76,0.7539,65,0.6992,53,0.6244,53,0.6524,62,0.5,4,0.8337,49
2018-11-19,1.1338,91,0.9812,88,0.7819,68,0.777,63,0.626,53,0.6522,62,0.6954,28,0.6859,16
2018-11-16,1.0086,87,0.9272,86,1.1612,93,1.0289,85,0.6139,51,0.648,62,0.6414,17,0.7391,30
2018-11-15,1.0796,90,0.9213,85,0.6338,47,0.6682,48,0.6138,51,0.6455,62,0.6516,19,0.7667,36
2018-11-14,1.0184,88,0.899,84,0.94,82,1.3098,95,0.6063,50,0.6425,61,0.9493,74,0.7093,22
2018-11-13,0.9776,86,0.8917,84,0.6632,52,0.7468,59,0.6029,49,0.6412,61,0.6309,16,0.7364,28
2018-11-12,1.0249,88,0.9058,85,3.266,100,0.9016,76,0.6135,51,0.6451,62,1.1998,93,0.9016,60
2018-11-09,0.6075,65,0.8465,82,0.6101,42,0.7825,64,0.594,46,0.6407,61,0.642,18,0.7828,39
2018-11-08,0.5883,62,0.5717,59,0.7377,63,0.7262,57,0.585,43,0.6206,59,0.8512,63,0.8222,46
2018-11-07,0.5884,62,0.5914,62,0.5895,39,0.6866,51,0.5859,44,0.6209,59,0.6563,20,0.7723,37
2018-11-06,0.5112,53,0.6704,71,0.6981,57,0.6913,52,0.5794,42,0.6199,57,0.6619,21,0.7655,35
2018-11-05,0.492,49,0.6573,70,0.6675,52,0.6674,48,0.5846,43,0.6229,59,0.6795,25,0.7662,36
2018-11-02,0.622,66,0.6762,72,0.5842,37,0.7366,57,0.5857,44,0.6403,61,0.653,19,0.7724,37
2018-11-01,0.636,67,0.718,75,0.7396,63,0.6823,50,0.5871,44,0.6418,61,0.6669,22,0.88,57
2018-10-31,0.6207,66,0.7262,75,0.6474,49,0.7357,57,0.5917,46,0.6426,61,0.5817,10,0.6213,10
2018-10-30,0.6205,66,0.6991,73,0.6301,46,0.7485,60,0.5905,45,0.6396,61,0.645,18,0.7485,32
2018-10-29,0.6174,66,0.685,72,0.6943,57,0.6857,51,0.5906,45,0.6382,61,0.7,30,0.695,19
2018-10-26,0.589,62,0.5776,60,0.6256,45,0.7745,63,0.5896,45,0.6325,60,0.6213,15,0.6912,18
2018-10-25,0.594,63,0.6327,67,0.5414,27,0.7228,56,0.5941,46,0.6379,61,0.6029,12,0.712,23
2018-10-24,0.7111,74,0.6681,71,0.5983,40,0.6548,46,0.5894,45,0.6354,61,0.5825,10,0.7244,26
2018-10-23,0.6232,67,0.5959,63,0.5958,40,0.6358,43,0.5922,46,0.6335,60,0.6335,16,0.7408,30
2018-10-22,0.6294,67,0.585,61,0.5778,36,0.637,43,0.5924,46,0.6329,60,0.6136,14,0.7234,26
2018-10-19,0.6205,66,0.6416,68,0.5804,36,0.6425,44,0.5965,47,0.6334,60,0.6054,13,0.7094,22
2018-10-18,0.6365,68,0.6411,68,0.5605,32,0.6101,37,0.5967,47,0.6324,60,0.6153,14,0.7196,25
2018-10-17,0.6096,65,0.6378,68,1.0301,87,0.8999,76,0.5956,47,0.632,60,1.0178,82,1.0294,74
2018-10-16,0.5697,60,0.5828,60,0.5603,32,0.6387,43,0.5984,48,0.6301,60,0.6069,13,0.7313,28
2018-10-15,0.2882,14,0.5273,50,0.586,38,0.5897,33,0.5869,44,0.6251,59,0.586,11,0.7052,21
2018-10-12,0.365,26,0.5754,59,0.5796,36,0.7193,56,0.5863,44,0.6246,59,0.7119,33,0.728,27
2018-10-11,0.5591,59,0.6491,69,0.8878,78,0.9207,78,0.5862,44,0.6247,59,0.8584,64,0.9482,67
2018-10-10,0.5306,55,0.57,57,0.6851,56,0.689,52,0.5911,45,0.6224,59,0.6687,23,0.7204,25
2018-10-09,0.6567,69,0.6567,70,0.8176,72,0.9779,82,0.5909,45,0.622,59,0.6487,19,0.8393,51
2018-10-08,0.6759,71,0.6931,73,0.5696,34,0.6829,50,0.594,46,0.6228,59,0.6399,17,0.8299,48
2018-10-05,0.7368,75,0.7126,74,0.5772,36,0.635,42,0.5941,46,0.623,59,0.652,19,0.712,23
2018-10-04,0.739,76,0.6893,73,0.7847,69,1.0744,87,0.6113,51,0.6262,59,0.7778,48,0.6555,13
2018-10-03,0.6799,71,0.6417,68,0.6438,48,0.6806,50,0.6122,51,0.6242,59,0.5805,10,0.686,17
2018-10-02,0.5534,57,0.5838,61,0.5759,35,0.911,77,0.6047,49,0.6217,59,0.6104,13,0.673,15
2018-10-01,0.5436,57,0.5939,63,0.6115,43,0.8221,69,0.6044,49,0.6218,59,0.6784,25,0.6892,17
2018-09-28,0.3736,28,0.5278,50,0.5718,34,0.6485,45,0.5988,48,0.6177,57,0.6091,13,0.7016,20
2018-09-27,0.4918,49,0.5206,48,0.5695,34,0.6595,47,0.5986,48,0.6152,57,0.639,17,0.6888,17
2018-09-26,0.4582,43,0.4868,41,1.2732,95,1.023,84,0.5953,47,0.6145,57,1.0848,88,1.0659,77
2018-09-25,0.4415,41,0.4787,39,1.0605,89,0.7598,61,0.5954,47,0.6148,57,0.6342,16,0.6745,15
2018-09-24,0.4601,44,0.5345,52,1.0287,87,0.6956,53,0.5956,47,0.6159,57,0.8965,69,0.7802,38
2018-09-21,0.5714,60,0.5847,61,0.5702,34,0.8343,70,0.5951,47,0.6155,57,0.6066,13,0.7058,21
2018-09-20,0.5748,61,0.572,59,0.5728,35,0.5282,20,0.598,48,0.6158,57,0.6214,15,0.7058,21
2018-09-19,0.4501,42,0.551,55,0.9676,84,0.6172,38,0.594,46,0.6146,57,0.6792,25,0.9153,62
2018-09-18,0.4753,46,0.5357,52,0.5915,39,0.712,55,0.5924,46,0.6134,57,0.5924,11,0.6999,20
2018-09-17,0.4276,38,0.5937,63,0.6186,44,0.6349,42,0.5916,45,0.6135,57,0.6541,20,0.7043,21
2018-09-14,0.4138,36,0.6127,65,0.684,55,0.6022,36,0.5916,45,0.6139,57,0.6152,14,0.6947,19
2018-09-13,0.2827,13,0.5761,60,0.7656,66,0.6174,39,0.5918,46,0.6121,57,0.6317,16,0.7058,21
2018-09-12,0.2551,9,0.5242,49,0.641,48,0.5758,30,0.5921,46,0.6113,57,0.6138,14,0.7201,25
2018-09-11,0.3423,22,0.5563,56,0.7149,60,0.6497,45,0.5921,46,0.615,57,0.6698,23,0.7002,20
2018-09-10,0.3426,22,0.5375,52,0.5937,39,0.5585,26,0.5937,46,0.6153,57,0.6375,17,0.7272,27
2018-09-07,0.3205,19,0.501,44,0.6863,56,0.6223,40,0.5912,45,0.6137,57,0.6159,14,0.7133,23
2018-09-06,0.3314,20,0.5015,45,0.5706,34,0.6807,50,0.5941,46,0.6123,57,0.5351,7,0.9285,65
2018-09-05,0.3748,28,0.4816,40,0.5401,27,0.6486,45,0.5935,46,0.6124,57,0.4989,4,0.795,41
2018-09-04,0.4047,34,0.4647,36,0.7738,68,0.6789,50,0.5936,46,0.6115,57,0.781,49,0.7209,25
2018-08-31,0.3549,24,0.464,36,0.5027,19,0.6867,51,0.5938,46,0.6123,57,0.7361,39,0.7456,31
2018-08-30,0.3561,24,0.4298,28,0.5855,38,0.6591,47,0.5947,47,0.6111,56,0.649,19,0.6889,17
2018-08-29,0.379,28,0.4498,33,0.6171,44,0.6238,40,0.5948,47,0.6111,56,0.6453,18,0.6696,14
2018-08-28,0.3813,28,0.4739,38,0.612,43,0.5989,35,0.5962,47,0.6123,57,0.659,20,0.7022,20
2018-08-27,0.2409,7,0.3944,21,0.5356,26,0.6625,47,0.5997,48,0.6108,56,0.6506,19,0.6858,16
2018-08-24,0.2793,13,0.406,23,0.4933,17,0.639,43,0.5987,48,0.6104,56,0.644,18,0.7369,28
2018-08-23,0.3467,23,0.457,35,0.5592,31,0.6311,41,0.5996,48,0.6113,57,0.6733,23,0.7134,23
2018-08-22,0.3415,22,0.5096,46,0.5024,19,0.7112,55,0.602,49,0.6123,57,0.8435,62,0.9177,63
2018-08-21,0.4582,43,0.5932,62,0.4278,7,0.667,48,0.6015,49,0.613,57,0.4593,2,0.7473,32
2018-08-20,0.5377,57,0.6407,68,0.5749,35,0.5848,32,0.6001,48,0.613,57,0.5875,11,0.741,30
2018-08-17,0.5309,56,0.7452,76,0.5904,39,0.6746,49,0.5994,48,0.6132,57,0.5763,10,0.7402,30
2018-08-16,0.447,42,0.8776,83,0.6224,45,0.6226,40,0.5997,48,0.6132,57,0.6041,12,0.7092,22
2018-08-15,0.4777,46,0.8716,83,0.706,59,0.6576,47,0.5998,48,0.6125,57,0.6317,16,0.7426,30
2018-08-14,0.5128,53,0.8525,82,0.6204,44,0.7114,55,0.5994,48,0.6107,56,0.5954,11,0.7081,22
2018-08-13,0.4693,45,0.8227,81,0.5992,41,0.5561,26,0.5996,48,0.6073,55,0.7606,44,0.6268,11
