date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2015-12-01,0.0231,,0.0315,,0.0667,,0.0667,,0.3776,,0.3455,,0.0667,,0.0667,
2015-11-30,0.0199,,0.0277,,0.0655,,0.0663,,0.3784,,0.3462,,0.0655,,0.0663,
2015-11-27,0.0169,,0.0282,,0.0727,,0.065,,0.3797,,0.3466,,0.0727,,0.065,
2015-11-24,0.0371,,0.0376,,0.0956,,0.0736,,0.3819,,0.3476,,0.0956,,0.0736,
2015-11-23,0.0381,,0.0409,,0.0772,,0.0662,,0.382,,0.3481,,0.0642,,0.0662,
2015-11-19,0.0504,,0.0423,,0.1041,,0.1015,,0.3839,,0.3499,,0.0629,,0.1015,
2015-11-05,0.8115,,0.3497,,0.1403,,0.0705,,0.3963,,0.3712,,0.0559,,0.0705,
2015-11-04,0.8234,,0.3544,,0.109,,0.2669,,0.3969,,0.3718,,0.0642,,0.0567,
2015-11-03,0.8629,,0.3777,,0.0926,,0.1366,,0.397,,0.3725,,0.0735,,0.0699,
2015-11-02,0.3236,,0.3826,,0.8058,,0.7995,,0.3445,,0.3729,,0.3707,,0.5187,
2015-10-30,0.2387,,0.2383,,0.773,,0.7702,,0.3402,,0.3667,,0.3906,,0.4948,
2015-10-29,0.2616,,0.2575,,0.7066,,0.7821,,0.3403,,0.3669,,0.3818,,0.4698,
2015-10-28,0.2607,,0.267,,0.678,,0.7698,,0.3407,,0.3675,,0.3857,,0.4757,
2015-10-27,0.2368,,0.2388,,0.732,,0.7559,,0.3399,,0.3671,,0.349,,0.436,
2015-10-26,0.2454,,0.2369,,0.7483,,0.7408,,0.3399,,0.3673,,0.3798,,0.4724,
2015-10-23,0.2095,,0.2385,,0.4629,,0.4948,,0.3424,,0.3683,,0.3637,,0.45,
2015-10-22,0.1982,,0.2408,,0.4181,,0.4998,,0.3429,,0.3687,,0.3293,,0.4599,
2015-10-21,0.2058,,0.2599,,0.4101,,0.3956,,0.3421,,0.3692,,0.3511,,0.4894,
2015-10-20,0.2349,,0.2558,,0.3212,,0.3692,,0.3411,,0.3685,,0.3523,,0.4975,
2015-10-19,0.2335,,0.2518,,0.3042,,0.3636,,0.3416,,0.3682,,0.3507,,0.4838,
2015-10-16,0.2289,,0.2642,,0.2882,,0.339,,0.3417,,0.3692,,0.3215,,0.5151,
2015-10-15,0.2416,,0.273,,0.3185,,0.353,,0.3414,,0.3694,,0.344,,0.5227,
2015-10-14,0.1785,,0.2499,,0.3273,,0.3701,,0.3389,,0.3687,,0.3703,,0.5289,
2015-10-13,0.2609,,0.2701,,0.3146,,0.3865,,0.3391,,0.3691,,0.3614,,0.4978,
2015-10-12,0.2814,,0.285,,0.3326,,0.3662,,0.3393,,0.3687,,0.3798,,0.4616,
2015-10-09,0.2314,,0.2803,,0.295,,0.3318,,0.3385,,0.3683,,0.2619,,0.3817,
2015-10-08,0.2227,,0.2896,,0.3185,,0.3645,,0.3393,,0.3683,,0.3695,,0.4134,
2015-10-07,0.2195,,0.3087,,0.3394,,0.3273,,0.3394,,0.3677,,0.3656,,0.5268,
2015-10-06,0.3101,,0.351,,0.3305,,0.3698,,0.3384,,0.3677,,0.3868,,0.5159,
2015-10-05,0.3171,,0.3515,,0.3293,,0.4521,,0.3387,,0.3674,,0.3504,,0.5349,
2015-10-02,0.3062,,0.3534,,0.3395,,0.459,,0.3353,,0.3664,,0.4103,,0.583,
2015-10-01,0.2491,,0.3266,,0.3756,,0.3818,,0.334,,0.3651,,0.5554,,0.5235,
2015-09-30,0.2574,,0.3242,,0.4233,,0.4292,,0.3347,,0.3648,,0.3899,,0.5465,
2015-09-29,0.2021,,0.3284,,0.4786,,0.4705,,0.3335,,0.3648,,0.3894,,0.549,
2015-09-28,0.147,,0.3001,,0.5261,,0.4898,,0.333,,0.3635,,0.4022,,0.5136,
2015-09-25,0.2553,,0.2845,,0.417,,0.3886,,0.3327,,0.3615,,0.4589,,0.5169,
2015-09-24,0.2766,,0.2871,,0.3972,,0.3964,,0.3332,,0.3622,,0.456,,0.4906,
2015-09-23,0.2376,,0.2794,,0.3368,,0.3776,,0.3335,,0.3616,,0.3748,,0.5149,
2015-09-22,0.262,,0.3003,,0.3917,,0.4056,,0.3346,,0.3619,,0.3807,,0.5214,
