date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-04-19,0.7012,,0.5556,,0.6771,,2.788,,0.7852,,0.8059,,0.8375,,1.2383,
2022-04-08,0.5851,,0.5166,,0.9591,,13.3022,,0.9668,,0.8895,,0.9591,,13.3022,
2022-04-07,0.6002,,0.4889,,0.8497,,1.6595,,0.9833,,0.9009,,0.8497,,1.2926,
2022-04-06,0.5672,,0.3999,,1.0121,,2.2185,,0.9839,,0.8981,,0.7514,,1.2895,
2022-04-05,0.6961,,0.486,,0.9523,,1.2856,,0.99,,0.9046,,0.8411,,1.5148,
2022-04-04,0.6496,,0.6169,,1.0475,,1.1871,,0.9892,,0.9066,,0.8979,,1.1604,
2022-03-31,0.5862,,0.6303,,0.9868,,1.3899,,0.991,,0.9259,,0.8182,,1.3133,
2022-03-30,0.5009,,0.6906,,1.0283,,1.7146,,0.9892,,0.9273,,0.8388,,1.416,
2022-03-29,0.5964,,0.712,,0.9427,,1.6691,,1.0001,,0.9376,,0.8926,,8.2569,
2022-03-28,0.5954,,0.7318,,1.143,,1.371,,1.0009,,0.9373,,0.8476,,1.4901,
2022-03-25,0.5766,,0.7927,,1.1862,,1.2212,,0.9986,,0.9364,,0.8364,,1.431,
2022-03-24,0.5715,,0.7177,,1.3119,,1.2432,,0.9986,,0.9322,,0.8875,,1.6413,
2022-03-23,0.7258,,0.8687,,1.2749,,1.6658,,0.9986,,0.9319,,0.8492,,1.4341,
2022-03-22,0.794,,0.876,,0.9078,,2.2906,,0.9987,,0.9317,,0.798,,1.2881,
2022-03-17,1.169,,1.1762,,1.0739,,1.2445,,0.9959,,0.9304,,0.8783,,1.2921,
2022-03-14,1.3138,,1.1424,,0.9581,,1.7879,,0.9959,,0.9189,,0.9581,,1.1485,
2022-03-11,1.3348,,1.1559,,0.8446,,2.0873,,0.9976,,0.9246,,0.8446,,1.1245,
2022-03-10,1.3192,,1.1427,,0.7969,,3.4818,,1.0013,,0.925,,0.7969,,2.1868,
2022-03-09,1.3055,,1.012,,0.8598,,12.7231,,1.0056,,0.9178,,0.9359,,2.4795,
2022-03-08,0.8644,,0.7812,,1.287,,2.534,,0.986,,0.9056,,1.0533,,2.534,
2022-03-04,0.9232,,0.9307,,0.9631,,1.2896,,0.9732,,0.8979,,0.9631,,1.7218,
2022-03-03,1.0582,,0.941,,0.9789,,1.4477,,0.983,,0.9014,,0.9869,,1.5196,
