date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2007-08-08,0.3787,,0.0,,0.4443,,0.5301,,0.5854,,0.0,,0.4443,,0.5301,
2007-08-03,0.4088,,0.0,,0.4792,,0.5123,,0.5828,,0.0,,0.4454,,0.5123,
2007-08-02,0.4076,,0.0,,0.4661,,0.4956,,0.5831,,0.0,,0.4434,,0.4956,
2007-08-01,0.5754,,0.0,,0.4811,,0.4996,,0.5834,,0.0,,0.462,,0.4996,
2007-07-31,0.5767,,0.0,,0.4559,,0.494,,0.5834,,0.0,,0.4396,,0.494,
2007-07-30,0.5407,,0.0,,0.4295,,0.4942,,0.5832,,0.0,,0.4295,,0.4942,
2007-07-27,0.5908,,0.0,,0.4572,,0.5182,,0.5851,,0.0,,0.4391,,0.5182,
2007-07-26,0.5606,,0.0,,0.4882,,0.4852,,0.5848,,0.0,,0.4609,,0.4852,
2007-07-23,0.2157,,0.0,,0.4363,,0.4719,,0.5677,,0.0,,0.4363,,0.4762,
2007-07-20,0.2866,,0.0,,0.4299,,0.4687,,0.5676,,0.0,,0.4299,,0.4687,
2007-07-19,0.2766,,0.0,,0.4197,,0.4711,,0.5673,,0.0,,0.4197,,0.4711,
2007-07-18,0.2784,,0.0,,0.443,,0.4638,,0.5682,,0.0,,0.443,,0.4638,
2007-07-17,0.2793,,0.0,,0.6178,,0.6645,,0.5682,,0.0,,0.6178,,0.6645,
2007-07-16,0.3581,,0.0,,0.4399,,0.475,,0.5697,,0.0,,0.4399,,0.475,
2007-07-13,0.3626,,0.0,,0.4402,,0.4785,,0.5735,,0.0,,0.4402,,0.4785,
2007-07-11,0.3437,,0.0,,0.455,,0.51,,0.5728,,0.0,,0.455,,0.51,
2007-07-10,0.3623,,0.0,,0.4389,,0.4752,,0.5713,,0.0,,0.4389,,0.4752,
2007-07-09,0.3609,,0.0,,0.4242,,0.4797,,0.5711,,0.0,,0.4242,,0.4797,
2007-07-06,0.4255,,0.0,,0.404,,0.4908,,0.5716,,0.0,,0.404,,0.4908,
2007-07-05,0.4339,,0.0,,0.4316,,0.4836,,0.572,,0.0,,0.4316,,0.4836,
2007-06-27,0.283,,0.0,,0.4411,,0.4694,,0.5699,,0.0,,0.4411,,0.4694,
2007-06-26,0.439,,0.0,,0.4228,,0.4842,,0.5697,,0.0,,0.4228,,0.4842,
2007-06-15,0.5345,,0.0,,0.475,,0.4958,,0.0,,0.0,,0.475,,0.4958,
2007-06-14,0.4858,,0.0,,0.4705,,0.5112,,0.0,,0.0,,0.4705,,0.5112,
2007-06-11,0.6018,,0.0,,0.4837,,0.5068,,0.0,,0.0,,0.4837,,0.5068,
2007-06-07,0.6072,,0.0,,0.4679,,0.4754,,0.0,,0.0,,0.4759,,0.4858,
2007-06-06,0.5394,,0.0,,0.4733,,0.4839,,0.0,,0.0,,0.4733,,0.4839,
2007-06-05,0.5902,,0.0,,0.4759,,0.4821,,0.0,,0.0,,0.4759,,0.4821,
2007-06-04,0.5729,,0.0,,0.474,,0.5139,,0.0,,0.0,,0.474,,0.5139,
2007-06-01,0.5018,,0.0,,0.4675,,0.486,,0.0,,0.0,,0.4675,,0.486,
2007-05-29,0.4882,,0.0,,0.4663,,0.4806,,0.0,,0.0,,0.4663,,0.4806,
2007-05-24,0.5036,,0.0,,0.4711,,0.4835,,0.0,,0.0,,0.4711,,0.4835,
2007-05-23,0.4462,,0.0,,0.4731,,0.5104,,0.0,,0.0,,0.4731,,0.5104,
2007-05-22,0.501,,0.0,,0.4852,,0.5252,,0.0,,0.0,,0.4852,,0.5252,
2007-05-21,0.5499,,0.0,,0.4723,,0.4885,,0.0,,0.0,,0.4723,,0.4885,
2007-05-18,1.5419,,0.0,,0.4688,,0.4929,,0.0,,0.0,,0.4688,,0.4929,
2007-05-09,0.4035,,0.0,,0.5462,,0.5383,,0.0,,0.0,,0.5203,,0.5383,
2007-05-08,0.5402,,0.0,,0.524,,0.5171,,0.0,,0.0,,0.5028,,0.5171,
2007-05-07,0.584,,0.0,,0.4967,,0.5617,,0.0,,0.0,,0.4967,,0.5447,
