date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2005-11-30,0.3759,,0.0,,0.2918,,0.3014,,0.3248,,0.0,,0.2918,,0.3014,
2005-11-29,0.3649,,0.0,,0.3081,,0.3059,,0.3241,,0.0,,0.3081,,0.3059,
2005-11-28,0.3681,,0.0,,0.2954,,0.2964,,0.3242,,0.0,,0.2954,,0.2964,
2005-11-16,0.3014,,0.0,,0.3209,,0.3247,,0.3153,,0.0,,0.3209,,0.3247,
2005-11-15,0.2511,,0.0,,0.3275,,0.3339,,0.3138,,0.0,,0.3275,,0.3339,
2005-11-14,0.2806,,0.0,,0.3397,,0.3513,,0.314,,0.0,,0.3397,,0.3513,
2005-11-11,0.2771,,0.0,,0.3253,,0.3311,,0.3146,,0.0,,0.3253,,0.3311,
2005-11-10,0.3493,,0.0,,0.3038,,0.3121,,0.3147,,0.0,,0.3038,,0.3121,
2005-11-09,0.2807,,0.0,,0.3084,,0.3127,,0.3101,,0.0,,0.3084,,0.3127,
2005-11-08,0.28,,0.0,,0.3164,,0.3301,,0.31,,0.0,,0.3164,,0.3301,
2005-11-07,0.312,,0.0,,0.3274,,0.3314,,0.3112,,0.0,,0.3274,,0.3314,
2005-10-24,0.4869,,0.0,,0.3637,,0.3745,,0.3142,,0.0,,0.3637,,0.3745,
2005-10-21,0.4765,,0.0,,0.3606,,0.3751,,0.3129,,0.0,,0.3606,,0.3751,
2005-10-20,0.4571,,0.0,,0.4688,,0.2672,,0.3155,,0.0,,0.4688,,0.2672,
2005-10-19,0.4396,,0.0,,0.3361,,0.3459,,0.3137,,0.0,,0.3361,,0.3459,
2005-10-18,0.4042,,0.0,,0.344,,0.3446,,0.3125,,0.0,,0.344,,0.3446,
2005-10-14,0.3632,,0.0,,0.3165,,0.3265,,0.3079,,0.0,,0.3165,,0.3265,
2005-10-13,0.3591,,0.0,,0.3156,,0.3225,,0.3069,,0.0,,0.3156,,0.3225,
2005-10-12,0.374,,0.0,,0.3114,,0.3164,,0.3063,,0.0,,0.3114,,0.3164,
2005-10-06,0.3778,,0.0,,0.296,,0.302,,0.31,,0.0,,0.296,,0.302,
2005-08-29,0.1877,,0.0,,0.2783,,0.2883,,0.2971,,0.0,,0.2857,,0.2949,
2005-08-26,0.1765,,0.0,,0.2729,,0.2746,,0.2982,,0.0,,0.2839,,0.2879,
2005-08-25,0.204,,0.0,,0.2713,,0.2722,,0.2975,,0.0,,0.2791,,0.2878,
2005-07-21,0.2994,,0.0,,0.2439,,0.2529,,0.295,,0.0,,0.2439,,0.2529,
2005-07-19,0.3292,,0.0,,0.2457,,0.2504,,0.2948,,0.0,,0.2457,,0.2504,
2005-07-18,0.5978,,0.0,,0.2693,,0.2755,,0.2907,,0.0,,0.2693,,0.2755,
2005-07-15,0.5955,,0.0,,0.2759,,0.2811,,0.2908,,0.0,,0.2759,,0.2811,
2005-07-14,0.5898,,0.0,,0.2814,,0.2826,,0.2909,,0.0,,0.2814,,0.2826,
2005-07-13,0.5407,,0.0,,0.2749,,0.2787,,0.2889,,0.0,,0.2749,,0.2787,
2005-07-11,0.6909,,0.0,,0.2854,,0.2908,,0.2887,,0.0,,0.2854,,0.2908,
2005-07-08,0.6898,,0.0,,0.2801,,0.2838,,0.2887,,0.0,,0.2801,,0.2838,
2005-07-07,0.3644,,0.0,,0.7881,,0.1644,,0.2623,,0.0,,0.5237,,0.1644,
2005-07-06,0.3844,,0.0,,0.779,,0.1599,,0.2637,,0.0,,0.5242,,0.1599,
2005-07-05,0.3807,,0.0,,0.8432,,0.1486,,0.2642,,0.0,,0.5544,,0.1486,
2005-07-01,0.3903,,0.0,,0.6013,,0.1866,,0.2645,,0.0,,0.444,,0.1866,
2005-06-30,0.1708,,0.0,,0.2668,,0.2684,,0.256,,0.0,,0.2644,,0.2723,
2005-06-29,0.2126,,0.0,,0.2648,,0.2694,,0.256,,0.0,,0.2643,,0.2766,
2005-06-28,0.2078,,0.0,,0.2629,,0.2644,,0.2562,,0.0,,0.2675,,0.2691,
2005-06-27,0.2058,,0.0,,0.2573,,0.2717,,0.2554,,0.0,,0.2567,,0.266,
2005-06-24,0.2167,,0.0,,0.2629,,0.2604,,0.2553,,0.0,,0.2634,,0.2653,
2005-06-23,0.2046,,0.0,,0.2587,,0.2561,,0.2568,,0.0,,0.2569,,0.265,
2005-06-22,0.2035,,0.0,,0.2557,,0.2726,,0.2569,,0.0,,0.2562,,0.27,
2005-06-21,0.2033,,0.0,,0.2614,,0.2632,,0.2577,,0.0,,0.2616,,0.2665,
2005-06-20,0.1173,,0.0,,0.2558,,0.264,,0.2568,,0.0,,0.2558,,0.264,
2005-06-15,0.2167,,0.0,,0.2526,,0.269,,0.2559,,0.0,,0.2526,,0.269,
2005-06-14,0.2153,,0.0,,0.2638,,0.2701,,0.2562,,0.0,,0.2638,,0.2701,
2005-06-13,0.214,,0.0,,0.2441,,0.2713,,0.2576,,0.0,,0.2441,,0.2713,
2005-06-10,0.2167,,0.0,,0.2567,,0.2694,,0.2577,,0.0,,0.2567,,0.2694,
2005-06-09,0.2168,,0.0,,0.259,,0.2798,,0.258,,0.0,,0.259,,0.2798,
2005-06-08,0.1157,,0.0,,0.2727,,0.2824,,0.2548,,0.0,,0.2727,,0.2824,
2005-06-07,0.1234,,0.0,,0.2789,,0.288,,0.2547,,0.0,,0.2789,,0.288,
2005-06-06,0.0684,,0.0,,0.2771,,0.2867,,0.257,,0.0,,0.2771,,0.2867,
2005-06-03,0.0875,,0.0,,0.2828,,0.2841,,0.257,,0.0,,0.2828,,0.2841,
2005-06-02,0.0884,,0.0,,0.2636,,0.2876,,0.2576,,0.0,,0.2636,,0.2876,
2005-06-01,0.0756,,0.0,,0.2653,,0.2705,,0.261,,0.0,,0.2748,,0.2851,
2005-05-31,0.1158,,0.0,,0.2814,,0.2739,,0.2654,,0.0,,0.2788,,0.2854,
2005-05-27,0.118,,0.0,,0.2729,,0.2807,,0.2654,,0.0,,0.2723,,0.2841,
2005-05-26,0.1478,,0.0,,0.2732,,0.2809,,0.2653,,0.0,,0.2776,,0.2918,
2005-05-25,0.1509,,0.0,,0.2789,,0.282,,0.265,,0.0,,0.288,,0.2925,
2005-05-24,0.1471,,0.0,,0.2831,,0.2993,,0.2649,,0.0,,0.2825,,0.3023,
2005-05-23,0.1985,,0.0,,0.2979,,0.2912,,0.2651,,0.0,,0.2883,,0.297,
2005-05-20,0.3425,,0.0,,0.2861,,0.2971,,0.265,,0.0,,0.2873,,0.2999,
2005-05-19,0.3433,,0.0,,0.2925,,0.3036,,0.2658,,0.0,,0.291,,0.3044,
2005-05-18,0.3074,,0.0,,0.2944,,0.3087,,0.2666,,0.0,,0.2966,,0.3092,
2005-05-17,0.3443,,0.0,,0.3036,,0.3125,,0.2676,,0.0,,0.2978,,0.311,
2005-05-16,0.3272,,0.0,,0.3047,,0.2783,,0.2671,,0.0,,0.2999,,0.3096,
2005-05-13,0.3348,,0.0,,0.2969,,0.2914,,0.2717,,0.0,,0.2868,,0.2982,
2005-05-12,0.3695,,0.0,,0.2949,,0.3019,,0.2722,,0.0,,0.2879,,0.2972,
