date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2016-07-12,0.0472,,0.0498,,0.0512,,0.0401,,0.5859,,0.598,,0.0282,,0.0296,
2016-06-28,0.0306,,0.0532,,0.0923,,0.0269,,0.6035,,0.6131,,0.0593,,0.031,
2016-06-24,0.0316,,0.0436,,0.0794,,0.0384,,0.6041,,0.6134,,0.0734,,0.0398,
2016-06-23,0.0274,,0.0375,,0.0595,,0.0526,,0.6041,,0.6135,,0.0562,,0.0526,
2016-06-22,0.028,,0.0377,,0.0512,,0.0598,,0.604,,0.6138,,0.0649,,0.0412,
2016-06-21,0.0318,,0.0511,,0.0364,,0.0594,,0.6041,,0.6139,,0.044,,0.0405,
2016-06-20,0.0212,,0.0504,,0.0463,,0.06,,0.6042,,0.614,,0.0581,,0.0436,
2016-06-17,0.0214,,0.0477,,0.0571,,0.0572,,0.6059,,0.615,,0.0604,,0.0369,
2016-06-16,0.0338,,0.048,,0.0421,,0.139,,0.606,,0.6156,,0.0465,,0.0475,
2016-06-15,0.0336,,0.0485,,0.0537,,0.0753,,0.6074,,0.6172,,0.051,,0.0498,
2016-06-14,0.0332,,0.048,,0.0538,,0.1038,,0.6074,,0.6174,,0.0538,,0.0511,
2016-06-13,0.0331,,0.0464,,0.0597,,0.0742,,0.6075,,0.6184,,0.0556,,0.0479,
2016-06-10,0.0274,,0.0346,,0.079,,0.0841,,0.6084,,0.6194,,0.078,,0.055,
2016-06-09,0.0282,,0.0365,,0.0773,,0.0682,,0.6113,,0.6205,,0.072,,0.0604,
2016-06-08,0.5392,,0.0538,,0.0729,,0.087,,0.6125,,0.6217,,0.0662,,0.0598,
2016-06-07,0.7704,,0.5832,,0.0558,,0.0603,,0.6128,,0.6222,,0.0558,,0.0556,
2016-06-06,0.7609,,0.6111,,0.0595,,0.0556,,0.6128,,0.6227,,0.049,,0.0535,
2016-06-03,0.7585,,0.62,,0.0681,,0.0545,,0.6151,,0.6236,,0.0587,,0.0563,
2016-06-02,0.7357,,0.6289,,0.0678,,0.0627,,0.6151,,0.6245,,0.0508,,0.0605,
2016-06-01,0.7633,,0.6367,,0.072,,0.0666,,0.6158,,0.625,,0.0826,,0.0554,
2016-05-31,0.7422,,0.6457,,0.0828,,0.086,,0.6159,,0.6256,,0.0631,,0.0699,
2016-05-27,0.6416,,0.6623,,0.8153,,0.8803,,0.6054,,0.6259,,0.4558,,0.4769,
2016-05-26,0.3138,,0.3452,,0.7983,,0.7769,,0.5857,,0.6108,,0.5665,,0.566,
