date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2007-02-16,0.4196,,0.3202,,0.5213,,0.5829,,0.7967,,0.0,,0.1925,,0.3833,
2007-02-15,0.2493,,0.2531,,0.5527,,0.5689,,0.7937,,0.0,,0.2221,,0.3718,
2007-02-14,0.2217,,0.2531,,0.5242,,0.5813,,0.7963,,0.0,,0.2112,,0.3837,
2007-02-13,0.1678,,0.242,,0.5421,,0.5505,,0.7998,,0.0,,0.226,,0.3967,
2007-02-12,0.1839,,0.2788,,0.5128,,0.5754,,0.8001,,0.0,,0.2076,,0.4006,
2007-02-09,0.2027,,0.2757,,0.4848,,0.5584,,0.8031,,0.0,,0.2214,,0.3958,
2007-02-08,0.2118,,0.2424,,0.5041,,0.5316,,0.803,,0.0,,0.2326,,0.4018,
2007-02-07,0.2198,,0.2299,,0.4807,,0.5413,,0.803,,0.0,,0.2087,,0.4043,
2007-02-06,0.1847,,0.2324,,0.4723,,0.4993,,0.803,,0.0,,0.2269,,0.4081,
2007-02-05,0.1834,,0.2296,,0.4604,,0.3468,,0.8047,,0.0,,0.2252,,0.4169,
2007-02-02,0.1814,,0.2345,,0.4548,,0.5181,,0.8234,,0.0,,0.2149,,0.4066,
2007-02-01,0.1449,,0.1733,,0.4533,,0.4977,,0.8225,,0.0,,0.2867,,0.4157,
2007-01-31,0.138,,0.1849,,0.4622,,0.3505,,0.8231,,0.0,,0.2325,,0.3941,
2007-01-30,0.1049,,0.1866,,0.4391,,0.3902,,0.8233,,0.0,,0.2191,,0.411,
2007-01-29,0.1094,,0.2274,,0.4471,,0.3755,,0.8235,,0.0,,0.2233,,0.4148,
2007-01-26,0.1128,,0.219,,0.4446,,0.3729,,0.8237,,0.0,,0.2266,,0.4164,
2007-01-25,0.1094,,0.2287,,0.4452,,0.3693,,0.8236,,0.0,,0.2394,,0.3998,
2007-01-24,0.1174,,0.2423,,0.4385,,0.3838,,0.8254,,0.0,,0.2071,,0.4087,
2007-01-23,0.1025,,0.0,,0.4478,,0.3818,,0.8271,,0.0,,0.2193,,0.4091,
2007-01-22,0.0866,,0.0,,0.4527,,0.3871,,0.8305,,0.0,,0.2165,,0.4085,
2007-01-19,0.1674,,0.0,,0.4506,,0.4014,,0.831,,0.0,,0.2173,,0.4179,
2007-01-18,0.17,,0.0,,0.4344,,0.4686,,0.8308,,0.0,,0.2224,,0.4185,
2007-01-17,0.1733,,0.0,,0.4376,,0.4841,,0.8313,,0.0,,0.2198,,0.4239,
2007-01-16,0.1715,,0.0,,0.5095,,0.4673,,0.8325,,0.0,,0.2258,,0.4209,
2007-01-12,0.1723,,0.2384,,0.4105,,0.4473,,0.8328,,0.0,,0.2178,,0.4079,
2007-01-11,0.1824,,0.2962,,0.3975,,0.4762,,0.8326,,0.0,,0.2049,,0.4191,
2007-01-10,0.1259,,0.0,,0.417,,0.461,,0.8331,,0.0,,0.2165,,0.4157,
2007-01-09,0.1131,,0.0,,0.4088,,0.4312,,0.8392,,0.0,,0.2149,,0.4305,
2007-01-08,0.1146,,0.0,,0.3897,,0.4906,,0.84,,0.0,,0.2185,,0.4274,
2007-01-05,0.1216,,0.0,,0.3587,,0.4985,,0.8402,,0.0,,0.2186,,0.4313,
2007-01-04,0.1263,,0.0,,0.3777,,0.4805,,0.8403,,0.0,,0.2278,,0.426,
2007-01-03,0.1065,,0.0,,0.3997,,0.496,,0.8408,,0.0,,0.2235,,0.4338,
2006-12-29,0.1628,,0.0,,0.3588,,0.4799,,0.841,,0.0,,0.2201,,0.439,
2006-12-28,0.1722,,0.0,,0.3819,,0.4634,,0.841,,0.0,,0.2507,,0.4268,
2006-12-27,0.1729,,0.0,,0.3797,,0.4754,,0.842,,0.0,,0.2301,,0.433,
2006-12-26,0.1639,,0.0,,0.4094,,0.4813,,0.8422,,0.0,,0.228,,0.4231,
2006-12-22,0.1626,,0.2638,,0.4177,,0.491,,0.8422,,0.0,,0.2153,,0.4289,
2006-12-21,0.1245,,0.2503,,0.4973,,0.5449,,0.8414,,0.0,,0.2025,,0.3986,
2006-12-20,0.2577,,0.3064,,0.4791,,0.5051,,0.8415,,0.0,,0.1986,,0.4039,
2006-12-19,0.7949,,0.6409,,0.472,,0.5096,,0.8419,,0.0,,0.2033,,0.4039,
2006-12-18,0.8147,,0.7087,,0.4609,,0.5173,,0.8422,,0.0,,0.2022,,0.404,
2006-12-15,0.8172,,0.7022,,0.4536,,0.5206,,0.843,,0.0,,0.2157,,0.4171,
2006-12-14,0.8074,,0.6973,,0.4136,,0.4914,,0.8429,,0.0,,0.2155,,0.4174,
2006-12-13,0.8004,,0.6958,,0.5749,,0.6164,,0.8439,,0.0,,0.2148,,0.4147,
2006-12-12,0.8101,,0.6972,,0.6073,,0.7555,,0.8441,,0.0,,0.1886,,0.3971,
