date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2021-04-01,0.2726,,0.603,,0.6916,,0.7697,,0.6532,,0.6052,,0.8657,,0.799,
2021-03-31,0.313,,0.6262,,0.7898,,0.7226,,0.6531,,0.6055,,0.8009,,0.7553,
2021-03-30,0.2527,,0.6293,,0.8205,,0.6455,,0.6524,,0.6034,,0.8083,,0.6835,
2021-03-29,0.2968,,0.5827,,0.7837,,0.8833,,0.6525,,0.6001,,0.8117,,0.8003,
2021-03-26,0.3022,,0.5385,,0.8015,,0.8061,,0.6527,,0.5952,,0.7596,,0.7619,
2021-03-25,0.3251,,0.5345,,0.7504,,0.6778,,0.6522,,0.5939,,0.7327,,0.7722,
2021-03-24,0.2951,,0.5241,,0.7821,,0.6216,,0.652,,0.5928,,0.7554,,0.8195,
2021-03-23,0.2793,,0.5449,,0.6606,,0.7819,,0.6526,,0.5932,,0.7741,,0.7478,
2021-03-22,0.3413,,0.5462,,0.776,,0.9011,,0.6532,,0.5928,,0.7757,,0.8524,
2021-03-19,0.3267,,0.5111,,0.6348,,0.8074,,0.653,,0.5908,,0.8098,,0.7982,
2021-03-18,0.303,,0.508,,0.7814,,0.8782,,0.6553,,0.5908,,0.7245,,0.8309,
2021-03-17,0.3065,,0.4853,,0.8471,,0.8672,,0.6562,,0.5882,,0.7987,,0.7917,
2021-03-16,0.2554,,0.4807,,0.8127,,0.7984,,0.6553,,0.5878,,0.8241,,0.8232,
2021-03-15,0.2426,,0.5247,,0.872,,0.7598,,0.6561,,0.5873,,0.8273,,0.7861,
2021-03-12,0.271,,0.5113,,1.0117,,0.8826,,0.6562,,0.5851,,0.7917,,0.8455,
2021-03-11,0.2362,,0.515,,0.8538,,0.822,,0.6551,,0.5839,,0.7882,,0.8322,
2021-03-10,0.247,,0.5406,,0.9127,,0.889,,0.6558,,0.5857,,0.8666,,0.8705,
2021-03-09,0.2436,,0.5177,,0.8381,,1.1176,,0.6581,,0.5907,,0.7769,,0.9319,
2021-03-08,0.2481,,0.5126,,0.909,,1.5179,,0.6579,,0.5895,,0.8316,,0.7556,
2021-03-05,0.4497,,0.5482,,0.9526,,1.259,,0.6579,,0.589,,0.834,,0.7572,
2021-03-04,0.438,,0.5213,,1.0561,,1.0951,,0.6584,,0.5875,,0.8179,,0.8372,
2021-03-03,0.452,,0.5868,,0.778,,1.0261,,0.6612,,0.5874,,0.894,,0.8202,
2021-03-02,0.4497,,0.5585,,0.8022,,1.0027,,0.6604,,0.5857,,0.7752,,0.8323,
2021-03-01,0.4443,,0.5289,,0.8917,,0.8865,,0.6601,,0.5848,,0.8313,,0.757,
2021-02-26,0.5537,,0.5792,,1.0945,,0.964,,0.6603,,0.5854,,0.8732,,0.9567,
2021-02-25,0.7252,,0.6442,,0.9214,,1.3013,,0.6606,,0.5849,,0.9043,,0.7827,
2021-02-24,0.6288,,0.6081,,0.7641,,0.9589,,0.6592,,0.5851,,0.9591,,0.8197,
2021-02-23,0.6655,,0.6126,,1.085,,1.408,,0.6592,,0.5859,,1.0784,,0.8729,
2021-02-22,0.6635,,0.5584,,0.9767,,1.0682,,0.6593,,0.5807,,0.8726,,0.8325,
2021-02-19,0.6704,,0.5649,,1.175,,1.1694,,0.6585,,0.5802,,1.0719,,1.2201,
2021-02-18,0.6696,,0.5772,,0.9027,,1.1133,,0.6586,,0.5801,,1.1053,,0.9541,
2021-02-17,0.5714,,0.5655,,1.0757,,1.2253,,0.654,,0.5823,,0.889,,1.0009,
2021-02-16,0.4734,,0.4877,,0.7455,,0.9838,,0.6561,,0.5891,,1.0161,,1.138,
2021-02-12,0.5435,,0.5073,,0.9562,,1.6372,,0.6553,,0.5894,,0.9169,,1.0533,
2021-02-11,0.5861,,0.5205,,1.0972,,1.1851,,0.654,,0.5891,,0.9307,,0.9686,
2021-02-10,0.6523,,0.5011,,1.0137,,0.9763,,0.654,,0.589,,0.9847,,0.9383,
2021-02-09,0.6249,,0.4971,,1.1782,,1.0701,,0.6591,,0.6007,,0.9391,,0.9209,
2021-02-08,0.6741,,0.4871,,1.3295,,1.1613,,0.6592,,0.6001,,0.9596,,1.0547,
2021-02-05,0.6723,,0.5367,,1.4229,,1.2488,,0.6597,,0.6003,,1.0101,,1.0285,
2021-02-04,0.6593,,0.5339,,0.8994,,1.1214,,0.6581,,0.5992,,0.9435,,0.9358,
2021-02-03,0.6689,,0.5341,,1.1719,,0.8439,,0.6564,,0.5982,,1.0728,,0.92,
2021-02-02,0.6205,,0.5006,,0.9598,,0.9884,,0.6533,,0.5967,,1.0165,,0.9291,
2021-02-01,0.5678,,0.499,,1.421,,1.2625,,0.6508,,0.5962,,0.8757,,0.9569,
2021-01-29,0.5678,,0.4944,,1.1455,,1.2522,,0.6507,,0.5959,,0.944,,1.3248,
2021-01-28,0.5001,,0.4816,,1.143,,1.4891,,0.6479,,0.596,,1.0462,,1.0042,
2021-01-27,0.3065,,0.3812,,1.5162,,1.6382,,0.6448,,0.6003,,1.1066,,0.9979,
2021-01-26,0.2935,,0.4219,,1.3528,,1.0539,,0.6487,,0.6002,,0.9686,,1.08,
2021-01-25,0.1532,,0.4134,,1.1123,,1.6635,,0.645,,0.5989,,0.8377,,0.9462,
2021-01-22,0.241,,0.4124,,1.0436,,0.9906,,0.6458,,0.6014,,0.9158,,0.897,
2021-01-21,0.2204,,0.3965,,1.0012,,0.7968,,0.6453,,0.6008,,0.9097,,1.0168,
2021-01-20,0.2803,,0.396,,1.4793,,1.1714,,0.6485,,0.6019,,1.0265,,1.1064,
2021-01-19,0.3238,,0.4501,,1.0421,,1.022,,0.6501,,0.6036,,0.9367,,0.9304,
2021-01-15,0.3123,,0.4503,,1.0631,,1.043,,0.6501,,0.6047,,0.9585,,0.9242,
2021-01-14,0.3802,,0.4338,,1.41,,1.0151,,0.652,,0.6059,,0.937,,0.924,
2021-01-13,0.3453,,0.4031,,1.0296,,1.1992,,0.6591,,0.606,,0.9042,,1.0727,
2021-01-12,0.3597,,0.4061,,1.0715,,1.0249,,0.6637,,0.6149,,0.9406,,0.9439,
2021-01-11,0.3679,,0.4173,,1.1818,,0.9599,,0.667,,0.6148,,0.9229,,0.9659,
2021-01-08,0.3408,,0.4088,,1.0263,,0.9896,,0.6696,,0.6163,,0.9751,,0.9242,
2021-01-07,0.3427,,0.3974,,1.0079,,1.0672,,0.6724,,0.6162,,0.6083,,0.9466,
2021-01-06,0.3641,,0.4734,,1.0386,,0.9759,,0.6735,,0.6167,,0.7585,,0.8524,
2021-01-05,0.2974,,0.4176,,1.1211,,1.08,,0.6722,,0.6144,,0.8809,,0.8342,
2021-01-04,0.4169,,0.5009,,1.1044,,1.1521,,0.6735,,0.6168,,0.9527,,0.9614,
2020-12-31,0.7509,,0.6884,,1.0275,,1.0526,,0.6828,,0.6202,,0.9741,,1.0233,
2020-12-30,0.7522,,0.6951,,1.0308,,1.0112,,0.6973,,0.6245,,0.9295,,0.9711,
2020-12-29,0.8421,,0.7249,,1.0085,,1.096,,0.7148,,0.6324,,0.9533,,0.9748,
2020-12-28,0.8048,,0.7013,,1.0685,,1.0854,,0.7134,,0.6331,,0.979,,0.9641,
2020-12-24,0.811,,0.6561,,0.9585,,0.9847,,0.7166,,0.6309,,0.9502,,0.974,
2020-12-23,0.7903,,0.678,,0.9657,,1.1652,,0.7343,,0.6421,,0.9443,,0.994,
2020-12-22,0.7766,,0.6541,,1.0183,,1.3825,,0.7343,,0.6442,,0.8289,,1.0409,
2020-12-21,0.3718,,0.4663,,0.9529,,1.008,,0.7158,,0.6503,,0.8868,,0.9781,
2020-12-18,0.3661,,0.4936,,0.9923,,0.9018,,0.7168,,0.6505,,0.9404,,0.937,
2020-12-17,0.2929,,0.5216,,0.9245,,1.0285,,0.7144,,0.6514,,0.8982,,0.9634,
2020-12-16,0.2932,,0.5348,,0.9787,,1.0124,,0.7248,,0.6553,,0.958,,0.9602,
2020-12-15,0.5789,,0.6527,,1.3177,,0.9828,,0.7268,,0.6583,,0.963,,0.9681,
2020-12-14,0.8921,,0.7803,,1.3467,,0.9755,,0.7439,,0.6638,,0.9356,,0.9556,
2020-12-11,2.1045,,1.5207,,1.6246,,0.9533,,0.7451,,0.6634,,1.0383,,0.9466,
2020-12-10,2.121,,1.5141,,1.2996,,0.844,,0.7443,,0.6649,,0.9455,,1.0384,
2020-12-09,2.1415,,1.5134,,1.014,,1.4065,,0.7598,,0.6693,,0.9699,,0.9358,
2020-12-08,2.1648,,1.4915,,1.2866,,1.194,,0.7595,,0.6699,,0.9384,,0.9618,
2020-12-07,2.1625,,1.4894,,1.1881,,1.1521,,0.7808,,0.6799,,0.9223,,0.9512,
2020-12-04,2.0298,,1.442,,1.1883,,1.3374,,0.773,,0.6757,,0.9323,,1.0801,
2020-12-03,1.9928,,1.3609,,2.6241,,1.4797,,0.762,,0.6731,,1.2361,,1.1027,
2020-10-20,0.3543,,0.4224,,0.8082,,1.0755,,0.8824,,0.8235,,0.8082,,1.0755,
2020-10-16,0.3832,,0.4478,,1.7666,,0.7464,,0.8855,,0.8313,,0.8554,,0.7464,
2020-10-13,0.47,,0.3885,,0.7915,,1.0142,,0.8896,,0.8347,,0.7915,,1.0142,
2020-10-09,0.3709,,0.3468,,1.6343,,1.1399,,0.8894,,0.8489,,0.7845,,1.1399,
2020-10-08,0.3816,,0.3297,,1.2031,,0.8889,,0.8894,,0.8488,,1.2031,,0.8889,
2020-10-07,0.3548,,0.3311,,0.7334,,0.8816,,0.8996,,0.857,,0.7334,,0.8816,
2020-10-06,0.3453,,0.3367,,0.7461,,0.9447,,0.8995,,0.8576,,0.7461,,0.9447,
2020-09-18,0.4099,,0.506,,0.9153,,1.1722,,0.9988,,0.9703,,0.9153,,1.1722,
2020-09-17,0.3768,,0.5112,,1.6045,,1.4239,,1.0003,,0.9797,,1.1307,,1.4239,
2020-09-10,0.4203,,0.523,,1.2034,,0.9807,,1.1461,,1.1501,,0.8436,,0.9807,
2020-09-09,0.3337,,0.3969,,1.1807,,0.9482,,1.1527,,1.1544,,0.8479,,0.9482,
2020-09-08,0.3443,,0.41,,1.0074,,0.9479,,1.1597,,1.1749,,1.0074,,0.9479,
2020-08-26,0.5305,,0.6775,,0.9305,,1.8148,,1.1951,,1.2008,,0.6969,,1.8148,
2020-08-25,0.5301,,0.6637,,0.7867,,0.9356,,1.1952,,1.2026,,1.0069,,1.0354,
2020-08-24,0.5337,,0.6957,,0.8243,,0.907,,1.1952,,1.2226,,1.1056,,0.8853,
2020-08-21,0.6835,,0.8647,,1.5373,,1.4517,,1.216,,1.2336,,1.6012,,1.1664,
2020-08-20,0.6897,,0.8664,,1.3991,,1.4723,,1.2191,,1.2357,,1.0535,,1.4723,
2020-08-12,0.4101,,0.3797,,1.1733,,1.3193,,1.2132,,1.2235,,1.1733,,1.3193,
2020-08-11,0.3812,,0.389,,1.1563,,1.1165,,1.2135,,1.2242,,1.1563,,1.1165,
2020-08-10,0.324,,0.537,,1.1542,,1.1727,,1.2125,,1.2239,,1.1542,,1.1727,
