date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2015-01-16,0.3053,,0.2472,,0.3309,,0.264,,0.2219,,0.1405,,0.2708,,0.2847,
2015-01-15,0.2121,,0.2501,,0.267,,0.3296,,0.2178,,0.1397,,0.2459,,0.3015,
2015-01-14,0.1776,,0.1691,,0.3244,,0.2676,,0.2152,,0.1325,,0.2687,,0.2726,
2015-01-13,0.2538,,0.1698,,0.3317,,0.3343,,0.2147,,0.1314,,0.2678,,0.2594,
2015-01-12,0.2529,,0.1794,,0.3104,,0.2683,,0.2163,,0.1303,,0.2589,,0.2721,
2015-01-09,0.2548,,0.1869,,0.2857,,0.2241,,0.2169,,0.1299,,0.2597,,0.259,
2015-01-08,0.188,,0.1872,,0.302,,0.2593,,0.2142,,0.1302,,0.2553,,0.2788,
2015-01-07,0.1669,,0.1838,,0.251,,0.2422,,0.215,,0.1297,,0.2615,,0.2811,
2015-01-06,0.1894,,0.1722,,0.2478,,0.2937,,0.2149,,0.1288,,0.2551,,0.2819,
2015-01-05,0.1763,,0.1718,,0.2756,,0.2629,,0.2152,,0.1294,,0.2765,,0.2628,
2015-01-02,0.1014,,0.1597,,0.288,,0.293,,0.2117,,0.1284,,0.2456,,0.277,
2014-12-31,0.1091,,0.1317,,0.2175,,0.22,,0.2124,,0.126,,0.2609,,0.26,
2014-12-30,0.1159,,0.1169,,0.2226,,0.2364,,0.2133,,0.125,,0.254,,0.2666,
2014-12-29,0.1141,,0.1185,,0.2271,,0.2332,,0.2128,,0.1248,,0.2474,,0.2606,
2014-12-26,0.1384,,0.1248,,0.1755,,0.2518,,0.2131,,0.1243,,0.2372,,0.2745,
2014-12-24,0.1352,,0.1325,,0.2306,,0.2215,,0.2136,,0.1241,,0.2501,,0.2637,
2014-12-23,0.1564,,0.1522,,0.2327,,0.229,,0.2136,,0.124,,0.2491,,0.255,
2014-12-22,0.1711,,0.1648,,0.2146,,0.2057,,0.2137,,0.1238,,0.265,,0.243,
2014-12-19,0.1812,,0.1664,,0.2255,,0.2158,,0.2159,,0.1234,,0.2507,,0.2659,
2014-12-18,0.2865,,0.1998,,0.2068,,0.224,,0.217,,0.1232,,0.2492,,0.2678,
2014-12-17,0.2767,,0.1987,,0.2023,,0.236,,0.2187,,0.1236,,0.2493,,0.2802,
2014-12-16,0.2497,,0.1921,,0.2472,,0.253,,0.2181,,0.1228,,0.2497,,0.2865,
2014-12-15,0.2467,,0.1851,,0.2909,,0.2176,,0.2183,,0.1221,,0.2632,,0.2589,
2014-12-12,0.2513,,0.1675,,0.2364,,0.2075,,0.219,,0.121,,0.2767,,0.2412,
2014-12-11,0.2561,,0.1494,,0.2374,,0.2537,,0.2185,,0.12,,0.2459,,0.2656,
2014-12-10,0.2441,,0.1385,,0.2273,,0.2045,,0.2182,,0.1198,,0.2846,,0.2218,
2014-12-09,0.0927,,0.092,,0.1887,,0.1888,,0.2115,,0.1166,,0.2343,,0.2507,
2014-12-08,0.1375,,0.0963,,0.1807,,0.2062,,0.2122,,0.1167,,0.2369,,0.2365,
2014-12-05,0.1249,,0.092,,0.1803,,0.1915,,0.2128,,0.1166,,0.2248,,0.2594,
2014-12-04,0.1243,,0.088,,0.1645,,0.1781,,0.2146,,0.1165,,0.2286,,0.2438,
2014-12-03,0.1209,,0.0929,,0.1751,,0.1933,,0.2148,,0.1165,,0.2299,,0.247,
2014-12-02,0.1212,,0.0955,,0.1528,,0.1988,,0.2146,,0.1168,,0.2364,,0.2475,
2014-12-01,0.1568,,0.0935,,0.1522,,0.1531,,0.2153,,0.1167,,0.2414,,0.2377,
2014-11-28,0.1576,,0.0808,,0.1938,,0.1718,,0.2152,,0.1164,,0.25,,0.2358,
2014-11-26,0.1106,,0.0705,,0.1885,,0.1682,,0.2133,,0.1159,,0.2465,,0.2535,
2014-11-25,0.1062,,0.0796,,0.1834,,0.1978,,0.2133,,0.1159,,0.2424,,0.2531,
2014-11-24,0.1031,,0.0864,,0.1829,,0.198,,0.2131,,0.116,,0.241,,0.2534,
