date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2010-06-02,0.5498,70,0.0,1,0.83,,0.8317,,0.7983,81,0.0,1,0.83,,0.8317,
2010-06-01,0.4614,60,0.0,1,0.867,,0.7799,,0.7951,81,0.0,1,0.867,,0.7675,
2010-05-28,0.9441,90,0.8987,92,0.7696,,0.8002,,0.7951,81,0.0,1,0.7696,,0.786,
2010-05-27,0.971,91,0.9153,93,0.7894,,0.8284,,0.7961,81,0.0,1,0.7894,,0.8209,
2010-05-26,0.9352,90,0.9062,93,0.9082,,0.8077,,0.7946,80,0.0,1,0.9082,,0.8077,
2010-05-19,1.014,92,0.9331,93,0.8218,,0.7945,,0.7711,80,0.0,1,0.7847,,0.7945,
2010-05-18,0.9307,89,0.9076,93,0.7488,,0.7424,,0.7665,80,0.0,1,0.7227,,0.7424,
2010-05-17,1.2082,95,0.9872,94,0.7598,,0.7994,,0.7681,80,0.0,1,0.7234,,0.7994,
2010-05-14,1.2455,95,1.4108,99,0.7134,,0.7643,,0.7683,80,0.0,1,0.7134,,0.7643,
2010-05-13,1.2504,95,1.4111,99,0.7007,,0.7444,,0.7678,80,0.0,1,0.7007,,0.7444,
2010-05-12,1.4593,97,1.4235,99,0.805,,0.758,,0.7686,80,0.0,1,0.7179,,0.758,
2009-02-11,1.0498,93,0.7909,91,0.6755,,0.7919,,0.8924,87,0.0,1,0.6755,,0.7919,
2009-02-10,0.8169,86,0.7291,88,0.7642,,0.788,,0.8883,87,0.0,1,0.7378,,0.788,
2009-02-09,0.7152,82,0.6531,85,0.715,,0.8218,,0.8867,87,0.0,1,0.6584,,0.8218,
2009-02-05,0.6437,78,0.5649,79,0.6848,,0.8236,,0.8728,86,0.0,1,0.6712,,0.8236,
2009-02-04,0.6408,77,0.55,78,0.7149,,0.8235,,0.8728,86,0.0,1,0.683,,0.8235,
2009-02-03,0.6402,77,0.5406,76,0.601,,0.8489,,0.8726,86,0.0,1,0.601,,0.8489,
2009-01-30,0.6408,77,0.4572,66,0.6584,,0.8197,,0.8696,86,0.0,1,0.6584,,0.8197,
2009-01-29,0.7949,85,0.5068,73,0.6779,,0.7816,,0.8727,86,0.0,1,0.6779,,0.7816,
2009-01-28,0.8965,89,0.5804,80,0.6665,,0.7924,,0.872,86,0.0,1,0.6304,,0.7924,
2009-01-27,0.8223,86,0.0,1,0.6688,,0.8353,,0.8726,86,0.0,1,0.6688,,0.8019,
2009-01-26,0.8932,88,0.0,1,0.6889,,0.8573,,0.9492,90,0.0,1,0.6889,,0.8527,
2009-01-23,0.9589,91,0.0,1,0.6707,,0.8477,,0.9503,90,0.0,1,0.6707,,0.8258,
2009-01-22,0.9593,91,0.0,1,0.7503,,0.8674,,0.9501,90,0.0,1,0.683,,0.834,
2009-01-21,0.9287,89,0.0,1,0.7153,,0.8755,,0.9474,89,0.0,1,0.6175,,0.8662,
2009-01-15,0.489,63,0.5575,78,0.6801,,0.8534,,0.9317,88,0.0,1,0.6801,,0.843,
2009-01-13,0.535,68,0.523,75,0.7192,,0.8636,,0.9295,88,0.0,1,0.7192,,0.835,
2009-01-12,0.5332,68,0.5324,76,0.7282,,0.821,,0.9299,88,0.0,1,0.7282,,0.817,
2009-01-09,0.5258,67,0.0,1,0.7376,,0.7781,,0.9306,88,0.0,1,0.7376,,0.7851,
2009-01-08,0.5778,72,0.0,1,0.7353,,0.7876,,0.9285,88,0.0,1,0.7353,,0.7876,
2009-01-07,0.6559,78,0.0,1,0.6903,,0.7727,,0.9279,88,0.0,1,0.6903,,0.7727,
2009-01-06,0.7807,84,0.0,1,0.6451,,0.7891,,0.9335,88,0.0,1,0.6451,,0.7891,
2009-01-05,0.7944,85,0.0,1,0.6888,,0.8639,,0.9342,89,0.0,1,0.6888,,0.7985,
2009-01-02,0.8008,85,0.0,1,0.7216,,0.8118,,0.9331,88,0.0,1,0.7216,,0.7855,
2008-12-31,0.8676,88,0.0,1,0.7055,,0.7769,,0.9332,88,0.0,1,0.7055,,0.8039,
2008-12-29,0.5178,67,0.0,1,0.7632,,0.7888,,0.9157,88,0.0,1,0.7632,,0.7888,
