date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2012-07-25,1.4232,100,0.304,67,0.1622,1,0.074,1,0.5301,95,0.0,1,0.0594,1,0.0709,1
2012-07-20,0.3849,77,0.3159,70,0.4105,71,0.4266,77,0.3974,76,0.0,1,0.4074,75,0.4196,78
2012-07-19,0.4351,83,0.3426,76,0.4158,73,0.3986,65,0.3974,76,0.0,1,0.4199,80,0.404,71
2012-07-18,0.2504,46,0.2488,48,0.434,79,0.4078,69,0.3897,74,0.0,1,0.4115,77,0.4176,77
2012-07-17,0.2497,45,0.2621,53,0.427,77,0.456,85,0.3895,74,0.0,1,0.4129,78,0.4471,86
2012-07-16,0.2139,35,0.2584,52,0.4494,83,0.49,89,0.3901,74,0.0,1,0.4249,82,0.4285,82
2012-07-13,0.2064,32,0.2587,52,0.4461,83,0.457,85,0.3905,74,0.0,1,0.4384,85,0.4333,83
2012-07-12,0.1783,23,0.0,1,0.4671,87,0.4706,87,0.3904,74,0.0,1,0.4354,84,0.4373,84
2012-07-11,0.2045,31,0.0,1,0.4514,83,0.4428,82,0.39,74,0.0,1,0.4284,83,0.4189,78
2012-07-10,0.2128,34,0.0,1,0.4318,79,0.3892,60,0.3878,73,0.0,1,0.4194,80,0.4023,70
2012-07-09,0.3994,78,0.0,1,0.4097,70,0.4357,81,0.3869,73,0.0,1,0.4111,77,0.4048,71
2012-07-06,0.3901,77,0.0,1,0.3921,63,0.4081,69,0.3855,73,0.0,1,0.385,66,0.4024,70
2012-07-05,0.3816,76,0.0,1,0.3997,66,0.3983,65,0.3853,73,0.0,1,0.3786,63,0.3857,62
2012-07-03,0.4401,83,0.2949,64,0.3739,55,0.393,62,0.3864,73,0.0,1,0.3931,70,0.3805,59
2012-07-02,0.5002,89,0.3863,83,0.4032,67,0.3818,57,0.3864,73,0.0,1,0.3916,69,0.3864,62
2012-06-29,0.7297,96,0.5312,95,0.3749,56,0.3062,18,0.3837,72,0.0,1,0.3872,67,0.3946,66
2012-06-28,0.6117,93,0.5199,94,0.4001,66,0.3593,46,0.3787,71,0.0,1,0.39,69,0.4029,70
2012-06-27,0.5987,93,0.5061,93,0.3992,66,0.3714,52,0.3776,71,0.0,1,0.3873,67,0.4105,74
2012-06-26,0.6622,95,0.5248,94,0.3969,65,0.4045,67,0.3779,71,0.0,1,0.4,72,0.3962,67
2012-06-25,0.7335,96,0.5474,96,0.3959,64,0.3988,65,0.3808,72,0.0,1,0.3806,64,0.3951,66
2012-06-22,0.7649,97,0.5523,96,0.3763,57,0.3766,55,0.381,72,0.0,1,0.3602,52,0.3881,63
2012-06-21,0.7249,96,0.4965,93,0.3506,44,0.3907,61,0.3772,71,0.0,1,0.3559,49,0.371,54
2012-06-20,0.3232,65,0.3175,70,0.3142,24,0.2955,13,0.3527,60,0.0,1,0.3263,32,0.3575,45
2012-06-19,0.3517,71,0.3264,72,0.3339,36,0.2889,9,0.353,60,0.0,1,0.3409,41,0.345,36
2012-06-18,0.3764,75,0.3196,71,0.2813,9,0.3478,39,0.3522,60,0.0,1,0.3359,38,0.3463,37
2012-06-15,0.3425,69,0.2809,60,0.3245,30,0.3435,36,0.3501,59,0.0,1,0.3468,44,0.3539,43
2012-06-14,0.2958,60,0.2501,48,0.3166,26,0.3393,34,0.3461,57,0.0,1,0.3173,26,0.3516,41
2012-06-13,0.2366,41,0.2527,49,0.3348,37,0.3476,39,0.3427,56,0.0,1,0.337,38,0.3486,39
2012-06-12,0.2797,55,0.2723,57,0.3388,38,0.3244,26,0.3428,56,0.0,1,0.341,41,0.3469,38
2012-06-11,0.4483,84,0.3485,78,0.3476,43,0.3406,35,0.3426,56,0.0,1,0.3438,42,0.3348,31
2012-06-08,0.4415,83,0.3409,76,0.3326,35,0.3175,24,0.3448,57,0.0,1,0.3428,42,0.3564,45
2012-06-07,0.4664,86,0.3405,76,0.3358,37,0.3522,42,0.3445,57,0.0,1,0.3361,38,0.3487,39
2012-06-06,0.4653,86,0.328,72,0.337,37,0.4216,75,0.3445,57,0.0,1,0.3383,39,0.3579,46
2012-06-05,0.4314,82,0.0,1,0.4046,68,0.3856,57,0.3435,56,0.0,1,0.3495,46,0.3605,48
2012-06-04,0.4382,83,0.0,1,0.3646,51,0.3883,60,0.3438,56,0.0,1,0.3423,41,0.3682,52
2012-06-01,0.4863,88,0.0,1,0.3679,52,0.4409,82,0.3428,56,0.0,1,0.3593,51,0.3653,51
2012-05-31,0.5224,90,0.0,1,0.3494,44,0.3643,49,0.3343,50,0.0,1,0.3263,32,0.3529,42
2012-05-30,0.5225,90,0.0,1,0.3622,49,0.362,48,0.3344,51,0.0,1,0.3367,38,0.3319,28
2012-05-29,0.5129,90,0.0,1,0.3469,42,0.3284,28,0.3324,49,0.0,1,0.3337,36,0.3402,33
2012-05-25,0.5141,90,0.4028,85,0.3309,34,0.3468,38,0.3325,49,0.0,1,0.3132,24,0.3442,36
2012-05-24,0.5017,89,0.4029,85,0.3193,27,0.3804,56,0.3322,49,0.0,1,0.3035,17,0.345,36
2012-05-23,0.3029,61,0.2869,61,0.2822,9,0.3319,28,0.3195,41,0.0,1,0.3071,19,0.3343,30
2012-05-22,0.1852,24,0.2284,41,0.3297,33,0.325,27,0.3149,37,0.0,1,0.3182,27,0.3305,28
2012-05-21,0.1868,25,0.2101,35,0.3277,32,0.3213,25,0.3217,42,0.0,1,0.3078,20,0.3427,35
2012-05-18,0.1434,13,0.1915,31,0.3234,30,0.353,43,0.3211,42,0.0,1,0.3236,30,0.3294,28
2012-05-17,0.145,14,0.1892,30,0.3196,27,0.3666,50,0.3216,42,0.0,1,0.3178,27,0.3403,34
2012-05-16,0.1717,21,0.1925,31,0.3275,32,0.3242,26,0.3216,42,0.0,1,0.3274,32,0.3277,27
2012-05-15,0.1517,15,0.168,26,0.317,26,0.3089,19,0.3203,42,0.0,1,0.318,27,0.3233,25
2012-05-14,0.1757,22,0.2096,35,0.322,28,0.3329,30,0.3214,42,0.0,1,0.3181,27,0.3223,25
2012-05-11,0.5492,91,0.3472,77,0.3044,18,0.3174,24,0.3213,42,0.0,1,0.306,19,0.3226,25
2012-05-10,0.6961,96,0.3876,83,0.3147,24,0.3118,21,0.3222,43,0.0,1,0.3072,19,0.3218,25
2012-05-09,0.6678,95,0.3977,84,0.3179,26,0.3054,18,0.3223,43,0.0,1,0.3118,23,0.3226,25
2012-05-08,0.6828,95,0.4073,86,0.3142,24,0.2984,14,0.3223,43,0.0,1,0.3067,19,0.3201,24
2012-05-07,0.7119,96,0.4189,87,0.3045,18,0.3087,19,0.3244,44,0.0,1,0.3109,22,0.3197,23
2012-05-04,0.7669,97,0.4327,89,0.3175,26,0.3101,20,0.3245,44,0.0,1,0.2997,15,0.3302,28
2012-05-03,0.7691,97,0.4199,87,0.3712,54,0.2983,14,0.3257,45,0.0,1,0.3227,28,0.3066,16
2012-05-02,0.6013,93,0.3343,74,0.3137,23,0.2856,8,0.301,27,0.0,1,0.3001,15,0.3097,18
