date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2003-06-05,0.2076,,0.0,,0.5546,,0.4022,,0.5659,,0.0,,0.4334,,0.4016,
2003-06-04,0.1247,,0.0,,0.411,,0.4157,,0.57,,0.0,,0.4184,,0.4089,
2003-06-03,0.1368,,0.0,,0.4094,,0.4165,,0.57,,0.0,,0.4136,,0.4124,
2003-06-02,0.1376,,0.0,,0.4062,,0.4233,,0.5744,,0.0,,0.4167,,0.4115,
2003-05-30,0.1389,,0.0,,0.4033,,0.3942,,0.5748,,0.0,,0.4078,,0.406,
2003-05-29,0.1614,,0.0,,0.3992,,0.3861,,0.5801,,0.0,,0.4054,,0.4109,
2003-05-28,0.1387,,0.0,,0.3846,,0.3948,,0.5835,,0.0,,0.4141,,0.4063,
2003-05-27,0.1372,,0.0,,0.3912,,0.3979,,0.5839,,0.0,,0.4142,,0.41,
2003-05-23,0.1453,,0.0,,0.3904,,0.3669,,0.585,,0.0,,0.4136,,0.4063,
2003-05-22,0.1481,,0.0,,0.3939,,0.3764,,0.5894,,0.0,,0.398,,0.3987,
2003-05-21,0.1481,,0.0,,0.3928,,0.3861,,0.5901,,0.0,,0.3996,,0.3998,
2003-05-20,0.2161,,0.0,,0.393,,0.3788,,0.6027,,0.0,,0.399,,0.3989,
2003-05-19,0.2132,,0.0,,0.3856,,0.3963,,0.6049,,0.0,,0.4002,,0.4023,
2003-05-16,0.1672,,0.0,,0.3804,,0.3965,,0.608,,0.0,,0.3975,,0.3997,
2003-05-15,0.1805,,0.0,,0.3733,,0.3996,,0.6086,,0.0,,0.3908,,0.4032,
2003-05-14,0.2301,,0.0,,0.3795,,0.3888,,0.6098,,0.0,,0.3969,,0.4046,
2003-05-13,0.2755,,0.0,,0.3905,,0.3961,,0.6152,,0.0,,0.4011,,0.4043,
2003-05-12,0.3293,,0.0,,0.3961,,0.4051,,0.6718,,0.0,,0.3898,,0.4027,
2003-05-09,0.4607,,0.0,,0.4112,,0.4053,,0.6743,,0.0,,0.4101,,0.4033,
2003-05-08,0.4608,,0.0,,0.4076,,0.4226,,0.6779,,0.0,,0.3926,,0.4099,
2003-05-07,0.4563,,0.0,,0.4058,,0.4307,,0.679,,0.0,,0.3876,,0.4079,
2003-05-06,0.4578,,0.0,,0.4318,,0.416,,0.6794,,0.0,,0.4054,,0.3978,
2003-05-05,0.4357,,0.0,,0.4086,,0.4425,,0.6821,,0.0,,0.3939,,0.4047,
2003-05-02,0.356,,0.0,,0.4221,,0.4127,,0.6853,,0.0,,0.3962,,0.3982,
2003-05-01,0.374,,0.0,,0.4345,,0.4278,,0.684,,0.0,,0.4014,,0.4033,
2003-04-30,0.1891,,0.0,,0.6091,,0.5047,,0.678,,0.0,,0.4157,,0.414,
2003-04-29,0.1934,,0.0,,0.6405,,0.6676,,0.6779,,0.0,,0.4248,,0.4318,
2003-04-28,1.3583,,0.0,,0.6162,,0.6498,,0.678,,0.0,,0.4228,,0.423,
2003-04-25,1.5781,,0.0,,0.4069,,0.62,,0.6773,,0.0,,0.4312,,0.4247,
2003-04-24,1.5866,,0.0,,0.4399,,0.5417,,0.6805,,0.0,,0.427,,0.4339,
2003-04-23,1.5852,,0.0,,0.4702,,0.4293,,0.6804,,0.0,,0.4339,,0.4321,
2003-04-22,1.5778,,0.0,,0.4804,,0.4293,,0.6832,,0.0,,0.4352,,0.4355,
2003-04-21,1.5906,,0.0,,0.452,,0.4254,,0.6857,,0.0,,0.4388,,0.4371,
2003-04-17,1.6226,,0.0,,0.434,,0.4183,,0.6858,,0.0,,0.4343,,0.4364,
2003-04-15,0.3225,,0.0,,0.4585,,0.4946,,0.587,,0.0,,0.4745,,0.4936,
2003-04-14,0.3147,,0.0,,0.4845,,0.4756,,0.6015,,0.0,,0.4819,,0.4855,
2003-04-11,0.2894,,0.0,,0.4676,,0.4776,,0.6026,,0.0,,0.4966,,0.4911,
2003-04-10,0.3159,,0.0,,0.4879,,0.4718,,0.6045,,0.0,,0.4947,,0.4923,
2003-04-09,0.3175,,0.0,,0.515,,0.4904,,0.6049,,0.0,,0.4942,,0.5028,
2003-04-08,0.2516,,0.0,,0.4963,,0.4815,,0.6039,,0.0,,0.4943,,0.5017,
2003-04-07,0.2663,,0.0,,0.4684,,0.4879,,0.6042,,0.0,,0.4953,,0.5175,
2003-04-04,0.2595,,0.0,,0.5262,,0.4991,,0.6033,,0.0,,0.5385,,0.5183,
2003-04-03,0.2764,,0.0,,0.4271,,0.5092,,0.6039,,0.0,,0.506,,0.5348,
2003-04-02,0.3445,,0.0,,0.4772,,0.4838,,0.6058,,0.0,,0.5307,,0.5267,
2003-04-01,0.4224,,0.0,,0.4981,,0.5172,,0.606,,0.0,,0.5419,,0.5423,
2003-03-31,0.4874,,0.0,,0.503,,0.5347,,0.6073,,0.0,,0.541,,0.537,
2003-03-28,0.4677,,0.0,,0.4899,,0.5433,,0.6079,,0.0,,0.538,,0.5505,
2003-03-27,0.4628,,0.0,,0.5246,,0.517,,0.6077,,0.0,,0.5702,,0.5363,
2003-03-26,0.4564,,0.0,,0.5307,,0.5287,,0.6081,,0.0,,0.5758,,0.5423,
2003-03-25,0.4793,,0.0,,0.5178,,0.5121,,0.6078,,0.0,,0.5486,,0.5467,
2003-03-24,0.5818,,0.0,,0.5498,,0.5336,,0.6053,,0.0,,0.5532,,0.5551,
2003-03-21,0.5436,,0.0,,0.5173,,0.5327,,0.6035,,0.0,,0.5541,,0.553,
2003-03-20,0.5042,,0.0,,0.5354,,0.5038,,0.6022,,0.0,,0.5684,,0.5673,
2003-03-19,0.5007,,0.0,,0.5298,,0.5105,,0.6048,,0.0,,0.5682,,0.5697,
