date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2016-04-13,0.4968,77,0.2694,28,0.2865,5,0.3898,40,0.3284,25,0.3424,47,0.2515,1,0.3458,13
2016-04-12,0.5314,79,0.2741,30,0.4061,47,0.4588,63,0.326,25,0.3419,47,0.3185,9,0.3181,7
2016-04-11,0.5334,80,0.2759,31,0.4806,68,0.3002,6,0.3274,25,0.3424,47,0.3496,22,0.2858,1
2016-04-08,0.5284,79,0.275,31,0.8194,97,0.3284,15,0.3275,25,0.3421,47,0.3319,13,0.2873,1
2016-04-07,0.5283,79,0.2688,28,0.4501,62,0.4347,57,0.3319,26,0.3453,49,0.3211,10,0.294,2
2016-04-06,0.5174,78,0.3212,45,0.6717,91,0.5204,75,0.3986,53,0.362,57,0.3777,37,0.5204,79
2016-04-05,0.2423,28,0.2728,30,0.3493,25,0.3281,15,0.3852,47,0.3599,56,0.3135,8,0.3046,4
2016-04-04,0.2805,39,0.2978,38,0.3568,28,0.3113,10,0.3853,48,0.3605,57,0.353,23,0.2828,1
2016-04-01,0.3014,44,0.2996,39,0.2993,8,0.413,48,0.387,49,0.3605,57,0.2952,3,0.3306,10
2016-03-31,0.3034,45,0.2996,39,0.3502,25,0.3552,25,0.3882,50,0.3615,57,0.2957,3,0.3146,6
2016-03-30,0.3366,52,0.3114,42,0.3128,13,0.3854,38,0.3883,50,0.3624,57,0.2735,1,0.3431,13
2016-03-29,0.3385,52,0.3256,46,0.2884,5,0.4366,57,0.3905,51,0.3627,57,0.205,1,0.3642,19
2016-03-28,0.3667,57,0.3699,60,0.4577,64,0.4297,55,0.3895,50,0.3608,57,0.3369,15,0.3275,9
2016-03-24,0.3647,57,0.3738,61,0.3074,11,0.5017,71,0.3897,51,0.3607,57,0.2952,3,0.3575,17
2016-03-23,0.337,52,0.3777,62,0.4832,69,0.2922,5,0.3885,50,0.3595,56,0.3719,34,0.2852,1
2016-03-22,0.2835,39,0.3738,61,0.2801,3,0.4321,56,0.3862,48,0.3591,56,0.2801,1,0.3556,16
2016-03-21,0.3183,48,0.46,80,0.3895,41,0.2971,6,0.3862,48,0.3589,56,0.4692,72,0.2883,2
2016-03-18,0.2841,40,0.4713,82,0.3275,17,0.3598,27,0.3855,48,0.3584,56,0.3472,20,0.323,8
2016-03-17,0.2894,41,0.4637,81,0.3387,21,0.3724,32,0.3855,48,0.3579,55,0.3954,44,0.3602,18
2016-03-15,0.3448,54,0.4154,72,0.4125,50,0.3856,38,0.3839,46,0.3535,54,0.3433,18,0.2969,3
2016-03-14,0.3441,54,0.4278,75,0.3537,27,0.413,48,0.3841,47,0.3517,53,0.3456,19,0.3339,11
2016-03-11,0.3438,54,0.4213,74,0.2926,6,0.4582,63,0.384,47,0.3515,53,0.2975,3,0.3351,11
2016-03-10,0.3667,57,0.3409,50,0.3604,28,0.3513,24,0.3822,45,0.3455,49,0.3501,22,0.307,5
2016-03-09,0.3745,60,0.3185,44,0.3416,22,0.426,53,0.3819,45,0.344,48,0.3358,14,0.3301,10
2016-03-07,0.1976,18,0.3471,52,0.2372,1,0.701,92,0.3782,44,0.3431,48,0.3023,5,0.3937,35
2016-03-04,0.2152,21,0.3361,49,0.3223,16,0.4899,69,0.3776,44,0.3429,48,0.3213,10,0.3203,8
2016-03-03,0.2731,37,0.3616,57,0.2858,5,0.5644,81,0.3783,44,0.3403,47,0.2858,2,0.3751,24
2016-03-02,0.3141,47,0.3625,57,0.2573,1,0.5516,79,0.3782,44,0.3403,47,0.2573,1,0.3687,21
2016-03-01,0.2946,42,0.3449,51,0.2663,2,0.6096,85,0.3753,43,0.3401,46,0.2663,1,0.3822,28
2016-02-29,0.2939,42,0.351,54,0.2948,6,0.4296,55,0.3747,43,0.3405,47,0.3081,6,0.3404,12
2016-02-26,0.3247,49,0.2998,39,0.309,11,0.3699,31,0.3746,42,0.3379,46,0.2917,2,0.3538,15
2016-02-25,0.3167,47,0.4773,83,0.3641,31,0.3169,12,0.3734,42,0.3375,46,0.3405,17,0.3376,12
2016-02-24,0.3563,56,0.4914,84,0.2998,8,0.516,74,0.3744,42,0.3379,46,0.2998,4,0.403,41
2016-02-23,0.2643,35,0.4428,78,0.4068,47,0.3428,20,0.3718,41,0.3356,45,0.3602,27,0.3428,12
2016-02-18,0.3209,48,0.4891,84,0.4422,59,0.3499,23,0.3717,41,0.3398,46,0.4131,53,0.3499,14
2016-02-17,0.3326,51,0.5046,86,0.3769,36,0.3741,33,0.3738,42,0.3402,47,0.3692,33,0.3741,23
2016-02-12,0.3482,55,0.3731,60,0.4136,50,0.3882,39,0.3708,41,0.3275,41,0.3807,38,0.3882,32
2016-02-11,0.3503,55,0.3778,62,0.4839,69,0.4753,66,0.3706,41,0.3271,41,0.3989,45,0.3759,24
2016-02-10,0.4774,75,0.4177,73,0.4957,72,0.3575,26,0.3707,41,0.3268,40,0.3967,44,0.3575,17
2016-02-09,0.4085,65,0.3974,68,0.5099,74,0.3732,33,0.369,40,0.3236,39,0.413,53,0.3758,24
2016-02-08,0.4598,73,0.3897,65,0.507,74,0.3703,31,0.3688,40,0.3235,39,0.4487,66,0.3703,22
2016-02-05,0.4664,73,0.3715,60,0.5533,80,0.3084,9,0.3699,40,0.3226,39,0.4493,66,0.3084,5
2016-02-04,0.5023,77,0.4324,76,0.3324,19,0.3609,27,0.3665,39,0.3203,38,0.3324,13,0.3609,18
