date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2007-01-12,0.4853,,0.0,,0.4902,,0.6361,,0.3803,,0.0,,0.4246,,0.6361,
2007-01-11,0.4303,,0.0,,0.4408,,0.6375,,0.3751,,0.0,,0.4063,,0.6227,
2007-01-10,0.2172,,0.0,,0.4599,,0.6003,,0.3708,,0.0,,0.404,,0.6214,
2007-01-09,0.2183,,0.0,,0.3695,,0.6395,,0.3689,,0.0,,0.3801,,0.6133,
2007-01-08,0.3322,,0.0,,0.4351,,0.6176,,0.3689,,0.0,,0.3805,,0.6633,
2007-01-05,0.3303,,0.0,,0.4924,,0.5787,,0.3732,,0.0,,0.4015,,0.6286,
2007-01-04,0.343,,0.0,,0.4711,,0.6055,,0.3733,,0.0,,0.3951,,0.6658,
2007-01-03,0.3492,,0.0,,0.469,,0.5959,,0.3734,,0.0,,0.3889,,0.6388,
2006-12-29,0.3478,,0.0,,0.4573,,0.6027,,0.3738,,0.0,,0.4159,,0.6437,
2006-12-28,0.3355,,0.0,,0.456,,0.4399,,0.3824,,0.0,,0.4102,,0.64,
2006-12-27,0.2626,,0.0,,0.4663,,0.632,,0.3798,,0.0,,0.4038,,0.6565,
2006-12-26,0.1445,,0.0,,0.4434,,0.6201,,0.3764,,0.0,,0.3874,,0.6842,
2006-12-22,0.1414,,0.0,,0.4684,,0.6266,,0.3799,,0.0,,0.4044,,0.6542,
2006-12-21,0.1166,,0.0,,0.3942,,0.4955,,0.379,,0.0,,0.3875,,0.6848,
2006-12-20,0.1101,,0.0,,0.4449,,0.6379,,0.3789,,0.0,,0.3941,,0.6662,
2006-12-19,0.128,,0.0,,0.4296,,0.6566,,0.3796,,0.0,,0.3834,,0.678,
2006-12-18,0.2058,,0.0,,0.3331,,0.6193,,0.3798,,0.0,,0.3873,,0.6573,
2006-12-15,0.2398,,0.0,,0.3994,,0.6372,,0.3797,,0.0,,0.3945,,0.6824,
2006-12-14,0.2532,,0.0,,0.3915,,0.6387,,0.38,,0.0,,0.4005,,0.6585,
2006-12-13,0.2601,,0.0,,0.4035,,0.6454,,0.3808,,0.0,,0.4106,,0.6548,
2006-12-12,0.2587,,0.0,,0.4489,,0.649,,0.3826,,0.0,,0.4009,,0.6667,
2006-12-11,0.2553,,0.0,,0.4189,,0.5982,,0.3827,,0.0,,0.3993,,0.6789,
2006-12-08,0.2614,,0.0,,0.4015,,0.6357,,0.3882,,0.0,,0.3785,,0.6754,
2006-12-07,0.2039,,0.0,,0.4309,,0.6214,,0.3883,,0.0,,0.4121,,0.6507,
2006-12-06,0.2977,,0.0,,0.4126,,0.6467,,0.3873,,0.0,,0.411,,0.65,
2006-12-05,0.3082,,0.0,,0.4184,,0.6303,,0.3916,,0.0,,0.3918,,0.6414,
2006-12-04,0.2751,,0.0,,0.4421,,0.6495,,0.3916,,0.0,,0.3981,,0.6323,
2006-12-01,0.3097,,0.0,,0.4197,,0.6428,,0.3914,,0.0,,0.3803,,0.6541,
2006-11-30,0.4587,,0.0,,0.4418,,0.6535,,0.3914,,0.0,,0.4099,,0.6189,
2006-11-29,0.4681,,0.0,,0.4189,,0.6346,,0.3962,,0.0,,0.3888,,0.6155,
2006-11-28,0.4992,,0.0,,0.4429,,0.6506,,0.3958,,0.0,,0.4003,,0.6364,
2006-11-27,0.4255,,0.0,,0.4302,,0.5262,,0.3929,,0.0,,0.4,,0.59,
2006-11-24,0.4029,,0.0,,0.4121,,0.5405,,0.3918,,0.0,,0.4126,,0.6078,
2006-11-22,0.4136,,0.0,,0.4162,,0.5341,,0.3918,,0.0,,0.3993,,0.6189,
2006-11-21,0.4241,,0.0,,0.3696,,0.5775,,0.3907,,0.0,,0.4039,,0.6292,
2006-11-20,0.3013,,0.0,,0.4287,,0.6234,,0.3899,,0.0,,0.4166,,0.6259,
2006-11-17,0.2692,,0.0,,0.4334,,0.6131,,0.3896,,0.0,,0.4362,,0.6217,
2006-11-16,0.3363,,0.0,,0.4508,,0.5002,,0.3881,,0.0,,0.4153,,0.6326,
2006-11-15,0.345,,0.0,,0.446,,0.5185,,0.3881,,0.0,,0.4051,,0.6301,
