date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2019-02-28,0.1987,8,0.2215,6,0.1609,2,0.2531,2,0.4871,47,0.4344,45,0.1702,1,0.2531,2
2019-02-26,0.2354,12,0.211,5,0.1683,2,0.2501,2,0.4891,47,0.4356,46,0.2025,3,0.2501,1
2019-02-25,0.24,13,0.214,5,0.1688,2,0.1914,1,0.4889,47,0.4358,46,0.1938,2,0.1914,1
2019-02-22,0.2411,13,0.218,6,0.1761,2,0.1975,1,0.491,48,0.437,46,0.1914,2,0.1992,1
2019-02-21,0.241,13,0.2393,8,0.1666,2,0.262,3,0.4924,48,0.4375,46,0.1666,1,0.2136,1
2019-02-20,0.1261,3,0.2169,5,0.1607,1,0.2261,1,0.4906,48,0.4376,46,0.1826,2,0.2109,1
2019-02-19,0.1376,3,0.2264,6,0.1661,2,0.2074,1,0.4906,48,0.4377,46,0.1661,1,0.2084,1
2019-02-15,0.1702,5,0.2264,6,0.1563,1,0.2305,1,0.4905,48,0.4377,46,0.1943,2,0.2576,2
2019-02-14,0.1519,4,0.2259,6,0.172,2,0.2184,1,0.4901,47,0.4383,46,0.172,1,0.2471,1
2019-02-13,0.1726,6,0.2311,7,0.1661,2,0.2617,3,0.4902,47,0.4384,46,0.1937,2,0.2494,1
2019-02-12,0.1739,6,0.2279,7,0.1846,2,0.311,10,0.4936,48,0.4405,47,0.1895,2,0.2151,1
2019-02-11,0.1808,6,0.2246,6,0.2428,8,0.2793,6,0.4949,48,0.4413,47,0.2226,4,0.2805,3
2019-02-08,0.2028,9,0.2388,8,0.2418,8,0.322,11,0.4992,48,0.4438,47,0.2418,6,0.2533,2
2019-02-07,0.216,10,0.2359,8,0.2027,4,0.3651,18,0.499,48,0.4449,47,0.2027,3,0.3651,21
2019-02-06,0.2141,10,0.2295,7,0.1417,1,0.358,16,0.4998,48,0.4479,48,0.1417,1,0.2568,2
2019-02-05,0.2059,9,0.2293,7,0.302,14,0.3603,17,0.502,48,0.4505,48,0.1985,3,0.3603,20
2019-02-01,0.1919,8,0.2379,8,0.2974,13,0.3454,15,0.5019,48,0.4602,48,0.1702,1,0.2476,1
2019-01-31,0.1725,6,0.2395,8,0.2979,13,0.3397,14,0.5055,48,0.4623,48,0.1438,1,0.2566,2
2019-01-30,0.0871,1,0.2449,9,0.1502,1,0.3454,15,0.5064,48,0.4642,48,0.1947,2,0.3245,11
2019-01-29,0.0583,1,0.2343,7,0.1106,1,0.3826,21,0.5062,48,0.4642,48,0.1106,1,0.2488,1
2019-01-28,0.0548,1,0.2341,7,0.1539,1,0.3885,24,0.5067,48,0.4653,48,0.1539,1,0.257,2
2019-01-24,0.088,1,0.2303,7,0.1323,1,0.3756,20,0.5127,48,0.4707,48,0.1323,1,0.2545,2
2019-01-23,0.0829,1,0.2199,6,0.1665,2,0.5507,68,0.5134,48,0.4714,48,0.1665,1,0.253,2
2019-01-22,0.0812,1,0.2237,6,0.2309,7,0.5663,71,0.5135,48,0.4716,48,0.2309,4,0.2509,1
2019-01-17,0.0978,2,0.2513,9,0.1447,1,0.3843,22,0.5148,49,0.4735,48,0.1836,2,0.3843,26
2019-01-16,0.0896,1,0.2581,10,0.1927,3,0.3887,24,0.515,49,0.4738,48,0.1927,2,0.2518,2
2019-01-15,0.0955,1,0.2545,10,0.1849,3,0.537,65,0.5149,49,0.4743,49,0.1849,2,0.2848,4
2019-01-14,0.1544,4,0.2542,10,0.1876,3,0.5364,65,0.5159,49,0.4784,49,0.1876,2,0.2773,3
2019-01-11,0.2118,10,0.2653,11,0.1599,1,0.4086,28,0.5159,49,0.4795,49,0.1961,2,0.2701,3
2019-01-10,0.2184,10,0.2892,15,0.2054,4,0.5648,70,0.5191,49,0.482,49,0.1975,2,0.2789,3
2019-01-09,0.216,10,0.279,14,0.1784,2,0.531,64,0.5193,49,0.4825,49,0.1784,2,0.2769,3
2019-01-04,0.5049,55,0.4024,40,0.211,5,0.5001,57,0.5218,50,0.4864,49,0.211,3,0.4258,44
2019-01-03,0.532,57,0.4081,41,0.2252,7,0.5117,60,0.5282,50,0.4903,49,0.2252,4,0.426,45
2019-01-02,0.5428,60,0.4291,45,0.2009,4,0.5773,73,0.5337,51,0.4945,49,0.2009,3,0.4248,44
2018-12-31,0.5348,59,0.4254,44,0.1689,2,0.4934,56,0.533,51,0.4945,49,0.2121,3,0.423,43
2018-12-27,0.5325,57,0.4341,46,0.2086,4,0.539,65,0.5464,54,0.4987,49,0.2086,3,0.2892,4
2018-12-26,0.5561,62,0.4428,49,0.2001,3,0.5438,66,0.5464,54,0.4988,49,0.2001,3,0.3833,26
2018-12-24,0.2648,18,0.3992,39,0.2448,9,0.5502,68,0.5421,53,0.4988,49,0.2448,6,0.3947,30
2018-12-21,0.2803,21,0.4038,40,0.2326,8,0.5571,69,0.5418,52,0.4993,49,0.2718,9,0.2932,5
2018-12-20,0.3826,38,0.3902,37,0.1844,2,0.5366,65,0.5427,53,0.4989,49,0.2263,4,0.2804,3
2018-12-19,0.3949,40,0.3883,37,0.2483,9,0.4166,31,0.5426,53,0.4992,49,0.2483,7,0.2673,3
2018-12-18,0.4604,50,0.4083,41,0.2027,4,0.5176,61,0.5445,53,0.4994,50,0.2027,3,0.4123,39
2018-12-17,0.4529,49,0.4306,46,0.2891,12,0.5386,65,0.5508,54,0.5025,50,0.2349,5,0.4052,35
2018-12-14,0.446,48,0.4207,44,0.2595,10,0.6899,84,0.5515,54,0.5021,50,0.2152,3,0.2595,2
2018-12-13,0.3997,41,0.3998,40,0.2249,7,0.4833,54,0.5477,54,0.5016,50,0.1785,2,0.2618,2
2018-12-12,0.4151,43,0.393,38,0.2869,12,0.6458,80,0.5505,54,0.5061,50,0.2183,4,0.2565,2
2018-12-11,0.3817,38,0.3854,36,0.3212,16,0.6741,82,0.5515,54,0.5057,50,0.2027,3,0.4126,39
2018-12-10,0.3918,39,0.3821,35,0.3546,20,0.6716,82,0.5516,55,0.5058,50,0.2131,3,0.2741,3
2018-12-07,0.3591,34,0.367,31,0.3844,27,0.9411,92,0.5512,54,0.5066,50,0.2051,3,0.2616,2
2018-12-06,0.3313,28,0.3276,23,0.3018,14,0.8698,89,0.5505,54,0.506,50,0.1753,1,0.2739,3
2018-12-04,0.3207,27,0.3077,19,0.2589,10,0.855,89,0.5534,55,0.5077,50,0.2301,4,0.2396,1
2018-12-03,0.2492,14,0.2819,14,0.1505,1,0.687,84,0.5535,55,0.5096,50,0.1532,1,0.2483,1
2018-11-30,0.2581,16,0.2836,14,0.1374,1,0.5505,68,0.5566,55,0.5119,51,0.1468,1,0.2515,1
2018-11-29,0.326,28,0.2949,17,0.1509,1,0.3716,19,0.5579,55,0.5127,51,0.1641,1,0.2514,1
2018-11-28,0.8382,80,0.387,36,0.147,1,0.5243,62,0.5606,56,0.5162,51,0.1755,1,0.3915,28
2018-11-27,0.8357,80,0.389,37,0.1216,1,0.5478,67,0.5844,61,0.5254,53,0.1875,2,0.3907,28
2018-11-26,0.8545,81,0.4354,47,0.1251,1,0.5727,72,0.5992,64,0.5346,55,0.1933,2,0.381,25
2018-11-23,0.8515,81,0.5067,57,0.1236,1,0.2921,7,0.5995,65,0.5356,56,0.2168,4,0.3733,23
2018-11-21,0.9294,83,0.6443,69,0.1397,1,0.3545,16,0.6084,67,0.5392,57,0.2137,3,0.3639,20
2018-11-20,0.9706,85,0.6546,71,0.1348,1,0.5172,61,0.6079,67,0.541,57,0.1554,1,0.3639,20
2018-11-19,0.9555,84,0.6469,70,0.2569,10,0.4322,36,0.6071,67,0.5415,59,0.1373,1,0.3668,21
2018-11-16,0.5816,64,0.6136,67,0.643,81,0.6621,81,0.5782,59,0.5385,57,0.4673,65,0.5319,61
2018-11-15,0.6467,70,0.6145,67,0.6973,84,0.6059,76,0.5773,59,0.5396,57,0.4949,72,0.5524,64
2018-11-14,0.5092,55,0.6623,71,0.6793,83,0.6588,81,0.5778,59,0.5433,59,0.4978,72,0.5476,63
2018-11-13,0.5405,59,0.6311,68,0.7192,85,0.8765,90,0.5794,60,0.5408,57,0.4612,63,0.5571,66
2018-11-12,0.5778,64,0.5345,61,0.7345,86,0.7517,87,0.5756,59,0.5324,55,0.5096,75,0.5289,61
2018-11-09,0.5543,61,0.5338,61,0.5894,75,0.5871,74,0.5748,59,0.532,54,0.45,57,0.5241,60
2018-11-08,0.5121,56,0.5754,64,0.6304,79,0.6007,76,0.5744,59,0.5335,55,0.4881,70,0.5555,65
2018-11-07,0.3305,28,0.6454,70,0.5957,76,0.5709,72,0.5717,57,0.5325,55,0.4471,56,0.5246,60
2018-11-06,0.3009,24,0.6479,70,0.6139,78,0.6128,77,0.5686,57,0.5322,55,0.4498,57,0.5193,60
2018-11-05,0.3474,31,0.6165,67,0.7042,85,0.7119,85,0.569,57,0.5285,53,0.4509,59,0.5306,61
2018-11-02,0.4211,44,0.6307,68,0.6627,82,0.6828,83,0.5681,57,0.5281,53,0.46,62,0.5171,60
2018-11-01,1.0066,86,0.8137,78,0.6883,84,0.6686,82,0.5648,56,0.5264,53,0.4904,71,0.5385,62
