date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-06-08,0.3729,65,0.3231,55,0.7394,90,0.496,71,0.4947,73,0.4635,75,0.7087,92,0.6917,86
2022-06-07,0.4462,74,0.3376,57,0.5773,79,0.4967,71,0.4945,73,0.4631,75,0.5458,79,0.6777,85
2022-06-06,0.5084,81,0.3794,67,0.7941,92,0.564,78,0.4931,73,0.4628,75,0.5477,79,0.5969,79
2022-06-03,0.6184,87,0.4365,76,0.628,84,0.6094,82,0.4943,73,0.4628,75,0.4998,70,0.5961,79
2022-06-02,0.6936,90,0.4592,78,0.5334,75,0.4865,70,0.4932,73,0.4633,75,0.6242,87,0.5439,76
2022-06-01,0.7193,91,0.4813,80,0.5805,80,0.5306,74,0.4925,73,0.4632,75,0.4426,67,0.6137,80
2022-05-31,0.7334,91,0.5087,83,0.5893,80,0.5776,80,0.4973,73,0.4641,75,0.5512,79,0.5524,77
2022-05-27,0.6741,90,0.5182,84,0.5243,73,0.5465,76,0.4964,73,0.466,75,0.5582,80,0.6267,80
2022-05-26,0.7347,91,0.5476,87,0.5713,79,0.5667,78,0.4944,73,0.4656,75,0.4926,69,0.4668,64
2022-05-25,0.7486,92,0.5356,86,0.5793,79,0.6727,87,0.4902,73,0.4644,75,0.5581,80,0.6024,79
2022-05-24,0.6609,89,0.5095,83,0.7692,91,0.6392,84,0.4817,72,0.463,75,0.5035,70,0.609,80
2022-05-23,0.5198,81,0.4885,81,0.5868,80,0.615,83,0.475,72,0.4607,75,0.4852,69,0.5856,78
2022-05-20,0.5815,85,0.542,87,0.7235,89,0.6037,82,0.4712,72,0.4594,75,0.6793,90,0.5898,79
2022-05-19,0.6221,87,0.5385,86,1.5442,99,0.5854,80,0.4708,72,0.457,75,0.5606,80,0.6108,80
2022-05-18,0.7476,92,0.616,92,0.6518,85,0.6321,84,0.4692,72,0.4558,75,0.5601,80,0.7723,91
2022-05-17,0.7585,92,0.6019,92,0.6016,82,0.5531,77,0.4668,72,0.4534,75,0.5004,70,0.5988,79
2022-05-16,0.6905,90,0.594,91,1.5684,99,0.6034,82,0.4633,72,0.4529,74,0.637,88,0.6245,80
2022-05-13,0.7113,90,0.6093,92,1.0264,97,0.5479,76,0.4625,72,0.4513,74,0.5314,76,0.6022,79
2022-05-12,0.6554,89,0.6176,92,0.903,95,1.1473,98,0.459,72,0.4508,74,0.6288,87,0.5432,76
2022-05-11,0.4289,73,0.5834,91,0.6468,85,0.6325,84,0.4485,72,0.4455,74,0.6403,88,0.622,80
2022-05-10,0.5412,83,0.5868,91,0.7836,92,0.7562,90,0.4476,72,0.444,74,0.5918,83,0.6545,82
2022-05-09,0.6007,86,0.5523,88,0.6286,84,0.8093,92,0.4452,72,0.4379,73,0.5995,84,0.6239,80
2022-05-06,0.653,89,0.6893,93,0.8494,94,0.9007,94,0.4426,72,0.437,73,0.5481,79,0.5699,78
2022-05-05,0.6415,88,0.6917,93,0.8027,92,0.6898,88,0.443,72,0.4359,73,0.5558,80,0.5522,77
2022-05-04,0.6688,90,0.6837,93,0.6782,87,0.5354,75,0.4404,71,0.434,72,0.5759,81,0.5336,74
2022-05-03,0.6569,89,0.6742,93,0.7249,89,0.7905,92,0.4412,71,0.433,72,0.5504,79,0.5813,78
2022-05-02,0.6275,88,0.6557,93,0.7851,92,0.7784,91,0.441,71,0.4311,72,0.604,84,0.5913,79
2022-04-29,0.4872,78,0.6325,92,0.9332,95,0.6943,88,0.437,71,0.4286,72,0.5617,80,0.6425,81
2022-04-28,0.4565,75,0.5752,90,0.7523,91,0.737,89,0.4281,68,0.4254,72,0.5435,78,0.5884,79
2022-04-27,0.409,70,0.3767,66,0.684,87,0.6865,87,0.4407,71,0.4195,71,0.5564,80,0.553,77
