date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2019-10-25,0.3779,53,0.3324,42,1.1014,98,0.9999,97,0.3629,36,0.3033,22,0.5142,64,0.4694,55
2019-10-24,0.3717,52,0.3104,35,0.601,75,1.0579,98,0.363,36,0.3021,22,0.446,52,0.4989,61
2019-10-23,0.2265,21,0.2557,19,0.4205,39,0.6842,83,0.3555,31,0.2986,20,0.4517,53,0.3628,23
2019-10-22,0.2088,17,0.2313,13,0.7068,86,1.1207,98,0.357,32,0.2979,20,0.4662,56,0.527,65
2019-10-21,0.2088,17,0.2382,14,0.479,54,1.0659,98,0.357,32,0.2977,20,0.4075,43,0.3906,37
2019-10-18,0.1858,13,0.2396,15,0.5372,65,1.0432,98,0.3563,32,0.2975,20,0.4207,46,0.3973,39
2019-10-17,0.1295,4,0.2318,13,1.0206,97,1.0239,97,0.3553,31,0.2968,20,0.4009,41,0.3704,28
2019-10-16,0.2515,27,0.2418,15,0.606,76,0.544,64,0.3548,31,0.2964,20,0.5312,66,0.469,55
2019-10-15,0.2515,27,0.2376,14,0.7221,87,1.0184,97,0.3548,31,0.2961,20,0.4085,43,0.4524,52
2019-10-14,0.2849,34,0.2457,16,0.4118,37,0.9903,97,0.3546,31,0.2959,20,0.4601,55,0.4719,56
2019-10-11,0.2894,35,0.2744,25,0.7576,90,0.9484,96,0.3546,31,0.2957,20,0.4555,54,0.4809,57
2019-10-10,0.2889,35,0.2618,21,0.7516,89,0.9235,95,0.356,32,0.2954,20,0.4865,61,0.4117,43
2019-10-09,0.289,35,0.2883,28,0.707,86,0.9195,95,0.356,32,0.2947,20,0.4968,62,0.3103,2
2019-10-08,0.2778,33,0.2876,28,0.8162,92,0.8716,94,0.3558,32,0.2948,20,0.4938,62,0.3906,37
2019-10-07,0.1974,15,0.2841,27,0.7277,88,0.8558,93,0.3528,30,0.2938,19,0.3327,8,0.3252,5
2019-10-04,0.1977,15,0.2854,28,0.4411,44,0.5096,59,0.3536,30,0.2944,19,0.4411,51,0.4728,56
2019-10-03,0.1024,2,0.2855,28,0.5992,75,0.5808,71,0.3522,28,0.2936,19,0.4629,56,0.4785,57
2019-10-02,0.0941,1,0.267,22,0.5176,61,0.5495,65,0.352,28,0.2917,18,0.5322,66,0.4866,59
2019-10-01,0.1889,13,0.295,31,0.6761,84,0.5424,64,0.352,28,0.2917,18,0.4597,55,0.4212,46
2019-09-30,0.2183,19,0.2634,21,0.6343,80,0.8424,93,0.352,28,0.2896,16,0.4388,50,0.4299,48
2019-09-27,0.2132,18,0.2632,21,0.6104,77,0.8109,91,0.353,30,0.2899,17,0.51,64,0.4191,45
2019-09-26,0.1976,15,0.2516,18,0.6679,83,1.1545,99,0.3526,30,0.2893,16,0.6101,83,0.4312,48
2019-09-25,0.2082,17,0.2668,22,0.6638,83,1.1305,99,0.3527,30,0.2891,16,0.5855,79,0.4192,45
2019-09-24,0.2303,22,0.2758,25,0.6694,83,1.0872,98,0.3543,31,0.2885,16,0.4287,48,0.4177,45
2019-09-23,0.275,32,0.2684,23,0.662,83,1.0071,97,0.3544,31,0.2884,15,0.6001,82,0.5904,78
2019-09-20,0.2503,26,0.2652,22,0.4188,39,0.9694,96,0.3525,30,0.2873,14,0.5857,79,0.5861,77
2019-09-19,0.3083,39,0.3122,36,0.5434,66,0.9838,97,0.3519,28,0.2872,14,0.568,74,0.6349,84
2019-09-18,0.3049,38,0.3336,43,0.5472,67,0.9376,96,0.3524,28,0.2872,14,0.5936,81,0.6022,81
2019-09-17,0.2956,36,0.339,44,0.6015,75,1.0127,97,0.3584,33,0.2892,16,0.6015,82,0.5614,70
2019-09-16,0.3488,47,0.3284,41,0.6744,84,0.998,97,0.3607,34,0.2896,16,0.5457,68,0.5934,79
2019-09-13,0.3476,47,0.3369,43,1.6063,100,0.6772,83,0.3593,34,0.2884,15,0.5471,69,0.5292,65
2019-09-12,0.2639,28,0.3347,43,0.5856,73,1.5074,100,0.3585,33,0.2879,15,0.5856,79,0.571,73
2019-09-11,0.296,36,0.3151,37,1.4554,100,0.8877,94,0.3575,33,0.2867,14,0.5893,80,0.6079,82
2019-09-10,0.3229,43,0.2859,28,0.8869,95,1.5882,100,0.3544,31,0.2854,13,0.5904,80,0.6209,83
2019-09-09,0.3411,46,0.2673,23,0.6885,85,0.852,93,0.3532,30,0.2839,11,0.5909,80,0.5912,78
2019-09-06,0.3096,39,0.2648,21,0.8837,95,1.3736,100,0.3506,28,0.2834,11,0.5998,82,0.4621,54
2019-09-05,0.3102,40,0.2761,25,0.8769,94,1.3414,100,0.3505,28,0.2834,11,0.6269,85,0.5834,76
2019-09-04,0.2999,37,0.2647,21,1.2942,100,0.775,89,0.3495,28,0.2815,10,0.6104,83,0.5836,76
2019-09-03,0.3811,54,0.3048,34,0.9205,96,0.9097,95,0.3484,27,0.2813,9,0.6045,82,0.5659,72
2019-08-30,0.3804,53,0.3108,35,1.1946,99,0.8875,94,0.3484,27,0.2815,10,0.5989,82,0.5626,71
2019-08-29,0.4389,61,0.3151,37,0.8567,94,1.1678,99,0.3472,26,0.2808,9,0.5865,79,0.5989,80
2019-08-28,0.3887,55,0.3104,35,1.1729,99,0.8484,93,0.3452,26,0.2803,9,0.6238,85,0.5333,66
2019-08-27,0.4035,57,0.3086,35,1.1652,99,0.8652,93,0.3451,26,0.2803,9,0.6128,83,0.55,68
2019-08-26,0.4503,63,0.3008,33,1.1597,99,0.7586,88,0.345,26,0.2795,9,0.5596,72,0.5583,70
2019-08-23,0.4447,62,0.2962,32,1.0846,98,0.7509,88,0.3449,26,0.2782,9,0.5429,68,0.5749,74
2019-08-22,0.3233,43,0.2811,26,0.7233,87,1.0455,98,0.3391,24,0.2765,8,0.5882,79,0.5492,68
2019-08-21,0.3237,43,0.2815,27,0.7014,86,0.9966,97,0.3394,24,0.2765,8,0.5479,69,0.5489,68
2019-08-20,0.2952,36,0.2607,20,0.7265,88,1.0065,97,0.3371,23,0.2762,8,0.6044,82,0.5261,64
2019-08-19,0.3367,45,0.2879,28,0.8161,92,0.9872,97,0.3357,23,0.2758,8,0.5059,63,0.5411,67
2019-08-16,0.3206,42,0.2929,30,0.673,84,0.9639,96,0.3358,23,0.2759,8,0.5843,78,0.5174,63
