date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2024-07-29,0.2269,,0.3539,,0.4368,,0.5061,,0.3878,,0.3523,,0.3534,,0.3986,
2024-07-26,0.1948,,0.2431,,0.416,,0.434,,0.3869,,0.3485,,0.3653,,0.4255,
2024-07-25,0.1624,,0.2187,,0.4047,,0.4381,,0.3858,,0.3475,,0.3464,,0.3962,
2024-07-24,0.0948,,0.1658,,0.4741,,0.4463,,0.3856,,0.3476,,0.3382,,0.3902,
2024-07-23,0.1462,,0.1664,,0.4206,,0.4656,,0.3876,,0.3489,,0.3625,,0.4078,
2024-07-22,0.1506,,0.1629,,0.468,,0.461,,0.3881,,0.3493,,0.3282,,0.4131,
2024-07-19,0.1502,,0.1696,,0.4645,,0.4543,,0.3882,,0.3496,,0.3496,,0.3924,
2024-07-18,0.1752,,0.1749,,0.5227,,0.4219,,0.3881,,0.3501,,0.3418,,0.3822,
2024-07-17,0.1867,,0.1709,,0.3518,,0.4142,,0.3877,,0.3504,,0.346,,0.3693,
2024-07-16,0.1821,,0.1556,,0.2295,,0.4006,,0.3875,,0.3506,,0.3109,,0.4006,
2024-07-15,0.2076,,0.1606,,0.5459,,1.7491,,0.3882,,0.351,,0.3032,,0.3872,
2024-07-12,0.2217,,0.1714,,0.3711,,1.1416,,0.3947,,0.3534,,0.3324,,0.3763,
2024-07-11,0.2314,,0.1745,,0.4838,,0.5731,,0.3948,,0.3547,,0.3278,,0.3782,
2024-07-10,0.24,,0.1658,,0.3365,,0.47,,0.3948,,0.356,,0.3232,,0.47,
2024-07-09,0.2092,,0.1629,,0.3987,,0.6079,,0.3943,,0.3563,,0.3523,,0.3904,
2024-07-08,0.199,,0.1649,,0.3681,,0.9805,,0.3944,,0.3577,,0.353,,0.4535,
2024-07-03,0.2055,,0.1608,,0.3872,,0.3884,,0.394,,0.3595,,0.2921,,0.3884,
2024-07-02,0.1816,,0.1542,,0.2864,,0.3903,,0.3965,,0.3626,,0.2856,,0.3903,
2024-07-01,0.1887,,0.165,,0.3014,,0.3666,,0.3968,,0.3638,,0.3357,,0.3666,
2024-06-28,0.1979,,0.167,,0.2722,,0.3847,,0.3974,,0.3662,,0.2722,,0.3847,
2024-06-27,0.2282,,0.1775,,0.3355,,0.3764,,0.3977,,0.3675,,0.3355,,0.3764,
2024-06-26,0.1984,,0.1729,,0.341,,0.7719,,0.3977,,0.3678,,0.341,,0.3855,
2024-06-25,0.182,,0.1602,,0.3298,,0.4071,,0.3979,,0.3683,,0.3298,,0.4071,
2024-06-24,0.1881,,0.1719,,0.3039,,0.4113,,0.3994,,0.3692,,0.3039,,0.4113,
2024-06-21,0.1909,,0.2045,,0.3993,,0.7542,,0.3994,,0.3693,,0.3391,,0.4792,
2024-06-20,0.1747,,0.2017,,0.3545,,0.4041,,0.3996,,0.3694,,0.3202,,0.3851,
2024-06-18,0.1751,,0.2184,,0.4401,,0.401,,0.4006,,0.3706,,0.3286,,0.3869,
2024-06-17,0.1277,,0.211,,0.3036,,0.4014,,0.3996,,0.3705,,0.303,,0.4089,
2024-06-14,0.1325,,0.2103,,0.6464,,0.3753,,0.3997,,0.3729,,0.2967,,0.3693,
2024-06-13,0.1327,,0.2205,,0.4195,,0.4178,,0.3997,,0.3743,,0.2941,,0.4041,
2024-06-12,0.1219,,0.2222,,0.3435,,0.5947,,0.4001,,0.3765,,0.3598,,0.4421,
2024-06-11,0.148,,0.2186,,0.3327,,0.4032,,0.4011,,0.3806,,0.3485,,0.4393,
