date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2012-06-05,0.2445,72,0.0,1,0.1617,36,0.2363,20,0.1861,33,0.0,1,0.1617,39,0.2493,17
2012-06-04,0.2513,73,0.0,1,0.1689,41,0.245,28,0.1864,33,0.0,1,0.1689,41,0.2689,41
2012-06-01,0.2557,74,0.0,1,0.1955,56,0.2418,25,0.1867,33,0.0,1,0.1622,39,0.2702,43
2012-05-31,0.2163,66,0.0,1,0.2004,60,0.2486,33,0.1841,32,0.0,1,0.1857,49,0.274,46
2012-05-30,0.2145,65,0.0,1,0.1906,53,0.237,20,0.1838,32,0.0,1,0.1906,53,0.2619,33
2012-05-29,0.1644,45,0.0,1,0.1868,51,0.2451,28,0.1865,33,0.0,1,0.1823,46,0.2792,50
2012-05-25,0.1945,57,0.0,1,0.1822,47,0.2345,18,0.1859,33,0.0,1,0.1822,46,0.2746,46
2012-05-24,0.1577,43,0.0,1,0.1881,51,0.2515,34,0.1881,34,0.0,1,0.1869,49,0.2858,57
2012-05-23,0.1381,31,0.0,1,0.1987,59,0.2489,33,0.1877,34,0.0,1,0.1959,56,0.2847,55
2012-05-22,0.1377,31,0.0,1,0.197,57,0.2511,34,0.1877,34,0.0,1,0.1918,53,0.2804,51
2012-05-21,0.1632,45,0.0,1,0.2069,63,0.2581,41,0.1879,34,0.0,1,0.1954,55,0.2904,63
2012-05-18,0.1672,46,0.0,1,0.2083,64,0.252,35,0.1904,35,0.0,1,0.2032,62,0.2873,59
2012-05-17,0.1714,49,0.0,1,0.2073,63,0.2611,44,0.1901,35,0.0,1,0.2066,64,0.2928,65
2012-05-16,0.1575,42,0.0,1,0.2008,60,0.2439,28,0.1884,34,0.0,1,0.2052,63,0.2901,62
2012-05-15,0.1562,42,0.0,1,0.1934,55,0.2385,22,0.1902,35,0.0,1,0.1934,54,0.2739,45
2012-05-14,0.1565,42,0.0,1,0.1916,54,0.2344,17,0.1902,35,0.0,1,0.1951,55,0.2921,65
2012-05-11,0.1561,42,0.0,1,0.1914,53,0.2319,15,0.1898,35,0.0,1,0.1972,57,0.2697,42
2012-05-10,0.1573,42,0.0,1,0.182,47,0.2386,22,0.1884,34,0.0,1,0.1849,48,0.2827,53
2012-05-09,0.1369,31,0.0,1,0.1936,55,0.231,14,0.1881,34,0.0,1,0.1996,59,0.2838,55
2012-05-08,0.1172,20,0.0,1,0.1833,48,0.2416,25,0.1898,35,0.0,1,0.1861,49,0.2756,47
2012-05-04,0.1195,22,0.0,1,0.1843,48,0.2361,19,0.19,35,0.0,1,0.1805,45,0.2632,35
2012-05-02,0.0919,11,0.0,1,0.1821,47,0.224,8,0.2072,46,0.0,1,0.1821,46,0.2848,56
2012-05-01,0.1287,26,0.0,1,0.1852,49,0.2225,7,0.2072,46,0.0,1,0.1852,48,0.2694,42
2012-04-30,0.128,26,0.0,1,0.1845,49,0.2266,10,0.2103,49,0.0,1,0.1845,47,0.2784,49
2012-04-27,0.1283,26,0.0,1,0.1779,44,0.2243,8,0.2126,50,0.0,1,0.1779,44,0.2686,41
2012-04-26,0.1285,26,0.0,1,0.1844,48,0.2254,9,0.2127,50,0.0,1,0.1748,42,0.2762,47
2012-04-25,0.1281,26,0.0,1,0.1872,51,0.2411,25,0.2155,51,0.0,1,0.1769,44,0.2765,48
2012-04-24,0.1229,24,0.0,1,0.1934,55,0.2314,14,0.2161,51,0.0,1,0.1743,42,0.2853,56
2012-04-23,0.106,16,0.0,1,0.1954,56,0.2416,25,0.217,51,0.0,1,0.1954,55,0.3654,93
2012-04-20,0.0517,1,0.0,1,0.1909,53,0.2383,22,0.2164,51,0.0,1,0.1873,50,0.2789,50
2012-04-19,0.0652,4,0.0,1,0.1913,53,0.2397,23,0.2199,52,0.0,1,0.182,46,0.2829,54
2012-04-18,0.1009,14,0.0,1,0.1907,53,0.2364,20,0.22,52,0.0,1,0.1916,53,0.2842,55
2012-04-17,0.1547,41,0.0,1,0.1921,54,0.2344,17,0.2228,53,0.0,1,0.1902,52,0.2787,49
2012-04-16,0.1536,40,0.0,1,0.2033,61,0.2461,30,0.2235,53,0.0,1,0.1999,59,0.2777,49
2012-04-13,0.1594,43,0.0,1,0.2014,60,0.2395,23,0.2253,54,0.0,1,0.2002,59,0.2858,57
2012-04-12,0.1412,33,0.0,1,0.1978,57,0.2421,26,0.2258,54,0.0,1,0.1978,57,0.2985,71
2012-04-11,0.1678,47,0.0,1,0.202,60,0.2437,27,0.226,55,0.0,1,0.202,61,0.2747,46
2012-04-10,0.1509,38,0.0,1,0.2,59,0.2451,28,0.2268,55,0.0,1,0.203,62,0.2844,55
2012-04-09,0.1459,35,0.0,1,0.1933,55,0.2324,15,0.231,57,0.0,1,0.1933,54,0.2896,62
2012-04-05,0.1188,21,0.0,1,0.193,54,0.2296,12,0.2304,56,0.0,1,0.193,54,0.2824,53
2012-04-04,0.117,20,0.0,1,0.1909,53,0.2287,11,0.2303,56,0.0,1,0.1932,54,0.2939,67
2012-04-03,0.1046,15,0.0,1,0.1887,52,0.2347,18,0.2309,57,0.0,1,0.1832,47,0.2743,46
2012-04-02,0.1186,21,0.0,1,0.1856,50,0.2292,12,0.2308,57,0.0,1,0.1749,42,0.2919,65
2012-03-30,0.1006,14,0.0,1,0.1932,55,0.2297,12,0.2308,57,0.0,1,0.1884,51,0.271,43
2012-03-29,0.1174,21,0.0,1,0.1889,52,0.2343,17,0.2336,57,0.0,1,0.1889,51,0.2796,51
2012-03-28,0.1216,23,0.0,1,0.189,52,0.239,22,0.2379,60,0.0,1,0.189,51,0.2602,30
2012-03-27,0.1134,19,0.0,1,0.1913,53,0.2242,8,0.2379,60,0.0,1,0.1922,54,0.2672,40
2012-03-26,0.1167,20,0.0,1,0.1907,53,0.2312,14,0.2418,63,0.0,1,0.1907,53,0.2637,36
2012-03-23,0.1233,24,0.0,1,0.1896,53,0.2286,11,0.2419,63,0.0,1,0.1896,52,0.2561,24
2012-03-22,0.121,22,0.0,1,0.1898,53,0.2312,14,0.2442,65,0.0,1,0.1904,52,0.2592,28
2012-03-21,0.12,22,0.0,1,0.1882,52,0.2307,13,0.2443,65,0.0,1,0.1895,52,0.2518,20
2012-03-20,0.1229,24,0.0,1,0.1858,50,0.2349,18,0.2452,66,0.0,1,0.1849,48,0.2792,50
2012-03-19,0.1613,44,0.0,1,0.1895,52,0.2364,20,0.2472,66,0.0,1,0.1867,49,0.2618,33
2012-03-16,0.2032,62,0.0,1,0.1941,55,0.2381,21,0.2477,67,0.0,1,0.1941,55,0.2618,33
2012-03-15,0.2554,74,0.0,1,0.2019,60,0.2346,18,0.249,68,0.0,1,0.2019,61,0.2694,42
2012-03-14,0.2956,82,0.0,1,0.1959,57,0.2401,23,0.2487,67,0.0,1,0.1959,56,0.2734,45
2012-03-13,0.3412,87,0.0,1,0.1955,56,0.2335,16,0.2485,67,0.0,1,0.1982,57,0.2769,48
2012-03-12,0.5435,96,0.0,1,0.1981,57,0.2389,22,0.2484,67,0.0,1,0.1981,57,0.2802,51
2012-03-09,0.5374,96,0.0,1,0.2032,61,0.2416,25,0.2482,67,0.0,1,0.2022,61,0.2957,68
2012-03-08,0.5114,96,0.0,1,0.2059,62,0.2378,21,0.247,66,0.0,1,0.2061,64,0.2857,57
2012-03-07,0.5126,96,0.0,1,0.2036,61,0.2454,30,0.249,68,0.0,1,0.2017,60,0.314,84
2012-03-06,0.498,95,0.0,1,0.2174,69,0.2528,35,0.2465,66,0.0,1,0.2103,66,0.2895,62
2012-03-05,0.4673,94,0.0,1,0.2095,64,0.2313,14,0.2447,65,0.0,1,0.2057,64,0.2892,61
2012-03-02,0.4044,92,0.0,1,0.2016,60,0.2465,30,0.2411,62,0.0,1,0.1864,49,0.2567,25
2012-03-01,0.0655,4,0.0,1,0.2157,68,0.2497,33,0.2231,53,0.0,1,0.2157,71,0.295,68
2012-02-29,0.0768,7,0.0,1,0.2118,65,0.2366,20,0.2234,53,0.0,1,0.2118,67,0.2804,51
2012-02-03,0.2725,78,0.0,1,0.1892,52,0.2537,36,0.2589,71,0.0,1,0.2074,65,0.3572,93
2012-02-01,0.1034,15,0.0,1,0.2078,63,0.2478,32,0.2752,73,0.0,1,0.204,63,0.256,24
2012-01-31,0.0968,13,0.0,1,0.1957,56,0.2594,42,0.281,74,0.0,1,0.1874,50,0.2667,39
2012-01-30,0.0847,9,0.0,1,0.2257,74,0.2689,53,0.2808,74,0.0,1,0.2068,65,0.2737,45
2012-01-27,0.1059,16,0.0,1,0.2042,62,0.253,35,0.2808,74,0.0,1,0.2036,62,0.2659,38
2012-01-26,0.1356,30,0.0,1,0.2023,61,0.2554,38,0.2807,74,0.0,1,0.177,44,0.2637,36
2012-01-25,0.1391,32,0.0,1,0.193,54,0.2595,42,0.2809,74,0.0,1,0.1987,57,0.272,44
2012-01-24,0.1352,30,0.0,1,0.2022,60,0.2574,39,0.281,74,0.0,1,0.2014,60,0.2739,45
2012-01-23,0.1221,23,0.0,1,0.1992,59,0.2619,46,0.281,74,0.0,1,0.2021,61,0.2693,42
2012-01-20,0.1198,22,0.0,1,0.204,62,0.2581,41,0.2811,74,0.0,1,0.204,63,0.2793,50
2012-01-19,0.0976,13,0.0,1,0.1953,56,0.2649,50,0.281,74,0.0,1,0.1953,55,0.2733,44
2012-01-18,0.0937,12,0.0,1,0.1901,53,0.2679,52,0.2808,74,0.0,1,0.1901,52,0.2758,47
2012-01-17,0.0482,1,0.0,1,0.222,72,0.2672,52,0.281,74,0.0,1,0.1981,57,0.2953,68
2012-01-13,0.0386,1,0.0,1,0.2051,62,0.2544,36,0.2813,74,0.0,1,0.2051,63,0.2777,49
2012-01-12,0.0405,1,0.0,1,0.2153,67,0.2716,55,0.2817,74,0.0,1,0.1774,44,0.3092,81
2012-01-11,0.063,3,0.0,1,0.2161,68,0.2674,52,0.2819,74,0.0,1,0.1957,56,0.275,47
2012-01-10,0.0612,3,0.0,1,0.2242,73,0.273,56,0.2818,74,0.0,1,0.2071,65,0.3068,79
2012-01-09,0.0679,4,0.0,1,0.2188,70,0.2735,56,0.2819,74,0.0,1,0.1835,47,0.2735,45
2012-01-06,0.0677,4,0.0,1,0.2156,68,0.2812,60,0.2819,74,0.0,1,0.2048,63,0.2812,52
2012-01-05,0.069,5,0.0,1,0.2036,61,0.2846,63,0.282,75,0.0,1,0.2036,62,0.2846,55
2012-01-04,0.0691,5,0.0,1,0.2065,63,0.2933,73,0.2822,75,0.0,1,0.2065,64,0.2933,66
2012-01-03,0.0707,5,0.0,1,0.2147,67,0.2625,47,0.2821,75,0.0,1,0.2147,70,0.2625,34
2011-12-30,0.0491,1,0.0,1,0.213,66,0.2766,57,0.2826,75,0.0,1,0.2202,74,0.2766,48
2011-12-29,0.1024,15,0.0,1,0.1998,59,0.2549,37,0.2828,75,0.0,1,0.1661,40,0.2891,61
2011-12-28,0.1121,19,0.0,1,0.2027,61,0.2857,64,0.2828,75,0.0,1,0.19,52,0.2857,57
2011-12-23,0.1122,19,0.0,1,0.2023,61,0.2993,78,0.2839,75,0.0,1,0.2023,61,0.2993,72
2011-12-22,0.1128,19,0.0,1,0.2076,63,0.2655,50,0.2839,75,0.0,1,0.2136,69,0.2933,66
2011-12-21,0.1488,37,0.0,1,0.2117,65,0.2578,40,0.2838,75,0.0,1,0.2182,73,0.2944,68
2011-12-20,0.1805,53,0.0,1,0.2176,69,0.2767,57,0.2843,75,0.0,1,0.2103,66,0.3049,77
2011-12-19,0.1482,37,0.0,1,0.2334,79,0.2706,55,0.2836,75,0.0,1,0.2334,83,0.2972,70
2011-12-16,0.1721,49,0.0,1,0.2399,82,0.2661,51,0.2836,75,0.0,1,0.221,75,0.2854,56
2011-12-15,0.1718,49,0.0,1,0.2426,83,0.2733,56,0.2841,75,0.0,1,0.2426,87,0.3005,73
2011-12-14,0.1813,53,0.0,1,0.2595,90,0.2825,61,0.284,75,0.0,1,0.2595,91,0.3011,74
2011-12-13,0.1802,52,0.0,1,0.2534,87,0.2753,57,0.2843,75,0.0,1,0.2378,85,0.2896,62
2011-12-12,0.1725,49,0.0,1,0.2355,80,0.2838,62,0.2838,75,0.0,1,0.2563,90,0.3006,73
2011-12-09,0.1557,41,0.0,1,0.2322,78,0.2799,59,0.2835,75,0.0,1,0.3164,96,0.2966,69
2011-12-08,0.2449,72,0.0,1,0.2511,87,0.2759,57,0.2844,75,0.0,1,0.3254,96,0.2887,61
2011-12-07,0.2087,63,0.0,1,0.2524,87,0.2806,60,0.2853,76,0.0,1,0.2425,86,0.3439,92
2011-12-06,0.2383,70,0.0,1,0.2463,85,0.2723,56,0.2855,76,0.0,1,0.2223,76,0.2957,68
2011-12-05,0.2428,71,0.0,1,0.2483,86,0.2804,60,0.2863,76,0.0,1,0.3602,96,0.294,67
2011-12-02,0.2489,73,0.0,1,0.2463,85,0.256,38,0.2865,77,0.0,1,0.2238,77,0.2835,55
2011-12-01,0.2283,69,0.0,1,0.211,65,0.2621,46,0.2864,76,0.0,1,0.211,67,0.2982,71
2011-11-30,0.2984,83,0.0,1,0.2276,75,0.2864,65,0.2863,76,0.0,1,0.2119,68,0.3084,80
2011-11-29,0.2415,71,0.0,1,0.2447,84,0.2809,60,0.2827,75,0.0,1,0.2153,71,0.3133,83
2011-11-28,0.2377,70,0.0,1,0.2357,80,0.302,80,0.283,75,0.0,1,0.2357,84,0.3237,89
2011-11-25,0.1652,46,0.0,1,0.2568,89,0.3122,87,0.2811,74,0.0,1,0.1805,45,0.3692,94
2011-11-23,0.1557,41,0.0,1,0.2645,91,0.3147,88,0.2818,74,0.0,1,0.2504,88,0.3083,80
2011-11-22,0.1556,41,0.0,1,0.2594,90,0.3195,90,0.2817,74,0.0,1,0.2445,87,0.311,82
2011-11-21,0.186,55,0.0,1,0.2592,89,0.3134,87,0.2814,74,0.0,1,0.2539,90,0.3016,74
2011-11-18,0.1595,43,0.0,1,0.2246,73,0.3007,79,0.2799,74,0.0,1,0.2456,87,0.3,73
2011-11-17,0.1992,60,0.0,1,0.2198,71,0.3097,85,0.28,74,0.0,1,0.2455,87,0.3016,74
2011-11-16,0.2143,65,0.0,1,0.2255,74,0.3034,81,0.2801,74,0.0,1,0.2979,95,0.2972,70
2011-11-15,0.1908,57,0.0,1,0.2578,89,0.3073,83,0.2791,73,0.0,1,0.2901,95,0.2978,71
2011-11-14,0.1971,59,0.0,1,0.2471,85,0.3137,87,0.279,73,0.0,1,0.2917,95,0.3084,80
2011-11-11,0.4072,92,0.0,1,0.2464,85,0.2961,75,0.279,73,0.0,1,0.2508,89,0.3027,75
2011-11-10,0.4062,92,0.0,1,0.2166,69,0.3096,85,0.2784,73,0.0,1,0.301,95,0.299,72
2011-11-09,0.45,94,0.0,1,0.2217,72,0.3036,81,0.2784,73,0.0,1,0.3085,96,0.3079,80
2011-11-08,0.4476,94,0.0,1,0.2418,83,0.303,80,0.2767,73,0.0,1,0.2825,95,0.2906,63
2011-11-07,0.4468,94,0.0,1,0.2057,62,0.3069,83,0.2776,73,0.0,1,0.2215,75,0.2731,44
2011-11-04,0.4665,94,0.0,1,0.1968,57,0.3074,83,0.2775,73,0.0,1,0.2289,80,0.3267,91
2011-11-03,0.452,94,0.0,1,0.2461,85,0.2951,74,0.2772,73,0.0,1,0.2825,95,0.3393,92
2011-11-02,0.3122,85,0.0,1,0.2631,91,0.3172,89,0.2634,71,0.0,1,0.2631,92,0.3146,84
2011-11-01,0.3,83,0.0,1,0.2146,67,0.3107,86,0.2635,71,0.0,1,0.2146,70,0.3677,93
2011-10-31,0.3161,85,0.0,1,0.2577,89,0.289,68,0.2615,71,0.0,1,0.2296,81,0.3099,82
2011-10-26,0.2974,83,0.0,1,0.2578,89,0.3058,82,0.2574,71,0.0,1,0.2578,91,0.3233,89
2011-10-25,0.302,83,0.0,1,0.2248,73,0.3058,82,0.2566,71,0.0,1,0.2248,78,0.2962,69
2011-10-24,0.3014,83,0.0,1,0.2572,89,0.3074,83,0.2556,70,0.0,1,0.2572,91,0.32,88
2011-10-21,0.2998,83,0.0,1,0.2512,87,0.3167,88,0.2556,70,0.0,1,0.2512,89,0.3345,92
2011-10-20,0.2608,75,0.0,1,0.2321,78,0.324,91,0.2533,70,0.0,1,0.2321,82,0.3127,83
2011-10-19,0.3309,86,0.0,1,0.2507,86,0.3126,87,0.2547,70,0.0,1,0.2507,89,0.3035,76
2011-10-18,0.2701,78,0.0,1,0.2607,90,0.3084,84,0.2529,69,0.0,1,0.2607,91,0.3271,91
2011-10-17,0.2781,80,0.0,1,0.2675,91,0.3092,85,0.252,69,0.0,1,0.2425,86,0.3127,83
2011-10-14,0.2116,64,0.0,1,0.2464,85,0.3101,86,0.2514,69,0.0,1,0.2464,87,0.3132,83
2011-10-13,0.2241,67,0.0,1,0.2561,88,0.2985,77,0.2514,69,0.0,1,0.2561,90,0.3183,87
2011-10-12,0.1928,57,0.0,1,0.2618,90,0.3006,79,0.2516,69,0.0,1,0.2618,92,0.3201,88
2011-10-11,0.2883,81,0.0,1,0.2195,70,0.3342,93,0.2506,68,0.0,1,0.2195,74,0.3418,92
2011-10-10,0.2987,83,0.0,1,0.2801,93,0.3348,93,0.2456,66,0.0,1,0.2419,86,0.3315,92
