date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2004-08-06,0.6739,,0.0,,0.4084,,0.4048,,0.4307,,0.0,,0.4084,,0.4048,
2004-07-30,0.4299,,0.0,,0.4099,,0.4124,,0.4202,,0.0,,0.4099,,0.4124,
2004-07-28,0.3405,,0.0,,0.4199,,0.412,,0.4166,,0.0,,0.4199,,0.412,
2004-06-10,0.4825,,0.0,,0.3697,,0.3549,,0.4297,,0.0,,0.3697,,0.3549,
2004-06-08,0.4597,,0.0,,0.348,,0.3723,,0.4315,,0.0,,0.348,,0.3723,
2004-05-24,0.2105,,0.0,,0.384,,0.3631,,0.428,,0.0,,0.3652,,0.3631,
2004-05-20,0.4034,,0.0,,0.3641,,0.368,,0.4279,,0.0,,0.3641,,0.368,
2004-05-19,0.4466,,0.0,,0.3606,,0.3822,,0.4272,,0.0,,0.3606,,0.3822,
2004-05-18,0.5578,,0.0,,0.3815,,0.3847,,0.4265,,0.0,,0.3815,,0.3847,
2004-05-14,0.7868,,0.0,,0.3876,,0.3697,,0.4261,,0.0,,0.3876,,0.3697,
2004-05-13,0.7845,,0.0,,0.375,,0.4197,,0.4267,,0.0,,0.375,,0.3882,
2004-05-12,0.7047,,0.0,,0.3929,,0.4183,,0.4243,,0.0,,0.3929,,0.389,
2004-05-11,0.741,,0.0,,0.3709,,0.389,,0.426,,0.0,,0.3709,,0.389,
2004-05-10,0.6497,,0.0,,0.3913,,0.4237,,0.4223,,0.0,,0.3913,,0.3942,
2004-04-28,0.3502,,0.0,,0.3662,,0.3519,,0.402,,0.0,,0.3662,,0.3519,
2004-04-27,0.269,,0.0,,0.3456,,0.3603,,0.3981,,0.0,,0.3456,,0.3603,
2004-04-26,0.3036,,0.0,,0.3497,,0.3548,,0.3977,,0.0,,0.3497,,0.3548,
2004-04-23,0.2679,,0.0,,0.3503,,0.355,,0.3976,,0.0,,0.3503,,0.355,
2004-04-22,0.2697,,0.0,,0.3578,,0.3414,,0.3979,,0.0,,0.3578,,0.3414,
2004-04-21,0.4197,,0.0,,0.3404,,0.3724,,0.3969,,0.0,,0.3404,,0.3724,
2004-04-20,0.4304,,0.0,,0.3865,,0.3532,,0.3979,,0.0,,0.3865,,0.3532,
2004-04-19,0.4456,,0.0,,0.3409,,0.3888,,0.397,,0.0,,0.3409,,0.3888,
2004-04-16,0.4485,,0.0,,0.3914,,0.3527,,0.3978,,0.0,,0.3798,,0.3527,
2004-04-15,0.41,,0.0,,0.391,,0.3501,,0.3977,,0.0,,0.391,,0.3501,
2004-04-14,0.415,,0.0,,0.391,,0.3525,,0.3979,,0.0,,0.391,,0.3525,
2004-04-13,0.424,,0.0,,0.3626,,0.3744,,0.3992,,0.0,,0.3626,,0.366,
2004-04-12,0.3054,,0.0,,0.3609,,0.3739,,0.3939,,0.0,,0.3575,,0.3739,
2004-04-08,0.3307,,0.0,,0.3707,,0.3663,,0.3935,,0.0,,0.3707,,0.3663,
2004-04-07,0.31,,0.0,,0.3572,,0.3722,,0.3934,,0.0,,0.3542,,0.3722,
2004-04-06,0.3562,,0.0,,0.3601,,0.3689,,0.3963,,0.0,,0.3654,,0.3689,
2004-04-05,0.3471,,0.0,,0.3598,,0.3772,,0.3969,,0.0,,0.36,,0.3772,
2004-04-02,0.3491,,0.0,,0.3536,,0.3731,,0.3968,,0.0,,0.3538,,0.3731,
2004-04-01,0.4185,,0.0,,0.3812,,0.359,,0.3957,,0.0,,0.3812,,0.359,
2004-03-31,0.4176,,0.0,,0.3788,,0.362,,0.3944,,0.0,,0.3788,,0.3569,
2004-03-30,0.5236,,0.0,,0.3605,,0.3825,,0.3937,,0.0,,0.3605,,0.372,
2004-03-29,0.4924,,0.0,,0.3493,,0.36,,0.394,,0.0,,0.3493,,0.3452,
2004-03-24,0.6854,,0.0,,0.3594,,0.354,,0.3966,,0.0,,0.3477,,0.354,
2004-03-22,0.7319,,0.0,,0.3598,,0.357,,0.3937,,0.0,,0.3495,,0.357,
2004-03-19,0.6642,,0.0,,0.3202,,0.3943,,0.3919,,0.0,,0.3202,,0.3713,
2004-03-18,0.6883,,0.0,,0.3576,,0.3574,,0.3923,,0.0,,0.3576,,0.3433,
2004-03-17,0.6738,,0.0,,0.3154,,0.3327,,0.3919,,0.0,,0.3154,,0.3275,
2004-03-09,0.2238,,0.0,,0.321,,0.326,,0.3711,,0.0,,0.321,,0.3281,
2004-03-08,0.2395,,0.0,,0.327,,0.3146,,0.3723,,0.0,,0.327,,0.3138,
2004-03-05,0.1882,,0.0,,0.3207,,0.3171,,0.3712,,0.0,,0.3207,,0.3171,
2004-03-04,0.2337,,0.0,,0.3161,,0.325,,0.3712,,0.0,,0.3161,,0.3229,
2004-03-03,0.3573,,0.0,,0.3247,,0.3205,,0.3737,,0.0,,0.3247,,0.3252,
2004-03-02,0.536,,0.0,,0.3239,,0.3162,,0.3793,,0.0,,0.3239,,0.3223,
2004-03-01,0.5404,,0.0,,0.3055,,0.3319,,0.3784,,0.0,,0.3055,,0.3288,
2004-02-27,0.5302,,0.0,,0.3127,,0.3352,,0.3815,,0.0,,0.3127,,0.3266,
2004-02-26,0.5217,,0.0,,0.3262,,0.3162,,0.3812,,0.0,,0.3262,,0.318,
2004-02-25,0.6144,,0.0,,0.3123,,0.3289,,0.3812,,0.0,,0.3123,,0.3275,
