date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2021-06-15,0.8112,,0.7384,,1.0106,,1.1407,,0.8166,,0.952,,0.756,,0.8569,
2021-06-14,0.8411,,0.7469,,1.0539,,1.1416,,0.817,,0.9526,,0.755,,0.8513,
2021-06-11,0.7833,,0.7131,,1.0121,,1.1559,,0.8199,,0.9545,,0.7412,,0.8374,
2021-06-10,0.5416,,0.6057,,1.0605,,1.118,,0.8193,,0.9536,,0.7124,,0.8105,
2021-06-09,0.5881,,0.6105,,1.1182,,1.0103,,0.9346,,0.9623,,0.7421,,0.7749,
2021-06-08,0.4191,,0.5453,,1.0357,,1.031,,0.9312,,0.9582,,0.7034,,0.7801,
2021-06-07,0.4147,,0.5702,,0.9672,,1.0119,,0.9315,,0.9576,,0.7244,,0.7758,
2021-06-04,0.3712,,0.5684,,0.8312,,0.8823,,0.9299,,0.9561,,0.6405,,0.7458,
2021-06-03,0.249,,0.6382,,0.7696,,0.7908,,0.9277,,0.9553,,0.6849,,0.7163,
2021-06-02,0.2459,,0.6491,,0.8357,,0.7066,,0.9275,,0.9547,,0.6711,,0.7243,
2021-06-01,0.2529,,0.6649,,0.8681,,0.7153,,0.9276,,0.9538,,0.6588,,0.7376,
2021-05-28,0.1265,,0.6455,,0.8627,,0.6745,,0.9267,,0.9522,,0.6513,,0.7174,
2021-05-27,0.1484,,0.6252,,0.7429,,0.6291,,0.9265,,0.9505,,0.6272,,0.705,
2021-05-26,0.1664,,0.6029,,0.7388,,0.6646,,0.9264,,0.9488,,0.6163,,0.7072,
2021-05-25,0.1653,,0.5792,,0.5668,,0.6969,,0.9263,,0.9473,,0.64,,0.7297,
2021-05-24,0.3198,,0.542,,0.6308,,0.737,,0.9263,,0.9438,,0.6256,,0.7592,
2021-05-21,0.4288,,0.6887,,0.7845,,0.7832,,0.9261,,0.9427,,0.6376,,0.7484,
2021-05-20,0.6526,,0.7108,,0.7074,,0.7691,,0.9261,,0.941,,0.6143,,0.7303,
2021-05-19,0.6913,,0.8017,,0.6137,,0.7408,,0.926,,0.9401,,0.6858,,0.7785,
2021-05-18,0.7541,,0.8058,,0.7828,,0.7621,,0.9255,,0.9389,,0.7622,,0.7977,
2021-05-17,0.7542,,0.7967,,0.7318,,0.8239,,0.9255,,0.938,,0.7441,,0.8294,
2021-05-14,0.821,,0.936,,0.6701,,0.8133,,0.9255,,0.9374,,0.7109,,0.8248,
2021-05-13,0.6446,,0.9003,,0.7376,,0.8963,,0.9226,,0.935,,0.7281,,0.8311,
2021-05-12,0.6526,,0.807,,0.9873,,0.8839,,0.9212,,0.9284,,0.7634,,0.8119,
2021-05-11,0.5809,,0.7639,,0.833,,0.8776,,0.9147,,0.9258,,0.7243,,0.8277,
2021-05-10,0.5098,,0.6627,,0.8994,,0.8998,,0.9135,,0.9206,,0.7797,,0.8349,
2021-05-07,0.4507,,0.6662,,0.7984,,0.8531,,0.909,,0.9192,,0.7296,,0.8338,
2021-05-06,0.5126,,0.6851,,0.806,,0.8788,,0.909,,0.9188,,0.7639,,0.8469,
2021-05-05,0.361,,0.4811,,0.8321,,0.9024,,0.9028,,0.9107,,0.7829,,0.8649,
2021-05-04,0.6115,,0.562,,0.8663,,0.8971,,0.9026,,0.9103,,0.8013,,0.8698,
2021-05-03,0.6021,,0.5408,,0.8611,,0.8841,,0.9023,,0.9086,,0.7708,,0.8865,
2021-04-30,0.6406,,0.5604,,0.8325,,0.8772,,0.9023,,0.908,,0.7543,,0.8668,
2021-04-29,0.6401,,0.6438,,0.8422,,0.8541,,0.9024,,0.9073,,0.7835,,0.9009,
2021-04-28,0.5781,,0.7859,,0.8644,,0.8663,,0.9004,,0.9057,,0.8018,,0.927,
2021-04-27,0.8193,,0.871,,0.8353,,0.9056,,0.9,,0.9046,,0.8085,,0.9094,
2021-04-26,0.8128,,0.8856,,0.8225,,0.8983,,0.8985,,0.9038,,0.8059,,0.8886,
2021-04-23,0.6839,,0.8859,,0.8001,,0.9128,,0.8927,,0.9007,,0.7995,,0.9451,
2021-04-22,0.6665,,0.8899,,0.8657,,0.8984,,0.8925,,0.8997,,0.8152,,0.9283,
2021-04-21,0.7445,,0.9237,,0.7915,,0.8838,,0.8914,,0.8985,,0.8046,,0.9395,
2021-04-20,0.7589,,0.8805,,0.8206,,1.0062,,0.8914,,0.8946,,0.7998,,0.9516,
2021-04-19,0.7337,,0.7272,,0.8827,,0.8582,,0.8914,,0.8865,,0.8122,,0.8593,
2021-04-16,0.5557,,0.604,,0.8708,,0.914,,0.8807,,0.8808,,0.8589,,0.9486,
2021-04-15,0.5298,,0.596,,0.8604,,0.933,,0.8805,,0.8792,,0.8653,,0.9441,
2021-04-14,0.4488,,0.5495,,0.8981,,1.0455,,0.8754,,0.8759,,0.8772,,0.9276,
2021-04-13,0.4369,,0.6494,,0.729,,1.0086,,0.8754,,0.8747,,0.8809,,0.9669,
2021-04-12,0.7398,,0.6614,,0.8712,,0.936,,0.8744,,0.8714,,0.8768,,0.9596,
2021-04-09,0.6931,,0.6833,,0.8682,,0.8465,,0.8722,,0.8699,,0.8942,,0.945,
2021-04-08,0.6779,,0.7274,,0.8265,,0.9309,,0.8718,,0.8697,,0.9007,,0.9638,
2021-04-07,0.7887,,0.8235,,0.8662,,0.9092,,0.8717,,0.8692,,0.8867,,0.9565,
2021-04-06,0.9006,,0.927,,0.8792,,0.9682,,0.8715,,0.8678,,0.9126,,0.9784,
2021-04-05,1.0979,,1.2377,,0.9038,,1.0156,,0.8691,,0.8662,,0.9161,,1.0081,
2021-04-01,1.1674,,1.2044,,0.8943,,1.0765,,0.8687,,0.8611,,0.9296,,0.9958,
2021-03-31,0.9967,,1.1749,,0.9285,,0.9191,,0.859,,0.8573,,0.9424,,0.9914,
2021-03-30,1.057,,1.1586,,0.8689,,0.9872,,0.8589,,0.8548,,0.9409,,1.0051,
2021-03-29,1.0611,,1.1581,,0.9559,,1.0563,,0.8589,,0.8525,,0.9994,,1.1882,
2021-03-26,1.0304,,1.2468,,0.9132,,0.9962,,0.854,,0.847,,0.9513,,1.0478,
2021-03-25,0.944,,1.2906,,0.9853,,1.0116,,0.8467,,0.8396,,0.9991,,1.0425,
2021-03-24,0.5694,,1.0599,,0.9961,,0.8783,,0.8347,,0.8149,,0.9772,,1.0264,
2021-03-23,0.7525,,1.1034,,0.8962,,1.0503,,0.8299,,0.8124,,0.9865,,1.0638,
2021-03-22,0.6935,,1.1718,,0.8883,,0.9243,,0.8265,,0.8107,,1.0152,,1.1101,
2021-03-19,0.7919,,1.1721,,1.0716,,1.0639,,0.8244,,0.8094,,1.015,,1.0517,
2021-03-18,0.7707,,1.1908,,0.7967,,1.1425,,0.8223,,0.8071,,1.017,,1.0589,
2021-03-17,0.8589,,1.1284,,0.9972,,0.9783,,0.8203,,0.7937,,1.0085,,1.0317,
2021-03-16,0.9237,,0.9896,,0.9947,,1.1928,,0.8203,,0.7817,,1.0335,,1.2029,
2021-03-15,0.9537,,1.0636,,1.0349,,1.3707,,0.8182,,0.7752,,1.0504,,1.1987,
2021-03-12,0.9111,,1.2218,,0.959,,1.0319,,0.8125,,0.769,,1.1219,,1.1497,
