date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-05-25,0.4066,74,0.5456,85,0.7442,71,0.8045,75,0.3969,67,0.4165,68,0.7442,82,0.8045,81
2022-05-16,0.7505,95,0.5735,88,0.524,48,1.2468,93,0.3913,66,0.403,67,0.6463,77,5.2244,100
2022-05-13,0.742,95,0.5956,89,1.4537,97,1.268,93,0.3919,66,0.4037,67,0.5585,70,1.0331,92
2022-05-12,0.3958,73,0.3794,68,1.0716,88,1.4116,95,0.3679,63,0.3914,65,1.0716,99,0.7708,79
2022-05-11,0.3092,60,0.3798,69,0.5045,44,1.0192,86,0.3687,63,0.393,65,0.5045,60,1.1943,96
2022-05-10,0.1954,38,0.3679,67,0.8478,76,1.0522,88,0.3661,62,0.3931,65,0.8478,89,1.0522,93
2022-05-09,0.2254,45,0.3982,71,0.5331,50,0.9319,82,0.3666,62,0.3933,65,0.5331,65,0.9319,88
2022-05-06,0.286,56,0.4241,74,0.6904,67,0.9073,81,0.3682,63,0.3929,65,0.6904,80,0.9073,87
2022-05-04,0.3066,59,0.3212,57,1.1252,90,1.0917,89,0.3673,63,0.3885,65,1.1252,99,0.9095,87
2022-05-03,0.3167,61,0.351,64,0.7342,70,0.8266,76,0.3683,63,0.3886,65,0.7342,82,0.873,85
2022-05-02,0.3736,70,0.3933,70,0.5656,53,0.8635,78,0.368,63,0.3902,65,0.5656,71,0.9875,90
2022-04-29,0.3592,68,0.3861,69,1.2722,93,0.9281,81,0.3683,63,0.3911,65,0.6175,75,1.0647,93
2022-04-28,0.3553,67,0.3345,61,1.3478,95,0.7815,73,0.3681,63,0.39,65,0.7095,80,0.7595,78
2022-04-27,0.2948,57,0.3579,65,0.9979,84,0.9865,85,0.3676,63,0.389,65,0.7165,81,0.9865,90
2022-04-26,0.2983,57,0.3598,65,0.5961,57,0.9679,84,0.3673,63,0.3898,65,0.5961,74,0.9679,89
2022-04-25,0.2801,54,0.3744,68,0.7439,70,1.0511,88,0.3707,63,0.3899,65,0.4415,49,1.0511,93
2022-04-22,0.2627,52,0.3557,65,0.95,82,1.1597,91,0.3864,65,0.3936,65,0.6106,75,4.772,100
2022-04-21,0.1725,32,0.3188,57,0.7489,71,1.4581,96,0.3833,64,0.3944,65,0.7489,83,4.7079,100
2022-04-20,0.1904,36,0.3235,57,0.4859,42,0.9225,81,0.3836,64,0.3952,65,0.4859,57,0.9225,87
2022-04-19,0.1914,37,0.3275,59,0.8488,76,4.481,100,0.3859,65,0.3963,66,0.8488,90,4.481,100
2022-04-18,0.2115,41,0.2549,43,0.423,31,4.4272,100,0.3858,65,0.3961,66,0.423,44,4.4272,100
2022-04-14,0.203,39,0.2533,43,0.9438,81,4.2802,100,0.3852,64,0.3973,66,0.9438,95,4.2802,100
2022-04-12,0.3459,66,0.2727,47,0.9483,82,0.6012,62,0.3868,65,0.4015,66,0.9483,95,0.6012,72
2022-04-11,0.3345,65,0.2717,46,0.8272,75,0.5902,60,0.386,65,0.4027,67,0.8272,88,0.5902,70
2022-04-08,0.3211,62,0.2871,50,1.0517,87,0.6731,68,0.3855,64,0.4029,67,0.9194,93,0.6731,76
2022-04-06,0.3313,64,0.3315,60,0.9044,79,0.7545,72,0.3865,65,0.41,68,0.7111,80,0.7545,78
2022-04-04,0.3414,66,0.3932,70,0.784,73,2.5614,99,0.3847,64,0.41,68,0.5926,74,0.7662,79
2022-04-01,0.3128,61,0.4244,74,1.0349,86,1.6241,97,0.3829,64,0.4115,68,0.9655,96,0.5809,69
2022-03-31,0.3125,61,0.4641,79,0.9253,80,1.5729,97,0.3829,64,0.4124,68,0.8808,91,0.543,62
2022-03-30,0.3982,73,0.5123,82,0.8972,79,1.6883,98,0.3887,66,0.4133,68,0.8972,92,0.6729,76
2022-03-29,0.6415,92,0.5512,86,0.6741,65,1.6656,98,0.3906,66,0.4131,68,0.6741,79,0.7774,80
2022-03-28,0.6523,92,0.5694,87,0.9197,80,0.7663,72,0.3899,66,0.4134,68,0.694,80,0.7663,79
2022-03-25,0.6176,90,0.5711,87,1.0726,88,1.6642,98,0.3909,66,0.4201,68,0.5058,60,1.6642,99
2022-03-23,0.62,91,0.5112,82,0.8904,78,1.5675,97,0.3932,66,0.4137,68,0.9134,93,1.2684,97
2022-03-22,0.6465,92,0.501,82,1.6793,99,1.4758,96,0.3936,66,0.4112,68,0.8187,87,1.265,97
2022-03-16,0.6145,90,0.5408,85,0.7856,73,1.5186,97,0.3721,63,0.4036,67,0.7856,85,1.036,92
2022-03-15,0.6102,90,0.5231,83,0.5885,56,1.1295,90,0.3729,63,0.4032,67,0.5885,73,1.1295,95
2022-03-14,0.6222,91,0.6029,90,0.7411,70,1.5357,97,0.3743,64,0.4042,67,0.7333,81,1.5905,99
2022-03-11,0.6032,90,0.6165,91,0.8727,77,1.8487,98,0.3742,63,0.4032,67,0.726,81,1.1971,96
2022-03-10,0.6075,90,0.6149,90,0.6446,61,1.2259,92,0.3772,64,0.4045,67,0.6446,77,1.2259,97
2022-03-09,0.5847,88,0.6613,93,0.7443,71,1.5111,96,0.3751,64,0.4022,67,0.7443,82,1.5111,98
2022-03-04,0.2039,39,0.5873,89,0.9267,80,1.4282,95,0.3555,61,0.3952,65,0.6018,74,0.6321,73
2022-03-01,0.2776,54,0.6015,90,0.77,72,1.7753,98,0.3555,61,0.3831,64,0.5166,62,0.7091,77
2022-02-28,0.2763,54,0.531,84,1.0077,85,1.5849,97,0.3551,61,0.3766,64,0.6408,77,1.2221,97
2022-02-25,0.2537,50,0.5291,84,0.8245,75,1.4752,96,0.3539,60,0.3758,64,0.5387,66,1.4838,98
2022-02-24,0.2514,50,0.5192,83,1.0984,89,1.4646,96,0.3541,60,0.3744,63,0.9161,93,1.4646,98
2022-02-23,0.2057,40,0.4775,80,0.7569,72,0.6524,66,0.3532,60,0.3709,63,0.7569,83,0.6524,74
2022-02-22,0.116,17,0.3503,63,0.6531,63,0.5858,59,0.3501,59,0.3629,62,0.6531,77,0.5858,70
