date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2006-05-31,0.6148,76,0.0,1,0.4446,,0.452,,0.4649,32,0.0,1,0.4322,,0.452,
2006-05-10,0.3246,25,0.0,1,0.4296,,0.4504,,0.4457,28,0.0,1,0.4296,,0.4504,
2006-01-13,0.238,9,0.0,1,0.4468,,0.4553,,0.378,14,0.0,1,0.4468,,0.4553,
2006-01-12,0.2864,16,0.0,1,0.4567,,0.4614,,0.3801,14,0.0,1,0.4567,,0.4614,
2006-01-10,0.3613,34,0.0,1,0.456,,0.4674,,0.3838,15,0.0,1,0.456,,0.4674,
2005-07-11,0.5756,73,0.0,1,0.4193,,0.4274,,0.4285,25,0.0,1,0.3941,,0.4115,
2005-06-28,0.4249,48,0.0,1,0.406,,0.4174,,0.4176,23,0.0,1,0.406,,0.4174,
2005-06-27,0.528,67,0.0,1,0.4182,,0.4141,,0.4179,23,0.0,1,0.4182,,0.4141,
2005-06-03,0.6105,76,0.0,1,0.4414,,0.424,,0.4117,22,0.0,1,0.4236,,0.424,
2005-06-01,0.5426,69,0.0,1,0.4051,,0.4394,,0.4127,22,0.0,1,0.4112,,0.4394,
2005-05-31,0.5346,68,0.0,1,0.4131,,0.4227,,0.4128,22,0.0,1,0.4131,,0.4227,
2005-05-27,0.5346,68,0.0,1,0.4174,,0.417,,0.4181,23,0.0,1,0.4174,,0.417,
2005-05-26,0.5235,67,0.0,1,0.4012,,0.4197,,0.4179,23,0.0,1,0.4012,,0.4197,
2005-02-24,0.2729,14,0.0,1,0.4534,,0.4685,,0.3687,13,0.0,1,0.4541,,0.4633,
2005-02-03,0.4373,51,0.0,1,0.5073,,0.5065,,0.4095,22,0.0,1,0.5073,,0.5065,
2004-10-12,0.3111,22,0.0,1,0.5365,,0.5407,,0.4709,34,0.0,1,0.5365,,0.5407,
2004-04-12,0.3549,32,0.0,1,0.5748,,0.5575,,0.5353,55,0.0,1,0.5748,,0.5575,
