date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2016-03-17,1.3028,100,0.2762,38,0.1987,1,0.1493,1,0.5549,95,0.4637,91,0.1118,1,0.1493,1
2016-03-16,1.3177,100,0.2859,42,0.1907,1,0.1181,1,0.5574,95,0.4647,91,0.1032,1,0.1181,1
2016-03-15,1.314,100,0.3284,59,0.19,1,0.0903,1,0.5575,96,0.4657,92,0.0912,1,0.0903,1
2016-03-11,0.3745,66,0.4061,77,0.5725,92,0.6787,97,0.473,84,0.4671,92,0.4309,71,0.438,72
2016-03-10,0.2873,47,0.3876,72,0.5377,89,0.5,80,0.4707,84,0.4659,92,0.43,70,0.4414,73
2016-03-09,0.1996,22,0.3249,57,0.6737,97,0.6682,96,0.4677,82,0.4633,91,0.4399,73,0.4517,77
2016-03-08,0.1716,15,0.3312,59,0.6813,97,0.667,96,0.4718,84,0.465,92,0.5687,100,0.5691,100
2016-03-07,0.17,14,0.3292,59,0.6543,96,0.7466,99,0.4715,84,0.4652,92,0.4696,83,0.4476,76
2016-03-04,0.1632,13,0.306,50,0.6738,97,0.6182,94,0.4768,86,0.4648,91,0.4492,76,0.4205,65
2016-03-03,0.139,8,0.3226,56,0.7117,98,0.7459,99,0.4764,86,0.4637,91,0.4325,71,0.4339,71
2016-03-02,0.2273,30,0.3291,59,0.7763,99,0.7292,98,0.4768,86,0.4619,91,0.4504,76,0.4548,78
2016-03-01,0.3325,57,0.3507,64,0.7121,98,0.6768,97,0.4798,86,0.4632,91,0.453,77,0.4398,73
2016-02-29,0.3439,60,0.3668,68,0.7381,99,0.6747,97,0.4804,86,0.4661,92,0.4561,78,0.4342,71
2016-02-26,0.3367,59,0.3798,70,0.6619,97,0.6998,98,0.4831,87,0.4676,93,0.4425,74,0.4449,75
2016-02-25,0.3345,57,0.3892,73,0.7037,98,0.7139,98,0.4843,87,0.4683,93,0.49,89,0.466,82
2016-02-24,0.3741,65,0.4159,78,0.7279,99,0.7835,99,0.4846,87,0.4688,93,0.4591,79,0.4991,92
2016-02-23,0.3662,64,0.41,77,0.6934,98,0.7602,99,0.4854,87,0.4672,92,0.4667,82,0.4822,86
2016-02-22,1.2364,99,0.9605,100,0.7442,99,0.7258,98,0.4836,87,0.467,92,0.5074,93,0.4617,80
2016-02-19,1.18,99,0.9562,100,0.6696,97,0.766,99,0.4809,86,0.47,93,0.4548,77,0.4797,85
2016-02-18,1.2018,99,0.9582,100,0.722,98,0.9397,100,0.6449,100,0.4876,95,0.4652,82,0.4601,80
2016-02-17,1.2003,99,0.9519,100,0.7711,99,1.0803,100,0.6457,100,0.4916,97,0.4584,79,0.4638,81
2016-02-16,1.2022,99,0.9542,100,0.9032,100,0.9552,100,0.6469,100,0.4916,97,0.453,77,0.4393,72
2016-02-12,1.2051,99,0.9581,100,0.7477,99,0.7765,99,0.6471,100,0.4907,97,0.4629,81,0.4314,70
2016-02-11,1.2128,99,0.9518,100,0.97,100,0.8921,100,0.6476,100,0.4892,96,0.4952,90,0.5073,94
2016-02-10,0.1524,10,0.4032,76,0.6247,95,0.5002,81,0.5798,100,0.4419,87,0.5116,94,0.4775,85
2016-02-09,0.1528,11,0.3965,74,0.6127,94,0.5555,90,0.58,100,0.4413,87,0.5257,96,0.4724,84
2016-02-08,0.2332,32,0.3913,74,0.5425,90,0.6323,95,0.5802,100,0.4405,86,0.5404,98,0.5691,100
2016-02-05,0.2265,30,0.3931,74,0.5592,91,0.5097,83,0.5802,100,0.4405,86,0.5328,97,0.496,91
2016-02-04,0.247,36,0.4172,78,0.4971,82,0.4997,80,0.5802,100,0.4398,86,0.4911,90,0.4895,89
2016-02-03,0.2488,37,0.384,71,0.4691,76,0.6011,93,0.5797,100,0.4383,86,0.5291,96,0.5093,94
2016-02-02,0.2746,44,0.3894,73,0.4671,76,0.5292,86,0.5798,100,0.4373,85,0.5204,95,0.4996,92
2016-02-01,0.2597,41,0.3632,67,0.5048,84,0.5707,91,0.5795,99,0.4348,85,0.5049,92,0.4983,92
2016-01-29,0.2688,43,0.3679,68,0.4214,64,0.4746,74,0.5798,100,0.4348,85,0.4895,89,0.5055,93
2016-01-28,0.237,33,0.4755,87,0.4792,78,0.4868,77,0.5782,99,0.4341,84,0.5081,93,0.5071,93
2016-01-27,0.3248,55,0.5245,93,0.476,77,0.487,77,0.5784,99,0.4345,84,0.5174,95,0.5002,92
2016-01-26,0.4274,75,0.5097,91,0.4622,74,0.4973,80,0.5789,99,0.4331,83,0.5219,95,0.4931,90
2016-01-25,0.3924,69,0.5253,93,0.5024,83,0.4924,79,0.5782,99,0.4325,83,0.5289,96,0.4906,89
2016-01-22,0.4089,72,0.5236,93,0.4779,78,0.4874,77,0.5781,99,0.4322,83,0.5025,92,0.4924,90
2016-01-21,0.3791,67,0.5151,92,0.5234,87,0.4792,75,0.5777,99,0.4307,82,0.54,97,0.5025,93
2016-01-20,0.4076,72,0.5055,91,0.5192,87,0.5119,83,0.5779,99,0.4304,82,0.5005,91,0.5209,96
2016-01-19,0.4344,76,0.4346,81,0.4912,81,0.5073,82,0.578,99,0.4238,80,0.5194,95,0.5209,96
2016-01-15,0.4217,74,0.3764,69,0.4712,77,0.4785,75,0.575,99,0.4204,79,0.5751,100,0.5916,100
2016-01-14,0.3747,66,0.3537,64,0.49,81,0.4897,78,0.5701,98,0.4193,79,0.5343,97,0.5251,97
2016-01-13,0.3861,67,0.3134,53,0.5608,91,0.4349,66,0.57,98,0.4176,78,0.5425,98,0.4801,86
2016-01-12,0.3552,62,0.3025,48,0.4387,68,0.4715,74,0.571,98,0.4183,79,0.4896,89,0.4912,89
2016-01-11,0.3477,61,0.2767,38,0.6679,97,0.4576,71,0.5724,99,0.4181,78,0.5114,94,0.4837,87
2016-01-08,0.3383,59,0.2849,42,0.6316,95,0.444,68,0.5723,99,0.4181,78,0.5956,100,0.4494,76
2016-01-07,0.2332,32,0.2133,10,0.4956,81,0.4249,63,0.5689,98,0.4156,78,0.5248,96,0.4716,84
2016-01-06,0.0851,1,0.208,8,0.4996,82,0.5934,93,0.5673,97,0.4154,78,0.4599,79,0.4616,80
2016-01-05,0.0828,1,0.2143,10,0.5118,85,0.447,69,0.5674,97,0.4154,78,0.4723,84,0.4541,78
2016-01-04,0.0806,1,0.2291,15,0.4422,70,0.5712,91,0.5674,97,0.4157,78,0.4778,86,0.4639,81
2015-12-31,0.2062,24,0.2779,39,0.4511,72,0.4334,66,0.5676,98,0.415,77,0.453,77,0.4456,75
2015-12-30,0.2289,31,0.294,45,0.442,70,0.4557,71,0.5681,98,0.4155,78,0.4572,78,0.4421,73
2015-12-29,0.2444,35,0.2997,47,0.4307,67,0.4257,64,0.5682,98,0.4153,78,0.4458,75,0.4352,72
2015-12-28,0.2819,46,0.3254,57,0.4544,72,0.4573,71,0.5682,98,0.4154,78,0.4578,78,0.4442,74
2015-12-24,0.3222,54,0.3684,68,0.4595,74,0.421,63,0.5683,98,0.4153,78,0.4768,85,0.4494,76
2015-12-23,0.3224,55,0.3828,71,0.5905,93,0.4224,63,0.5684,98,0.4153,78,0.4573,78,0.4298,70
2015-12-22,0.3132,53,0.4265,80,0.4232,65,0.4131,60,0.5686,98,0.4153,78,0.4322,71,0.4363,72
2015-12-21,0.2608,41,0.3869,72,0.4257,66,0.4604,72,0.5672,97,0.4128,77,0.4427,74,0.4429,74
2015-12-18,0.2382,34,0.3991,75,0.445,71,0.4485,69,0.5669,97,0.4124,77,0.4463,75,0.4617,80
2015-12-17,0.2291,31,0.4048,76,0.4485,71,0.429,65,0.5665,97,0.412,77,0.4576,78,0.4437,74
2015-12-16,0.2678,43,0.3907,74,0.7221,98,0.4328,66,0.5657,97,0.4108,77,0.4398,73,0.4457,75
2015-12-15,0.2354,33,0.3566,65,0.5968,94,0.6112,94,0.5647,97,0.4085,77,0.4712,84,0.447,75
2015-12-14,0.2597,41,0.3424,62,0.4834,80,0.6682,96,0.5647,97,0.4076,77,0.4889,89,0.499,92
2015-12-11,0.2555,39,0.2899,43,0.4759,77,0.5245,85,0.5647,97,0.4046,76,0.4522,77,0.4619,80
2015-12-10,0.2647,42,0.2996,47,0.5448,90,0.533,86,0.5648,97,0.4044,76,0.4211,66,0.4262,68
2015-12-09,0.2937,48,0.2896,43,0.3482,41,0.5361,87,0.5648,97,0.4034,76,0.4096,60,0.4225,66
2015-12-08,0.3304,57,0.2951,45,0.5226,87,0.4788,75,0.5647,97,0.4025,76,0.4181,65,0.3898,47
2015-12-07,0.2744,44,0.2944,45,0.4133,62,0.4748,75,0.5631,96,0.4021,76,0.3841,46,0.3811,41
