date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-08-01,0.0292,,0.0245,,0.2541,,0.2301,,0.3155,,0.3508,,0.2147,,0.8186,
2022-07-25,0.0316,,0.0287,,0.3037,,0.2603,,0.3155,,0.3508,,0.3037,,0.8194,
2022-07-21,0.015,,0.0248,,0.19,,0.2487,,0.3155,,0.3507,,0.19,,0.8822,
2022-07-19,0.0106,,0.0149,,0.211,,0.2575,,0.3155,,0.3507,,0.211,,0.8843,
2022-07-18,0.0106,,0.0149,,0.2755,,0.2565,,0.3155,,0.3507,,0.1731,,0.8806,
2022-07-15,0.0106,,0.0136,,0.2466,,0.2626,,0.3155,,0.3507,,0.2491,,0.8776,
2022-07-14,0.0082,,0.0126,,0.2528,,0.2652,,0.3155,,0.3507,,0.2463,,0.8775,
2022-07-13,0.0075,,0.011,,0.1862,,0.2609,,0.3155,,0.3507,,0.1862,,0.8757,
2022-07-12,0.0106,,0.011,,0.2132,,0.2505,,0.3155,,0.3507,,0.2132,,0.8716,
2022-07-11,0.0106,,0.0126,,0.2711,,0.2482,,0.3155,,0.3507,,0.2711,,0.8705,
2022-07-08,0.0089,,0.014,,0.2069,,0.241,,0.3155,,0.3507,,0.2069,,0.8641,
2022-07-07,0.0248,,0.0221,,0.2063,,0.2414,,0.3155,,0.3507,,0.3579,,0.8466,
2022-07-06,0.0365,,0.0279,,0.1773,,0.2864,,0.3155,,0.3507,,0.1773,,0.8609,
2022-07-05,0.0422,,0.0327,,0.18,,0.2823,,0.3155,,0.3507,,0.18,,0.8581,
2022-07-01,0.0424,,0.0451,,0.2278,,0.2954,,0.3155,,0.3507,,0.3462,,0.8524,
2022-06-30,0.0458,,0.0544,,0.2116,,0.2939,,0.3155,,0.3507,,0.511,,0.8437,
2022-06-29,0.0458,,0.0702,,0.2825,,0.337,,0.3155,,0.3507,,0.3663,,0.852,
2022-06-28,0.0457,,0.0729,,0.2722,,0.3359,,0.3155,,0.3507,,0.3777,,0.8509,
2022-06-27,0.0439,,0.0748,,0.2709,,0.3046,,0.3154,,0.3507,,0.5959,,0.8544,
2022-06-24,0.0361,,0.0767,,0.2039,,0.3658,,0.3154,,0.3507,,0.581,,0.8459,
2022-06-23,0.0277,,0.076,,0.2231,,0.3931,,0.3153,,0.3506,,0.5285,,0.8473,
2022-06-22,0.0224,,0.0745,,0.2791,,0.4262,,0.3153,,0.3506,,0.5737,,0.8485,
2022-06-21,0.0278,,0.0896,,0.2035,,0.3491,,0.3153,,0.3505,,0.5901,,0.8463,
2022-06-17,0.0286,,0.0779,,0.5451,,0.5602,,0.3153,,0.3503,,0.7341,,0.8588,
2022-06-16,0.0316,,0.0758,,0.4904,,0.8595,,0.3154,,0.3503,,0.7737,,0.8595,
2022-06-15,0.0276,,0.0742,,0.3326,,0.8592,,0.3153,,0.3503,,0.6885,,0.8592,
2022-06-14,0.0349,,0.0714,,0.3516,,0.3729,,0.3153,,0.3502,,0.328,,0.6747,
2022-06-13,0.034,,0.0708,,0.3384,,0.8442,,0.3153,,0.3502,,0.3351,,0.8442,
2022-06-10,0.0341,,0.0676,,0.296,,0.8344,,0.3153,,0.3502,,0.3525,,0.8344,
2022-06-09,0.0303,,0.0341,,0.211,,0.4982,,0.3153,,0.3499,,0.3522,,0.8361,
2022-06-08,0.0294,,0.0414,,0.2581,,0.8313,,0.3153,,0.3499,,0.3034,,0.8313,
2022-05-27,0.0569,,0.0811,,0.3371,,0.431,,0.3152,,0.3498,,0.2844,,0.5949,
2022-05-26,0.0883,,0.1851,,0.2909,,0.4348,,0.3152,,0.3497,,0.2909,,0.8132,
2022-05-25,0.0879,,0.1867,,0.2338,,0.4228,,0.3152,,0.3497,,0.276,,0.7181,
2022-05-24,0.088,,0.1872,,0.2353,,0.1176,,0.3152,,0.3497,,0.2818,,0.8132,
2022-05-23,0.088,,0.1904,,0.2725,,0.4208,,0.3152,,0.3496,,0.2725,,0.8731,
2022-05-20,0.0881,,0.1902,,0.2635,,0.4295,,0.3152,,0.3496,,0.3188,,0.8802,
2022-05-19,0.0881,,0.1882,,0.1852,,0.1584,,0.3149,,0.3493,,0.2994,,0.8796,
2022-05-18,0.0896,,0.1912,,0.2349,,0.1308,,0.3149,,0.3493,,0.2751,,0.8868,
2022-05-17,0.0628,,0.1088,,0.1227,,0.131,,0.3146,,0.347,,0.1445,,0.7925,
2022-05-16,0.0681,,0.1168,,0.1345,,0.1374,,0.3146,,0.3469,,0.1859,,0.7944,
2022-05-13,0.0883,,0.1407,,0.2386,,0.2723,,0.3146,,0.3468,,0.1706,,0.6448,
2022-05-12,0.1128,,0.148,,0.2432,,0.2721,,0.3146,,0.3467,,0.1753,,0.7884,
2022-05-11,0.1099,,0.151,,0.2574,,0.7876,,0.3146,,0.3466,,0.1769,,0.7876,
2022-05-10,0.1038,,0.155,,0.2189,,0.7941,,0.3144,,0.3465,,0.2563,,0.7941,
2022-05-09,0.1047,,0.157,,0.2387,,0.3635,,0.3143,,0.3463,,0.4038,,0.7985,
2022-05-06,0.1088,,0.1741,,0.3559,,0.7901,,0.314,,0.346,,0.5866,,0.7901,
2022-05-05,0.0975,,0.1741,,0.3438,,0.2205,,0.3136,,0.3458,,0.502,,0.8272,
2022-05-04,0.0941,,0.1603,,0.3341,,0.205,,0.3136,,0.3452,,0.5676,,0.8059,
2022-05-03,0.0726,,0.1602,,0.5353,,0.1872,,0.3134,,0.3449,,0.6487,,0.3804,
2022-05-02,0.0728,,0.1709,,0.318,,0.1949,,0.3134,,0.3448,,0.2899,,0.1949,
2022-04-29,0.0751,,0.178,,0.3699,,0.2132,,0.3133,,0.3445,,0.2372,,0.2132,
2022-04-28,0.0796,,0.1864,,0.2817,,0.23,,0.3132,,0.3443,,0.23,,0.3614,
2022-04-27,0.0975,,0.1914,,0.3146,,0.2084,,0.313,,0.3435,,0.4654,,0.2084,
2022-04-26,0.0912,,0.1955,,0.3093,,0.2125,,0.3129,,0.3433,,0.4797,,0.3728,
2022-04-25,0.0873,,0.2337,,0.3715,,0.2338,,0.3128,,0.3431,,0.446,,0.3055,
2022-04-22,0.1012,,0.2355,,0.2548,,0.2635,,0.3128,,0.3428,,0.4097,,0.4528,
2022-04-21,0.2341,,0.307,,0.2947,,0.2619,,0.3128,,0.3424,,0.2191,,0.4644,
2022-04-20,0.8814,,0.7459,,0.3003,,0.2464,,0.3127,,0.3419,,0.2594,,0.3904,
2022-04-19,0.8588,,0.7824,,0.3154,,0.2549,,0.3126,,0.3414,,0.2569,,0.4181,
2022-04-18,0.986,,0.8892,,0.3337,,0.2245,,0.3123,,0.3405,,0.2506,,0.2842,
2022-04-14,0.9761,,1.016,,0.3678,,0.2718,,0.3123,,0.3402,,0.2701,,0.2688,
2022-04-13,1.2805,,1.1915,,0.4026,,0.2322,,0.3123,,0.3386,,0.3147,,0.3408,
2022-04-12,1.2824,,1.2327,,0.3663,,0.2489,,0.312,,0.3382,,0.308,,0.497,
2022-04-11,1.2903,,1.2913,,0.5531,,0.3717,,0.3079,,0.3345,,0.387,,0.3717,
2022-04-08,0.8713,,1.2099,,1.299,,1.4707,,0.2242,,0.2924,,0.3389,,0.6789,
2022-04-07,0.7968,,1.186,,1.3366,,1.6511,,0.2193,,0.2864,,0.6182,,0.6574,
2022-04-06,0.8019,,1.1201,,1.065,,1.0856,,0.2045,,0.2671,,0.4326,,0.6828,
2022-04-05,0.7561,,1.0072,,1.1902,,1.3951,,0.2034,,0.2397,,0.4814,,0.7207,
