date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2023-03-15,0.2685,,0.0709,,0.1697,,0.2716,,0.22,,0.0639,,0.1697,,0.2716,
2022-10-26,0.1016,,0.061,,0.2187,,0.2519,,0.1902,,0.0613,,0.2187,,0.2519,
2022-10-04,0.4029,,0.1541,,0.225,,0.2307,,0.0,,0.0597,,0.2223,,0.2307,
2022-09-29,0.3461,,0.1403,,0.2127,,0.2442,,0.0,,0.0,,0.2127,,0.2442,
2022-09-27,0.1814,,0.1109,,0.2174,,0.2468,,0.0,,0.0,,0.2174,,0.2468,
2022-09-26,0.183,,0.1085,,0.1979,,0.2604,,0.0,,0.0,,0.1979,,0.2604,
2022-07-13,0.1293,,0.0126,,0.1577,,0.2415,,0.0,,0.0,,0.1577,,0.2415,
2022-07-11,0.2321,,0.0246,,0.1644,,0.2436,,0.0,,0.0,,0.1644,,0.2436,
2022-07-06,0.2483,,0.0255,,0.2747,,0.2334,,0.0,,0.0,,0.2261,,0.2334,
2022-07-01,0.2222,,0.0282,,0.2192,,0.2534,,0.0,,0.0,,0.2192,,0.2534,
2022-06-30,0.1398,,0.0309,,0.2373,,0.2579,,0.0,,0.0,,0.1732,,0.2579,
2022-06-29,0.1465,,0.0272,,0.1707,,0.2241,,0.0,,0.0,,0.1707,,0.2241,
