date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2008-04-22,0.2469,79,0.0,1,0.37,,0.4641,,0.3693,100,0.0,1,0.37,,0.4641,
2008-04-21,0.2906,88,0.0,1,0.3679,,0.464,,0.3697,100,0.0,1,0.3679,,0.464,
2008-04-18,0.2863,87,0.0,1,0.3645,,0.4607,,0.3702,100,0.0,1,0.3645,,0.4607,
2008-04-17,0.3328,94,0.0,1,0.3645,,0.717,,0.3705,100,0.0,1,0.3645,,0.4582,
2008-04-16,0.3306,94,0.0,1,0.3645,,0.4559,,0.3706,100,0.0,1,0.3645,,0.4559,
2008-04-15,0.2825,87,0.0,1,0.3287,,0.3881,,0.3672,100,0.0,1,0.3287,,0.3881,
2008-04-14,0.2764,85,0.0,1,0.3253,,0.3696,,0.3683,100,0.0,1,0.3253,,0.3696,
2008-04-11,0.3053,91,0.0,1,0.303,,0.3825,,0.3686,100,0.0,1,0.303,,0.3825,
2008-04-10,0.2781,86,0.0,1,0.2898,,0.3816,,0.3662,100,0.0,1,0.2898,,0.3816,
2008-04-09,0.331,94,0.0,1,0.2998,,0.3888,,0.3668,100,0.0,1,0.2998,,0.3888,
2008-04-08,0.2989,90,0.0,1,0.2882,,0.3872,,0.3659,99,0.0,1,0.2882,,0.3872,
2008-04-07,0.326,93,0.0,1,0.3063,,0.3653,,0.3659,99,0.0,1,0.3063,,0.3653,
2008-04-04,0.3198,92,0.0,1,0.2882,,0.3991,,0.3659,99,0.0,1,0.2882,,0.3991,
2008-04-03,0.3719,96,0.0,1,0.3023,,0.4297,,0.371,100,0.0,1,0.3015,,0.3833,
2008-04-02,0.3759,96,0.0,1,0.2995,,0.4607,,0.3688,100,0.0,1,0.2995,,0.3945,
2008-04-01,0.5223,99,0.0,1,0.3217,,0.3915,,0.3674,100,0.0,1,0.3135,,0.3915,
2008-03-31,0.4823,99,0.0,1,0.2982,,0.4384,,0.364,99,0.0,1,0.3121,,0.4079,
2008-03-28,0.5269,100,0.0,1,0.3106,,0.4178,,0.3653,99,0.0,1,0.3126,,0.381,
2008-03-27,0.6068,100,0.0,1,0.3216,,0.3717,,0.3651,99,0.0,1,0.3196,,0.3717,
2008-03-26,0.6368,100,0.0,1,0.3625,,0.3623,,0.3652,99,0.0,1,0.3301,,0.3623,
2008-03-25,0.6545,100,0.0,1,0.3283,,0.4084,,0.3638,99,0.0,1,0.3283,,0.359,
2008-03-24,0.7471,100,0.0,1,0.2766,,0.4196,,0.3613,99,0.0,1,0.2766,,0.3926,
2008-03-20,0.6536,100,0.0,1,0.3484,,0.3591,,0.351,99,0.0,1,0.3181,,0.3591,
2008-03-19,0.6402,100,0.0,1,0.3543,,0.3593,,0.3496,99,0.0,1,0.3389,,0.3475,
2008-03-18,0.5883,100,0.0,1,0.314,,0.4137,,0.3447,99,0.0,1,0.2905,,0.3813,
2008-03-17,0.5651,100,0.0,1,0.3341,,0.4121,,0.3403,99,0.0,1,0.3149,,0.4121,
2008-03-14,0.4674,98,0.0,1,0.3061,,0.3834,,0.3412,99,0.0,1,0.3282,,0.3778,
2008-03-12,0.2383,77,0.0,1,0.2554,,0.3902,,0.328,98,0.0,1,0.2554,,0.3902,
2008-03-11,0.2733,85,0.0,1,0.2543,,0.3922,,0.3267,98,0.0,1,0.2543,,0.3675,
2008-03-10,0.3661,96,0.0,1,0.2594,,0.3909,,0.3267,98,0.0,1,0.2594,,0.3555,
2008-03-07,0.3267,93,0.0,1,0.2898,,0.3624,,0.3233,98,0.0,1,0.2632,,0.3624,
2008-03-06,0.2808,86,0.0,1,0.2891,,0.3595,,0.3217,98,0.0,1,0.2806,,0.349,
2008-03-05,0.2772,86,0.0,1,0.2612,,0.3619,,0.3219,98,0.0,1,0.2554,,0.3686,
2008-03-04,0.2642,83,0.0,1,0.2612,,0.3668,,0.3207,97,0.0,1,0.2562,,0.3662,
2008-03-03,0.275,85,0.0,1,0.2817,,0.3623,,0.3213,98,0.0,1,0.2817,,0.3522,
2008-02-29,0.2873,88,0.0,1,0.3099,,0.3744,,0.3212,98,0.0,1,0.3099,,0.3744,
2008-02-28,0.2427,78,0.0,1,0.3348,,0.3345,,0.3202,97,0.0,1,0.282,,0.3345,
2008-02-27,0.2439,78,0.0,1,0.2756,,0.2941,,0.3189,97,0.0,1,0.2756,,0.3232,
2008-02-26,0.2274,74,0.0,1,0.2804,,0.3205,,0.319,97,0.0,1,0.2657,,0.3394,
2008-02-25,0.2552,81,0.0,1,0.2506,,0.3459,,0.3215,98,0.0,1,0.2506,,0.3483,
2008-02-22,0.2364,77,0.0,1,0.32,,0.3357,,0.3201,97,0.0,1,0.26,,0.3357,
2008-02-21,0.2751,85,0.0,1,0.3151,,0.3306,,0.3202,97,0.0,1,0.2631,,0.3306,
2008-02-11,0.5015,99,0.0,1,0.3127,,0.3624,,0.3198,97,0.0,1,0.2984,,0.3624,
2008-02-08,0.4935,99,0.0,1,0.326,,0.3391,,0.3196,97,0.0,1,0.2885,,0.3391,
2008-02-06,0.5014,99,0.0,1,0.3128,,0.3759,,0.3191,97,0.0,1,0.3128,,0.3759,
2008-01-31,0.4205,98,0.0,1,0.2866,,0.3783,,0.3042,96,0.0,1,0.2866,,0.3672,
2008-01-30,0.421,98,0.0,1,0.2984,,0.3846,,0.3041,96,0.0,1,0.2984,,0.3403,
2008-01-29,0.3716,96,0.0,1,0.2835,,0.4055,,0.3038,96,0.0,1,0.2835,,0.3639,
2008-01-28,0.4072,98,0.0,1,0.2897,,0.408,,0.3046,96,0.0,1,0.2897,,0.3603,
2008-01-25,0.4485,98,0.0,1,0.3016,,0.3839,,0.3046,96,0.0,1,0.3016,,0.368,
2008-01-24,0.4839,99,0.0,1,0.2529,,0.4457,,0.3049,96,0.0,1,0.2529,,0.3889,
2008-01-23,0.2539,81,0.0,1,0.2796,,0.3895,,0.2914,96,0.0,1,0.2602,,0.3895,
2008-01-22,0.2011,66,0.0,1,0.3279,,0.3771,,0.292,96,0.0,1,0.265,,0.3771,
2008-01-18,0.2137,70,0.0,1,0.2889,,0.3355,,0.2919,96,0.0,1,0.2791,,0.3355,
2008-01-17,0.1677,49,0.0,1,0.3095,,0.323,,0.2914,96,0.0,1,0.3095,,0.323,
2008-01-14,0.2015,66,0.0,1,0.2673,,0.3315,,0.2892,96,0.0,1,0.2673,,0.3315,
