date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2011-01-11,0.4922,59,0.0,1,0.5519,,0.5602,,0.3545,17,0.0,1,0.5519,,0.5602,
2010-12-21,0.2963,21,0.0,1,0.5592,,0.5802,,0.3494,16,0.0,1,0.5592,,0.5802,
2009-03-25,1.3029,97,0.0,1,0.835,,1.0295,,1.2238,94,0.0,1,0.835,,1.0492,
2006-08-07,0.3013,22,0.0,1,0.7254,,0.7427,,0.6439,77,0.0,1,0.7254,,0.7427,
2006-08-04,0.3611,36,0.0,1,0.7435,,0.7762,,0.6484,78,0.0,1,0.7435,,0.7762,
2006-07-05,0.6225,75,0.0,1,0.7392,,0.7114,,0.7379,83,0.0,1,0.7392,,0.7114,
2006-07-03,0.5897,71,0.0,1,0.6892,,0.7127,,0.7757,85,0.0,1,0.6892,,0.7127,
2006-06-30,0.5821,70,0.0,1,0.7091,,0.7165,,0.7784,85,0.0,1,0.7091,,0.7165,
2006-06-29,0.5735,69,0.0,1,0.7006,,0.7438,,0.7792,85,0.0,1,0.7006,,0.7438,
2006-06-26,0.5588,68,0.0,1,0.7323,,0.742,,0.0,1,0.0,1,0.7323,,0.742,
2006-06-23,0.8497,86,0.0,1,0.7093,,0.7415,,0.0,1,0.0,1,0.7093,,0.7415,
2006-06-22,0.8697,86,0.0,1,0.7418,,0.7563,,0.0,1,0.0,1,0.7418,,0.7655,
2006-06-21,1.1283,94,0.0,1,0.7606,,0.7511,,0.0,1,0.0,1,0.7606,,0.7321,
2006-06-20,1.2073,95,0.0,1,0.7572,,0.766,,0.0,1,0.0,1,0.7572,,0.7346,
2006-06-19,1.207,95,0.0,1,0.7468,,0.7584,,0.0,1,0.0,1,0.7468,,0.7712,
2006-06-16,1.2019,95,0.0,1,0.8008,,0.7652,,0.0,1,0.0,1,0.8008,,0.8231,
2006-05-11,0.7209,81,0.0,1,0.7417,,0.7433,,0.0,1,0.0,1,0.7417,,0.7433,
2006-05-05,0.866,86,0.0,1,0.7383,,0.7576,,0.0,1,0.0,1,0.7383,,0.7576,
2006-05-03,1.0476,93,0.0,1,0.743,,0.7487,,0.0,1,0.0,1,0.743,,0.7487,
2006-05-02,1.0213,92,0.0,1,0.788,,0.7849,,0.0,1,0.0,1,0.788,,0.7849,
2006-05-01,0.9606,90,0.0,1,0.8066,,0.7798,,0.0,1,0.0,1,0.8066,,0.7798,
2006-04-28,1.0931,94,0.0,1,0.7276,,0.7707,,0.0,1,0.0,1,0.7276,,0.7707,
2006-04-27,0.9718,90,0.0,1,0.741,,0.7615,,0.0,1,0.0,1,0.741,,0.7615,
2006-04-26,0.9271,89,0.0,1,0.7436,,0.7476,,0.0,1,0.0,1,0.7436,,0.7476,
2006-04-25,0.9204,88,0.0,1,0.7957,,0.8022,,0.0,1,0.0,1,0.7957,,0.8022,
2006-03-22,0.4799,57,0.0,1,0.947,,0.9681,,0.0,1,0.0,1,0.947,,0.9681,
2006-03-21,0.4833,57,0.0,1,0.9633,,0.9195,,0.0,1,0.0,1,0.9633,,0.9195,
2006-03-20,0.5437,66,0.0,1,1.0012,,0.9806,,0.0,1,0.0,1,1.0012,,0.9806,
2006-03-17,0.4666,55,0.0,1,0.9927,,0.9763,,0.0,1,0.0,1,0.9927,,0.9763,
2006-03-15,0.5123,62,0.0,1,0.987,,0.9784,,0.0,1,0.0,1,0.987,,0.9784,
2006-03-14,0.5739,69,0.0,1,0.9935,,0.9892,,0.0,1,0.0,1,0.9935,,0.9892,
2006-03-13,0.4836,57,0.0,1,1.0052,,1.0149,,0.0,1,0.0,1,1.0052,,1.0149,
2006-03-10,0.7456,82,0.0,1,0.9661,,1.0214,,0.0,1,0.0,1,0.9661,,1.0214,
2006-03-09,0.7336,82,0.0,1,1.024,,1.0177,,0.0,1,0.0,1,1.0174,,1.0177,
2006-03-08,0.727,81,0.0,1,0.9962,,1.0137,,0.0,1,0.0,1,0.9962,,1.0137,
2006-03-07,0.7273,81,0.0,1,0.9932,,1.0067,,0.0,1,0.0,1,0.98,,1.0067,
2006-03-06,0.772,83,0.0,1,1.0292,,1.0078,,0.0,1,0.0,1,1.009,,1.0078,
2006-03-02,0.7689,83,0.0,1,0.9568,,1.0074,,0.0,1,0.0,1,0.9895,,1.0074,
2006-03-01,0.5624,68,0.0,1,1.0106,,1.0262,,0.0,1,0.0,1,1.0155,,1.0262,
