date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2011-11-22,0.1196,37,0.094,62,0.1725,63,0.2154,65,0.2071,77,0.0,1,0.1725,73,0.2154,33
2011-11-21,0.1593,60,0.0874,59,0.163,57,0.2173,66,0.2066,77,0.0,1,0.163,66,0.2173,35
2011-11-18,0.1635,62,0.0837,56,0.1625,57,0.206,59,0.2062,76,0.0,1,0.1625,66,0.206,24
2011-11-17,0.1989,75,0.0892,60,0.1787,67,0.2284,71,0.206,76,0.0,1,0.1787,77,0.2284,44
2011-11-16,0.2021,76,0.0892,60,0.1702,62,0.2103,61,0.2056,76,0.0,1,0.1702,71,0.2103,28
2011-11-15,0.1985,74,0.092,61,0.15,51,0.2144,64,0.2048,76,0.0,1,0.15,59,0.2144,32
2011-11-03,0.263,86,0.1061,68,0.1297,35,0.2248,70,0.2007,73,0.0,1,0.1297,46,0.2248,41
2011-11-01,0.2305,81,0.0993,65,0.1437,47,0.2091,60,0.199,72,0.0,1,0.1437,55,0.2091,27
2011-10-26,0.1365,48,0.051,43,0.1432,47,0.1966,52,0.194,69,0.0,1,0.1432,55,0.1966,17
2011-10-21,0.1099,32,0.0,1,0.1396,44,0.2202,67,0.1938,69,0.0,1,0.1396,53,0.2202,37
2011-10-18,0.1566,59,0.0,1,0.1447,48,0.224,69,0.1924,69,0.0,1,0.1447,55,0.224,40
2011-10-17,0.1521,57,0.0,1,0.1472,49,0.2062,59,0.1921,69,0.0,1,0.1472,57,0.2062,24
2011-10-14,0.1825,69,0.0656,49,0.1443,48,0.2128,63,0.1926,69,0.0,1,0.1443,55,0.2128,31
2011-10-13,0.1844,70,0.0786,54,0.1405,45,0.2037,57,0.192,69,0.0,1,0.1405,54,0.2037,22
2011-10-12,0.1998,75,0.1043,68,0.1559,54,0.2171,65,0.192,69,0.0,1,0.1559,62,0.2171,34
2011-10-11,0.2917,90,0.1426,84,0.1603,56,0.2214,68,0.192,69,0.0,1,0.1603,64,0.2214,38
2011-10-10,0.2849,89,0.1425,84,0.1377,42,0.2183,66,0.1921,69,0.0,1,0.1377,52,0.2183,35
2011-10-07,0.2614,86,0.1428,84,0.1616,57,0.2252,70,0.1902,68,0.0,1,0.1616,65,0.2252,41
2011-10-06,0.2638,86,0.1538,87,0.1562,54,0.2558,80,0.1904,68,0.0,1,0.1562,62,0.2398,55
