date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2010-09-23,0.289,39,0.2334,26,0.399,25,0.3807,6,0.4022,45,0.0,1,0.399,32,0.3807,5
2010-08-12,0.3823,59,0.4542,73,0.4035,28,0.4023,16,0.4134,49,0.0,1,0.4035,35,0.4023,12
2010-04-01,0.17,10,0.2634,32,0.3509,2,0.3673,3,0.2933,6,0.0,1,0.3509,2,0.3673,2
2010-03-31,0.19,13,0.2896,37,0.3552,3,0.3633,2,0.2977,6,0.0,1,0.3552,3,0.3633,2
2010-03-29,0.2478,28,0.3105,42,0.3556,3,0.3641,2,0.2982,6,0.0,1,0.3556,3,0.3641,2
2010-03-26,0.2407,25,0.3043,40,0.3582,4,0.3603,2,0.2981,6,0.0,1,0.3582,3,0.3603,1
2010-03-25,0.2391,25,0.2888,36,0.3615,4,0.3578,1,0.2988,7,0.0,1,0.3615,5,0.3578,1
2010-03-19,0.277,36,0.2574,31,0.355,3,0.367,3,0.3019,7,0.0,1,0.355,3,0.367,2
2010-03-12,0.3948,61,0.3154,43,0.3557,3,0.3563,1,0.3017,7,0.0,1,0.3557,3,0.3563,1
2010-03-11,0.3838,59,0.3093,41,0.3598,4,0.3516,1,0.3006,7,0.0,1,0.3598,4,0.3516,1
2010-03-04,0.4329,67,0.2939,38,0.349,2,0.3673,3,0.292,5,0.0,1,0.349,2,0.3673,2
2010-03-03,0.4334,67,0.303,40,0.3653,5,0.3589,2,0.2926,5,0.0,1,0.3653,6,0.3589,1
2010-03-02,0.4213,65,0.3013,39,0.3581,4,0.3548,1,0.2927,6,0.0,1,0.3581,3,0.3548,1
2010-03-01,0.4077,63,0.2868,36,0.3484,2,0.3633,2,0.294,6,0.0,1,0.3484,1,0.3633,2
2010-02-26,0.4048,63,0.2741,34,0.3543,3,0.3604,2,0.2923,5,0.0,1,0.3543,3,0.3604,1
2009-08-11,0.3704,56,0.4749,77,0.4247,38,0.4246,34,0.503,66,0.0,1,0.4247,45,0.4246,28
2009-05-06,0.4418,68,0.4558,74,0.5286,72,0.5452,75,0.5965,85,0.0,1,0.4694,65,0.5093,75
2009-04-29,0.3246,47,0.3653,57,0.492,57,0.5458,75,0.5955,85,0.0,1,0.492,74,0.5206,81
2009-04-24,0.2634,32,0.3444,52,0.4937,59,0.5479,76,0.5929,84,0.0,1,0.4937,75,0.5211,81
2009-04-22,0.3617,54,0.3171,43,0.4974,61,0.5564,80,0.5949,85,0.0,1,0.4974,76,0.523,82
2009-04-21,0.4439,69,0.3417,51,0.5018,63,0.5477,76,0.5973,86,0.0,1,0.5018,78,0.5156,78
2009-04-20,0.3959,61,0.0,1,0.5047,64,0.5524,78,0.6002,87,0.0,1,0.5047,79,0.5084,74
2009-04-17,0.4568,71,0.0,1,0.4958,60,0.5524,78,0.6003,87,0.0,1,0.4958,76,0.5153,78
2009-04-16,0.4586,71,0.0,1,0.4966,60,0.5531,79,0.6004,87,0.0,1,0.4966,76,0.5186,79
2009-04-15,0.4592,71,0.0,1,0.497,61,0.5457,75,0.6036,87,0.0,1,0.497,76,0.5249,83
2009-04-14,0.4427,68,0.0,1,0.5003,62,0.5446,75,0.6035,87,0.0,1,0.5003,77,0.5208,81
2009-04-13,0.3898,60,0.0,1,0.5181,69,0.5463,76,0.6029,87,0.0,1,0.5013,78,0.5445,88
2009-04-09,0.4932,76,0.4971,81,0.5128,67,0.5338,72,0.6004,87,0.0,1,0.5176,83,0.5338,85
2009-04-08,0.4922,76,0.5116,83,0.5257,72,0.5501,77,0.5992,86,0.0,1,0.5207,84,0.5467,88
2009-04-07,0.5684,83,0.523,85,0.5307,72,0.5568,80,0.604,87,0.0,1,0.519,83,0.5432,87
2009-04-06,0.5811,84,0.5391,87,0.5225,70,0.554,79,0.6214,88,0.0,1,0.5144,82,0.5531,90
2009-04-03,0.6516,89,0.5279,85,0.496,60,0.5321,71,0.6228,88,0.0,1,0.4832,70,0.5321,85
2009-04-02,0.6612,89,0.5311,86,0.5231,71,0.5248,68,0.6352,89,0.0,1,0.4949,75,0.5248,83
2009-04-01,0.6535,89,0.5222,85,0.5017,63,0.5494,77,0.6285,88,0.0,1,0.4952,75,0.5501,89
2009-03-31,0.6906,90,0.4959,80,0.5143,68,0.5349,72,0.631,89,0.0,1,0.5182,83,0.5378,86
2009-03-30,0.6756,90,0.4652,76,0.4696,52,0.516,64,0.6341,89,0.0,1,0.4696,65,0.515,78
2009-03-27,0.5999,86,0.4403,71,0.4792,54,0.4925,56,0.6353,89,0.0,1,0.4681,64,0.4925,66
2009-03-26,0.5627,82,0.4494,72,0.4649,51,0.5036,60,0.6373,89,0.0,1,0.4443,51,0.5036,72
2009-03-25,0.5311,79,0.4141,66,0.4476,46,0.5068,60,0.6323,89,0.0,1,0.4476,52,0.5115,76
2009-03-24,0.5041,77,0.3956,64,0.4799,55,0.497,57,0.6304,89,0.0,1,0.4799,70,0.4974,69
2009-03-23,0.3029,42,0.3264,46,0.4663,51,0.5035,60,0.6268,88,0.0,1,0.4377,49,0.5035,72
2009-03-20,0.3266,48,0.366,57,0.4649,51,0.5132,63,0.6251,88,0.0,1,0.4649,62,0.5172,79
2009-03-12,1.1113,99,0.7452,97,0.5118,67,0.5424,74,0.6263,88,0.0,1,0.468,64,0.5272,83
2009-02-24,0.4197,65,0.0,1,0.4413,43,0.5211,67,0.5562,77,0.0,1,0.4413,50,0.5102,75
2009-02-19,0.3728,57,0.0,1,0.44,43,0.5186,65,0.5547,76,0.0,1,0.44,50,0.5186,79
2009-02-17,0.3848,59,0.0,1,0.4605,50,0.5369,73,0.5522,76,0.0,1,0.4605,59,0.4939,67
2009-02-13,0.4235,66,0.4766,77,0.4476,46,0.5246,68,0.5526,76,0.0,1,0.4476,52,0.5246,83
2009-02-12,0.4207,65,0.4866,79,0.4538,48,0.5325,71,0.5547,76,0.0,1,0.4538,56,0.5184,79
2009-02-11,0.4202,65,0.5366,87,0.4429,44,0.5188,65,0.5607,79,0.0,1,0.4429,51,0.5188,80
2009-02-10,0.4286,66,0.5486,87,0.4606,50,0.5234,68,0.5605,78,0.0,1,0.4606,59,0.4951,68
2009-02-09,0.3698,56,0.5268,85,0.4482,46,0.5116,62,0.558,77,0.0,1,0.4482,53,0.5116,76
