date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-05-23,0.0413,,0.0346,,0.0419,,,,,,0.0546,,0.0541,,0.0419,,,,,
2025-05-22,0.0402,,0.0375,,0.0464,,,,,,0.0544,,0.0541,,0.0464,,,,,
2025-05-21,0.0356,,0.0367,,,,,,,,0.0542,,0.0539,,,,,,,
2025-05-20,0.0311,,0.0391,,,,,,,,0.0541,,0.0539,,,,,,,
2025-05-19,0.0314,,0.0389,,,,,,,,0.0541,,0.0539,,,,,,,
2025-05-16,0.0302,,0.036,,0.0506,,,,,,0.0542,,0.0538,,0.0506,,,,,
2025-05-15,0.0299,,0.0338,,0.0484,,,,,,0.0542,,0.0537,,0.0484,,,,,
2025-05-14,0.0317,,0.0403,,0.054,,,,,,0.054,,0.0537,,0.054,,,,,
2025-05-13,0.0222,,0.0379,,,,,,,,0.0539,,0.0536,,,,,,,
2025-05-12,0.025,,0.0366,,0.0557,,,,,,0.0538,,0.0535,,0.0557,,,,,
2025-05-09,0.028,,0.0402,,0.0681,,,,,,0.0552,,0.0536,,0.0593,,,,,
2025-05-08,0.031,,0.0408,,0.0575,,,,,,0.0558,,0.0537,,0.0575,,,,,
2025-05-07,0.0302,,0.0422,,0.0493,,,,,,0.0583,,0.0541,,0.0493,,,,,
2025-05-06,0.029,,0.0397,,0.0814,,0.1026,,0.1239,,0.0583,,0.0538,,0.0662,,0.095,,0.1239,
2025-05-05,0.0233,,0.0404,,0.0876,,,,,,0.0583,,0.0537,,0.0696,,,,,
2025-05-02,0.0285,,0.0419,,0.0877,,,,,,0.0584,,0.0537,,0.0714,,,,,
