date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2017-05-04,0.9546,,0.9933,,0.472,,0.2093,,0.3146,,0.3282,,0.1679,,0.2097,
2017-05-03,0.9658,,0.9884,,0.4796,,0.4596,,0.3218,,0.3311,,0.1825,,0.3256,
2017-05-01,0.1115,,0.116,,0.2401,,0.2539,,0.221,,0.2352,,0.2368,,0.2539,
2017-04-28,0.1055,,0.1373,,0.2658,,0.2377,,0.2206,,0.2352,,0.2658,,0.2415,
2017-04-27,0.0946,,0.1382,,0.2606,,0.2591,,0.2206,,0.2354,,0.2447,,0.2777,
2017-04-24,0.067,,0.1373,,0.3146,,0.246,,0.2194,,0.2354,,0.3146,,0.246,
2017-04-21,0.0661,,0.144,,0.2392,,0.3129,,0.2192,,0.2355,,0.2392,,0.2806,
2017-04-18,0.1101,,0.1546,,0.2843,,0.2868,,0.2192,,0.235,,0.2843,,0.2868,
2017-04-17,0.1243,,0.1537,,0.2597,,0.302,,0.2214,,0.2352,,0.2597,,0.302,
2017-04-13,0.1032,,0.1574,,0.2718,,0.276,,0.2209,,0.2352,,0.2718,,0.2761,
2017-04-11,0.1451,,0.1552,,0.2524,,0.3074,,0.2206,,0.2348,,0.2524,,0.2668,
2017-04-10,0.1497,,0.1412,,0.3001,,0.2418,,0.2206,,0.2401,,0.274,,0.2795,
2017-04-07,0.158,,0.1648,,0.2525,,0.2685,,0.2227,,0.241,,0.2807,,0.293,
2017-04-06,0.1616,,0.2152,,0.2872,,0.2575,,0.2231,,0.2413,,0.2288,,0.2632,
2017-04-05,0.1793,,0.221,,0.2472,,0.2774,,0.2229,,0.2413,,0.2472,,0.2774,
2017-04-04,0.1858,,0.2272,,0.2738,,0.233,,0.2229,,0.2412,,0.2591,,0.233,
2017-04-03,0.1433,,0.2347,,0.2459,,0.2814,,0.2212,,0.2408,,0.2434,,0.2814,
2017-03-31,0.1454,,0.2385,,0.248,,0.2522,,0.2213,,0.2411,,0.2516,,0.2693,
2017-03-29,0.1509,,0.233,,0.2471,,0.2669,,0.2216,,0.2409,,0.2575,,0.2669,
2017-03-28,0.2044,,0.2026,,0.2443,,0.2909,,0.222,,0.2389,,0.2125,,0.2909,
