date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-06-30,0.8446,85,0.6621,80,0.5653,63,0.5979,66,0.5832,57,0.5419,68,0.4966,52,0.6076,71
2022-06-29,0.8084,84,0.6263,77,0.5579,62,0.5639,62,0.5753,57,0.5387,67,0.4943,52,0.5905,69
2022-06-28,0.9416,89,0.6829,81,0.5506,61,0.5547,61,0.5647,56,0.5324,66,0.4876,51,0.5716,66
2022-06-27,0.9149,88,0.7033,83,0.5356,59,0.5351,59,0.5606,56,0.5313,65,0.4596,46,0.5638,64
2022-06-24,0.7537,82,0.7004,83,0.5315,59,0.4824,51,0.5559,55,0.5297,65,0.4406,43,0.5545,62
2022-06-23,0.7509,82,0.7223,84,0.5388,60,0.5326,57,0.561,56,0.5304,65,0.4543,46,0.5706,65
2022-06-22,0.7716,83,0.7186,84,0.5434,60,0.538,59,0.5594,55,0.5274,64,0.4281,42,0.5562,62
2022-06-21,0.8144,85,0.7035,83,0.5577,62,0.5604,62,0.5542,55,0.5256,64,0.4419,44,0.5289,56
2022-06-17,0.7243,80,0.6998,83,0.5553,62,0.4879,51,0.5563,55,0.5252,63,0.4277,42,0.5547,62
2022-06-16,0.5476,64,0.5247,66,0.5118,55,0.5076,55,0.5336,54,0.5149,61,0.4527,45,0.5624,63
2022-06-15,0.5598,65,0.5086,64,0.5402,60,0.5524,61,0.521,53,0.513,60,0.4576,46,0.5355,57
2022-06-14,0.5947,68,0.4803,60,0.5882,66,0.5685,63,0.5217,53,0.5136,60,0.4663,47,0.5181,54
2022-06-13,0.629,71,0.4398,54,0.5907,66,0.5879,65,0.5213,53,0.5118,60,0.4632,47,0.5362,57
2022-06-10,0.4824,56,0.4023,47,0.4774,50,0.4565,47,0.5123,52,0.5099,60,0.4653,47,0.5091,52
2022-06-09,0.5237,62,0.4141,49,0.4843,51,0.4735,49,0.5172,52,0.5094,60,0.4512,45,0.5341,57
2022-06-08,0.51,60,0.4335,53,0.4894,52,0.4785,50,0.5168,52,0.51,60,0.4545,46,0.5326,57
2022-06-07,0.5617,65,0.4905,62,0.4814,50,0.493,52,0.5177,52,0.5103,60,0.4496,45,0.5195,54
2022-06-06,0.5338,62,0.4545,56,0.5136,56,0.5335,57,0.5132,52,0.5084,59,0.4599,46,0.5349,57
2022-06-03,0.5334,62,0.4651,57,0.4693,48,0.4101,40,0.5133,52,0.5082,59,0.4545,46,0.5403,57
2022-06-02,0.5642,65,0.4462,55,0.506,54,0.511,55,0.5191,52,0.5109,60,0.461,46,0.5202,54
2022-06-01,0.452,52,0.4657,57,0.4398,45,0.4631,48,0.5164,52,0.512,60,0.4322,42,0.529,56
2022-05-31,0.4321,49,0.4424,55,0.5253,57,0.4082,39,0.5145,52,0.5141,61,0.4762,49,0.5453,60
2022-05-27,0.3864,41,0.4703,59,0.4509,46,0.369,30,0.5198,52,0.5205,62,0.4481,45,0.5239,55
2022-05-26,0.5139,60,0.5075,64,0.4558,46,0.5648,63,0.5144,52,0.5183,62,0.4512,45,0.5415,59
2022-05-25,0.5124,60,0.5165,65,0.5115,55,0.4985,53,0.5142,52,0.5194,62,0.4723,48,0.5543,62
2022-05-24,0.5038,59,0.5221,66,0.5221,57,0.5062,54,0.5222,53,0.5215,62,0.4802,49,0.5386,57
2022-05-23,0.4908,57,0.5191,66,0.4946,53,0.5113,55,0.5221,53,0.5211,62,0.4731,48,0.5369,57
2022-05-20,0.4933,57,0.5013,63,0.5231,57,0.5069,54,0.5233,53,0.5201,62,0.4585,46,0.5519,61
2022-05-19,0.4662,54,0.5452,69,0.5233,57,0.4912,52,0.5217,53,0.5204,62,0.5141,56,0.5533,61
2022-05-18,0.4752,55,0.5879,73,0.5188,56,0.5653,63,0.5247,53,0.5182,61,0.5059,54,0.5394,57
2022-05-17,0.664,74,0.5571,70,0.5426,60,0.6049,67,0.5198,52,0.5144,61,0.4769,49,0.5429,59
2022-05-16,0.6958,77,0.5854,73,0.5131,56,0.5598,62,0.52,53,0.515,61,0.4963,52,0.5355,57
2022-05-13,0.6796,76,0.6237,77,0.4786,50,0.5625,62,0.5195,52,0.5151,61,0.4905,51,0.5689,65
2022-05-12,0.6838,76,0.659,80,0.5234,57,0.5637,62,0.518,52,0.5171,61,0.4991,52,0.5629,63
