date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2007-07-02,0.278,24,0.238,25,0.608,,0.6394,,0.3463,13,0.0,1,0.608,,0.6394,
2007-06-18,0.4559,61,0.3172,48,0.6061,,0.6366,,0.3448,11,0.0,1,0.6061,,0.6366,
2007-04-10,0.3121,32,0.0,1,0.6615,,0.6574,,0.3997,45,0.0,1,0.6615,,0.6574,
2007-04-09,0.3289,35,0.0,1,0.6647,,0.6774,,0.3993,45,0.0,1,0.6647,,0.6774,
2007-04-05,0.3157,32,0.3262,50,0.6458,,0.6775,,0.3996,45,0.0,1,0.6458,,0.6775,
2007-04-04,0.343,38,0.3248,50,0.6308,,0.658,,0.3986,45,0.0,1,0.6308,,0.658,
2007-04-02,0.2708,22,0.3064,44,0.6322,,0.6579,,0.3959,43,0.0,1,0.6322,,0.6579,
2007-02-26,0.1219,1,0.0,1,0.523,,0.589,,0.3766,30,0.0,1,0.523,,0.589,
2007-02-23,0.1575,4,0.0,1,0.5155,,0.5312,,0.3768,30,0.0,1,0.5155,,0.5924,
2007-02-22,0.1502,4,0.0,1,0.5354,,0.525,,0.3767,30,0.0,1,0.5354,,0.5871,
2007-02-21,0.1381,3,0.0,1,0.5246,,0.5281,,0.3766,30,0.0,1,0.5246,,0.5885,
2007-02-20,0.138,3,0.0,1,0.5422,,0.5355,,0.3771,30,0.0,1,0.5422,,0.5961,
2007-02-16,0.1983,8,0.2462,27,0.5203,,0.5219,,0.3778,31,0.0,1,0.5203,,0.5766,
2007-02-15,0.193,7,0.248,28,0.548,,0.5262,,0.3807,34,0.0,1,0.548,,0.5677,
2007-02-14,0.1648,5,0.2417,26,0.5702,,0.5097,,0.3805,33,0.0,1,0.5702,,0.5835,
2007-02-13,0.2161,11,0.2713,33,0.5658,,0.5172,,0.3803,33,0.0,1,0.5658,,0.5766,
2007-02-12,0.2217,12,0.2865,38,0.5719,,0.5125,,0.3815,34,0.0,1,0.5719,,0.5804,
2007-02-09,0.3077,31,0.3184,48,0.5112,,0.5186,,0.3832,35,0.0,1,0.5727,,0.5714,
2007-02-08,0.293,27,0.3693,60,0.5616,,0.5105,,0.3834,35,0.0,1,0.5616,,0.584,
2007-02-07,0.3233,35,0.3884,63,0.5442,,0.5256,,0.3841,36,0.0,1,0.5442,,0.5745,
2007-02-06,0.3254,35,0.3946,63,0.5504,,0.5244,,0.3846,36,0.0,1,0.5504,,0.5933,
2007-02-05,0.3316,36,0.4088,65,0.5505,,0.5489,,0.3848,36,0.0,1,0.5505,,0.5955,
2007-02-02,0.3085,31,0.3852,62,0.5566,,0.5717,,0.3828,35,0.0,1,0.5566,,0.5717,
2007-02-01,0.4115,53,0.4424,68,0.5477,,0.5198,,0.3828,35,0.0,1,0.5477,,0.5823,
2007-01-31,0.3444,38,0.4821,71,0.5452,,0.5739,,0.3884,38,0.0,1,0.5452,,0.5739,
2007-01-30,0.3014,28,0.4835,71,0.5592,,0.5717,,0.3912,39,0.0,1,0.5592,,0.5717,
2007-01-29,0.4619,62,0.484,71,0.5392,,0.5805,,0.3953,42,0.0,1,0.5392,,0.5805,
2007-01-26,0.4635,62,0.491,72,0.5457,,0.5774,,0.3968,44,0.0,1,0.5457,,0.5774,
2007-01-25,0.4772,64,0.4861,72,0.5397,,0.5719,,0.3951,42,0.0,1,0.5397,,0.5719,
2007-01-24,0.5967,75,0.4993,72,0.5272,,0.5375,,0.3947,42,0.0,1,0.5272,,0.5652,
2007-01-23,0.5315,69,0.0,1,0.5374,,0.5555,,0.3866,37,0.0,1,0.515,,0.5555,
2007-01-22,0.4799,65,0.0,1,0.5109,,0.5569,,0.3807,34,0.0,1,0.5157,,0.5569,
2007-01-19,0.4552,61,0.0,1,0.5148,,0.54,,0.3774,30,0.0,1,0.5135,,0.54,
2007-01-18,0.4433,59,0.0,1,0.5169,,0.5578,,0.3757,28,0.0,1,0.5269,,0.5578,
2007-01-17,0.4413,59,0.0,1,0.5249,,0.5494,,0.3757,28,0.0,1,0.5287,,0.5494,
2007-01-16,0.2568,19,0.0,1,0.4745,,0.563,,0.3709,26,0.0,1,0.5138,,0.563,
