ticker,date,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,phv10,phv20,phv30,phv60,phv90,phv120,phv150,phv180,ivcall10,ivput10,ivmean10,ivmeanskew10,ivcall20,ivput20,ivmean20,ivmeanskew20,ivcall30,ivput30,ivmean30,ivmeanskew30,ivcall60,ivput60,ivmean60,ivmeanskew60,ivcall90,ivput90,ivmean90,ivmeanskew90,ivcall120,ivput120,ivmean120,ivmeanskew120,ivcall150,ivput150,ivmean150,ivmeanskew150,ivcall180,ivput180,ivmean180,ivmeanskew180,ivcall270,ivput270,ivmean270,ivmeanskew270,ivcall360,ivput360,ivmean360,ivmeanskew360,ivcall720,ivput720,ivmean720,ivmeanskew720,ivcall1080,ivput1080,ivmean1080,ivmeanskew1080
ZZZ,2025-05-13,0.2585,0.2006,0.2143,0.377,0.3436,0.3069,0.2994,0.2824,0.1261,0.0986,0.1244,0.2305,0.2177,0.205,0.2108,0.2006,0.1726,0.5966,0.3846,,0.1726,0.5966,0.3846,,0.1726,0.5966,0.3846,,0.1726,0.5966,0.3846,,0.1726,0.5966,0.3846,,0.1754,0.5966,0.386,,0.1786,0.5966,0.3876,,0.1817,0.5966,0.3892,,0.1829,0.5966,0.3898,,0.1829,0.5966,0.3898,,0.1829,0.5966,0.3898,,0.1829,0.5966,0.3898,
ZYXI,2025-05-13,0.7229,1.7787,1.4846,1.2335,1.7823,1.554,1.3967,1.2898,0.7065,1.0989,0.9364,0.9082,1.0071,0.8934,0.8141,0.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYME,2025-05-13,0.7297,0.5513,0.5061,0.5957,0.6024,0.5756,0.5787,0.5706,0.6578,0.5237,0.5144,0.6059,0.5784,0.5573,0.5684,0.56,0.8446,0.8123,0.8284,0.0984,0.8446,0.8123,0.8284,0.0984,0.8446,0.8123,0.8284,0.0984,0.6736,0.7744,0.724,-0.0571,0.7261,0.8156,0.7708,-0.049,0.8337,0.875,0.8544,0.0014,0.9451,0.9343,0.9397,0.003,1.0209,1.002,1.0114,0.0005,1.1073,1.0928,1.1,0.0019,1.1073,1.0928,1.1,0.0019,1.1073,1.0928,1.1,0.0019,1.1073,1.0928,1.1,0.0019
ZWS,2025-05-13,0.3757,0.2932,0.3162,0.4151,0.3722,0.3403,0.3197,0.2991,0.195,0.2211,0.3231,0.366,0.3276,0.305,0.2894,0.2732,0.2527,0.3069,0.2798,,0.2527,0.3069,0.2798,,0.2527,0.3069,0.2798,,0.2527,0.3069,0.2798,,0.2527,0.3069,0.2798,,0.2755,0.3069,0.2912,,0.3008,0.3069,0.3038,,0.3261,0.3069,0.3165,,0.3354,0.3069,0.3212,,0.3354,0.3069,0.3212,,0.3354,0.3069,0.3212,,0.3354,0.3069,0.3212,
ZVRA,2025-05-13,0.5859,0.4784,0.4694,0.5147,0.5138,0.4883,0.4688,0.4646,0.5409,0.5044,0.4856,0.5401,0.5444,0.5135,0.5,0.5121,1.7581,,,,1.7428,,,,1.7274,,,,1.6814,,,,1.6353,,,,1.5892,,,,1.5432,,,,1.4971,,,,1.3589,,,,1.2208,,,,0.8354,,,,0.8354,,,
ZVIA,2025-05-13,2.8237,2.009,1.6378,1.273,1.3134,1.1975,1.1421,1.2005,1.6579,1.2621,1.0671,0.8972,0.9004,0.8755,0.9262,1.0327,0.6793,1.0135,0.8464,-0.038,0.6793,1.0135,0.8464,-0.038,0.6793,1.0135,0.8464,-0.038,0.6793,1.0317,0.8555,-0.038,0.6793,1.0554,0.8674,-0.038,0.7783,1.072,0.9252,-0.0291,0.8883,1.0877,0.988,-0.0194,0.9983,1.1034,1.0508,-0.0095,1.0386,1.1092,1.0739,-0.0059,1.0386,1.1092,1.0739,-0.0059,1.0386,1.1092,1.0739,-0.0059,1.0386,1.1092,1.0739,-0.0059
ZURA,2025-05-13,1.0447,0.9383,0.9933,1.0112,1.0584,0.9866,1.0245,1.0292,0.9461,0.9586,0.9928,1.1622,1.1141,1.0468,1.0649,1.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUMZ,2025-05-13,0.7146,0.5696,0.5583,0.7246,0.6522,0.6056,0.5961,0.6124,0.409,0.4403,0.4971,0.6345,0.5945,0.5602,0.5451,0.5516,0.8164,0.6757,0.746,0.078,0.8164,0.6757,0.746,0.078,0.8164,0.6757,0.746,0.078,0.7324,0.6542,0.6933,0.0689,0.623,0.6261,0.6245,0.057,0.6329,0.6088,0.6208,0.0469,0.6561,0.5926,0.6244,0.037,0.6794,0.5765,0.628,0.0272,0.6879,0.5706,0.6292,0.0235,0.6879,0.5706,0.6292,0.0235,0.6879,0.5706,0.6292,0.0235,0.6879,0.5706,0.6292,0.0235
ZTS,2025-05-13,0.5133,0.356,0.3125,0.3554,0.3559,0.3244,0.3034,0.2838,0.3565,0.3028,0.28,0.341,0.33,0.3044,0.2888,0.2763,0.2814,0.2408,0.2611,0.0503,0.2658,0.2408,0.2533,0.0503,0.2502,0.2408,0.2455,0.0503,0.2428,0.2502,0.2465,0.0668,0.2478,0.2653,0.2566,0.0604,0.2529,0.2809,0.2669,0.0481,0.2684,0.2753,0.2719,0.0365,0.2719,0.2771,0.2745,0.033,0.2689,0.2888,0.2788,0.0258,0.2648,0.289,0.2769,0.0173,0.2589,0.297,0.278,0.0111,0.2589,0.297,0.278,0.0111
ZTO,2025-05-13,0.2507,0.2396,0.2418,0.4488,0.4103,0.3903,0.3738,0.3668,0.2156,0.2143,0.2592,0.3419,0.3162,0.297,0.2808,0.2777,0.4017,0.4999,0.4508,0.0313,0.4017,0.4999,0.4508,0.0313,0.4017,0.4999,0.4508,0.0313,0.4434,0.4306,0.437,0.0474,0.4425,0.4189,0.4307,0.0505,0.4306,0.4229,0.4268,0.0502,0.4186,0.4269,0.4228,0.0498,0.3954,0.4308,0.4131,0.0303,0.3747,0.4375,0.4061,0.0337,0.3539,0.4314,0.3926,0.035,0.2958,0.4145,0.3551,0.0387,0.2958,0.4145,0.3551,0.0387
ZSL,2025-05-13,0.5291,0.434,0.4466,0.675,0.6146,0.5888,0.5768,0.5614,0.251,0.2715,0.3044,0.3724,0.3719,0.3572,0.3499,0.3416,0.3927,1.0976,0.7452,-0.0762,0.3927,0.9971,0.6949,-0.0762,0.3927,0.8966,0.6446,-0.0762,0.3927,0.7497,0.5712,-0.0762,0.3927,0.65,0.5214,-0.0762,0.3745,0.6595,0.517,-0.0789,0.3542,0.6812,0.5177,-0.0819,0.3339,0.7029,0.5184,-0.085,0.3265,0.7108,0.5187,-0.0861,0.3265,0.7108,0.5187,-0.0861,0.3265,0.7108,0.5187,-0.0861,0.3265,0.7108,0.5187,-0.0861
ZS,2025-05-13,0.2109,0.2248,0.2796,0.5476,0.5267,0.481,0.467,0.4552,0.2531,0.2795,0.287,0.4487,0.4444,0.4143,0.4009,0.3946,0.3067,0.3142,0.3104,0.0766,0.4753,0.4779,0.4766,0.0571,0.42,0.424,0.422,0.065,0.3832,0.3878,0.3855,0.0422,0.3688,0.3753,0.372,0.0358,0.3992,0.4038,0.4015,0.0341,0.4083,0.4108,0.4095,0.0314,0.4078,0.4084,0.4081,0.028,0.426,0.4257,0.4258,0.023,0.4297,0.4318,0.4308,0.0219,0.4308,0.4422,0.4365,0.0155,0.4308,0.4422,0.4365,0.0155
ZROZ,2025-05-13,0.1383,0.1857,0.2005,0.2713,0.2618,0.2486,0.2364,0.2355,0.1333,0.1379,0.1678,0.2168,0.2008,0.1861,0.1783,0.1758,0.2212,0.2132,0.2172,0.0498,0.2205,0.2132,0.2168,0.0498,0.2198,0.2132,0.2165,0.0498,0.2164,0.2232,0.2198,0.0333,0.2127,0.2363,0.2245,0.0118,0.2089,0.2493,0.2291,-0.0097,0.2047,0.2586,0.2316,-0.0189,0.2003,0.2665,0.2334,-0.0236,0.1946,0.2768,0.2357,-0.0298,0.1946,0.2768,0.2357,-0.0298,0.1946,0.2768,0.2357,-0.0298,0.1946,0.2768,0.2357,-0.0298
ZNTL,2025-05-13,0.7758,0.6497,0.6791,0.9204,0.8666,1.1125,1.0448,1.0394,0.7273,0.6751,0.7157,0.8972,0.9037,1.0221,0.9845,0.9738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZM,2025-05-13,0.1328,0.1726,0.1885,0.3566,0.3696,0.3618,0.3454,0.3631,0.1724,0.1931,0.2097,0.3177,0.3169,0.3118,0.3035,0.3036,0.596,0.5916,0.5938,0.0346,0.4595,0.4623,0.4609,0.0261,0.3995,0.3974,0.3984,0.0521,0.3522,0.3488,0.3505,0.0469,0.3272,0.3262,0.3267,0.04,0.3413,0.3409,0.3411,0.0351,0.3436,0.3429,0.3432,0.0346,0.3401,0.3387,0.3394,0.0356,0.3518,0.3513,0.3516,0.0389,0.3524,0.3519,0.3521,0.0229,0.3434,0.3493,0.3464,0.0196,0.3434,0.3493,0.3464,0.0196
ZLAB,2025-05-13,0.4331,0.3818,0.5883,0.8804,0.8213,0.731,0.6765,0.6836,0.4541,0.4039,0.4244,0.6071,0.5901,0.557,0.5319,0.5343,0.6214,0.6945,0.658,0.1817,0.6214,0.6945,0.658,0.1817,0.6214,0.6945,0.658,0.1817,0.625,0.684,0.6545,0.1721,0.6297,0.6703,0.65,0.1596,0.6344,0.6566,0.6455,0.1472,0.6387,0.6428,0.6408,0.1223,0.643,0.6291,0.636,0.093,0.6485,0.6113,0.6299,0.0548,0.6485,0.6113,0.6299,0.0548,0.6485,0.6113,0.6299,0.0548,0.6485,0.6113,0.6299,0.0548
ZK,2025-05-13,0.7182,0.6014,0.6987,0.7023,0.8186,0.7523,0.7496,0.8736,0.3031,0.3593,0.4683,0.6222,0.6699,0.6414,0.641,0.6871,,0.4794,,,,0.4794,,,,0.4794,,,,0.4745,,,,0.4682,,,,0.4618,,,,0.4554,,,,0.4491,,,,0.43,,,,0.4109,,,,0.3577,,,,0.3577,,
ZIP,2025-05-13,1.9644,1.3912,1.1329,0.9462,0.8856,0.8008,0.7393,0.7082,0.7924,0.6685,0.6231,0.6799,0.76,0.6878,0.655,0.6286,0.561,0.6597,0.6103,0.0172,0.561,0.6597,0.6103,0.0172,0.561,0.6597,0.6103,0.0172,0.5619,0.6597,0.6108,0.0172,0.563,0.6597,0.6113,0.0172,0.5642,0.6597,0.612,0.0172,0.5754,0.6597,0.6176,0.0172,0.5903,0.6597,0.625,0.0172,0.6096,0.6597,0.6346,0.0172,0.6096,0.6597,0.6346,0.0172,0.6096,0.6597,0.6346,0.0172,0.6096,0.6597,0.6346,0.0172
